"GeneSymbol"
"ADRM1"
"CCNA1"
"CCNA2"
"CDC45"
"CDC6"
"CDC7"
"DBF4"
"DNA2"
"H2BC11"
"H2BC12"
"H2BC15"
"H2BC17"
"H2BC4"
"H2BC5"
"H2BC6"
"H2BC7"
"H2BC8"
"H2BC9"
"H4C3"
"H4C8"
"H4C9"
"MCM10"
"MCM2"
"MCM3"
"MCM4"
"MCM5"
"MCM6"
"MCM7"
"ORC1"
"ORC3"
"ORC4"
"ORC6"
"PSMA2"
"PSMA3"
"PSMA4"
"PSMA5"
"PSMA6"
"PSMB2"
"PSMB7"
"PSMC1"
"PSMC2"
"PSMC3"
"PSMC4"
"PSMD11"
"PSMD12"
"PSMD14"
"PSMD2"
"PSMD3"
"PSMD8"
"RFC3"
"RFC4"
"RFC5"
"RPA3"
"UBC"
