"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-5688426","Deubiquitination","13/200","243/8882",0.0534979423868313,2.37584362139918,3.30047552566697,0.00331542259267448,0.0144943474884871,0.00909637560890733,"H2BC7/H2AC13/H2BC9/CDC20/CDK1/USP18/H2AC14/UCHL1/CCNA2/IFIH1/H2BC5/H2BC17/CCNA1",13
"R-HSA-6811434","COPI-dependent Golgi-to-ER retrograde traffic","7/200","87/8882",0.0804597701149425,3.5732183908046,3.66061785058035,0.00337406512034197,0.0146567669558804,0.00919830696406363,"KIFC1/KIF4A/KIF11/KIF23/KIF2C/KIF20A/CENPE",7
"R-HSA-9839923","Dengue Virus Infection","17/200","365/8882",0.0465753424657534,2.06841095890411,3.16357026399742,0.00355486775044735,0.0152994829632837,0.00960166325297843,"KPNA2/H2BC7/H2AC13/C4BPA/H2BC9/NEK2/H3C3/LY6E/SEC11C/H2AC14/H3C12/SDC1/H3C2/IFIH1/H3C8/H2BC5/H2BC17",17
"R-HSA-73929","Base-Excision Repair, AP Site Formation","5/200","46/8882",0.108695652173913,4.82717391304348,3.94971084153997,0.00356688825683594,0.0152994829632837,0.00960166325297843,"H2BC7/H2BC9/H2AC14/H2BC5/H2BC17",5
"R-HSA-9932444","ATP-dependent chromatin remodelers","10/200","163/8882",0.0613496932515337,2.72453987730061,3.37263813762618,0.00372261781381917,0.0158676584314042,0.00995823932333248,"H2BC7/H2BC9/H3C3/TCF19/H2AC14/H3C12/H3C2/H3C8/H2BC5/H2BC17",10
"R-HSA-1266695","Interleukin-7 signaling","4/200","31/8882",0.129032258064516,5.73032258064516,4.00416049684976,0.00487544005958979,0.0206179607566495,0.0129394383211224,"H3C3/H3C12/H3C2/H3C8",4
"R-HSA-8878171","Transcriptional regulation by RUNX1","11/200","197/8882",0.0558375634517767,2.4797461928934,3.18765620025788,0.00489752147005458,0.0206179607566495,0.0129394383211224,"H2BC7/GATA2/H2BC9/H3C3/H2AC14/H3C12/MOV10/H3C2/H3C8/H2BC5/H2BC17",11
"R-HSA-1362300","Transcription of E2F targets under negative control by p107 (RBL1) and p130 (RBL2) in complex with HDAC1","3/200","16/8882",0.1875,8.326875,4.45195691095466,0.0050724365482753,0.0212233234719249,0.0133193523974302,"CDK1/MYBL2/CCNA2",3
"R-HSA-9013106","RHOC GTPase cycle","6/200","71/8882",0.0845070422535211,3.75295774647887,3.53469675801828,0.00513902658928192,0.0213708300846968,0.0134119247298955,"DIAPH3/JUP/LMAN1/DEPDC1B/CAV1/ANLN",6
"R-HSA-1500931","Cell-Cell communication","14/200","286/8882",0.048951048951049,2.17391608391608,3.06272432778334,0.00517038023527197,0.0213709049724575,0.0134119717280235,"CADM2/H2BC7/H2BC9/JUP/H3C3/SEC11C/H2AC14/H3C12/SNAI1/MOV10/H3C2/H3C8/H2BC5/H2BC17",14
