"Gene","logFC","t_statistic","P.Value","FDR"
"ENSG00000124256",-1.69109043338523,-17.2204525099742,1.67423641432102e-33,3.15392655729795e-29
"ENSG00000146859",-2.27721771177046,-16.708694681394,1.98247841367131e-32,1.867296417837e-28
"ENSG00000186470",-1.08189020427641,-16.6211171186761,3.03612834219179e-32,1.9064861903403e-28
"ENSG00000132256",-1.83592691168897,-16.352452608365,1.12918175861475e-31,5.31788149219615e-28
"ENSG00000136514",-2.74112020316279,-16.2742400350816,1.65788505352509e-31,6.24624772766114e-28
"ENSG00000107201",-1.96919528745451,-15.9308176649569,9.03127079777358e-31,2.83551798814098e-27
"ENSG00000185745",-3.22455849485808,-15.7594569717543,2.11549215750962e-30,5.69309160902375e-27
"ENSG00000079263",-1.339532922127,-15.5506751660362,5.99595688364859e-30,1.41189794717715e-26
"ENSG00000142687",-1.36493304268553,-15.3595373874394,1.56325809769422e-29,3.27207289381819e-26
"ENSG00000163565",-1.92260978888529,-15.3062251397347,2.0438112290425e-29,3.85013159327026e-26
"ENSG00000108771",-2.13281172581243,-15.2513063305037,2.69469042493044e-29,4.61477983862178e-26
"ENSG00000133574",-1.94389493918968,-15.2199136195407,3.15653345836682e-29,4.95523144072618e-26
"ENSG00000205413",-1.70437239022199,-15.1764991862653,3.9291836207553e-29,5.69368931136834e-26
"ENSG00000121858",-1.72332185620609,-15.1103623260361,5.48712496185363e-29,7.38331857367133e-26
"ENSG00000073737",-2.13909805381959,-14.9350654761894,1.33300484964591e-28,1.67407635717531e-25
"ENSG00000089127",-2.31891858960714,-14.7585852302437,3.26920352226692e-28,3.58999269461377e-25
"ENSG00000177409",-1.76382258880274,-14.7491423486106,3.43029347611465e-28,3.58999269461377e-25
"ENSG00000138642",-1.88649016205971,-14.6914038411618,4.60418023373778e-28,4.56492353911328e-25
"ENSG00000181778",-2.41633928007391,-14.612184016292,6.89903209504802e-28,6.44967100810027e-25
"ENSG00000225470",-1.24046746635559,-14.6041025829836,7.18988699278616e-28,6.44967100810027e-25
"ENSG00000184979",-2.75705258802914,-14.55835950952,9.08429203841863e-28,7.77863151907865e-25
"ENSG00000108424",-1.1233515066047,-14.3825591865819,2.23644313824159e-27,1.83174416687805e-24
"ENSG00000157601",-2.16786457114331,-14.2204440266231,5.1479627754629e-27,4.04072178184042e-24
"ENSG00000136816",-1.53205138878909,-14.2075319989667,5.50206210514334e-27,4.14591383746761e-24
"ENSG00000111335",-2.20712587359638,-14.1678562835352,6.75064633958168e-27,4.89110291327075e-24
"ENSG00000196684",-1.22413774630294,-14.0786116903269,1.07001799160746e-26,7.46555515774125e-24
"ENSG00000135114",-2.07147193714372,-13.9522398222828,2.05714428449726e-26,1.38401728683426e-23
"ENSG00000185507",-1.89308849942182,-13.9172587515396,2.46585719085159e-26,1.60178681935387e-23
"ENSG00000055332",-1.41700390415102,-13.8829829619299,2.94534319368409e-26,1.84947916942069e-23
"ENSG00000116863",-1.34583082767579,-13.8430673392714,3.62297514460324e-26,2.20160018625922e-23
"ENSG00000183486",-1.50294079187299,-13.5391936637164,1.76157907307749e-25,9.76018428783348e-23
"ENSG00000143891",-1.78182334470429,-13.4270149639359,3.16533022352697e-25,1.66619578196339e-22
"ENSG00000135899",-1.25462021703353,-13.4258812924124,3.18415161644984e-25,1.66619578196339e-22
"ENSG00000111801",-1.25276235302648,-13.3512210101552,4.70618687750978e-25,2.33303022101393e-22
"ENSG00000119917",-2.49990531178643,-13.3138186209883,5.72471148812306e-25,2.76518243623749e-22
"ENSG00000163840",-1.31519079751088,-13.3038396517733,6.03202855182628e-25,2.84078384648258e-22
"ENSG00000134321",-2.79397818631568,-13.2762415896037,6.97092189119228e-25,3.20288357527513e-22
"ENSG00000119922",-2.63086414177388,-13.2554305577689,7.77474024421048e-25,3.48715611239136e-22
"ENSG00000138646",-2.0749859704791,-13.1854349994791,1.12258104271632e-24,4.91794922853257e-22
"ENSG00000172123",-1.50831962582179,-13.1748848228127,1.18653217269558e-24,5.07997569755437e-22
"ENSG00000137628",-1.92583887864148,-13.1187906326869,1.59325040066003e-24,6.66970023280749e-22
"ENSG00000164054",-1.52734233056534,-13.0620119706355,2.14768174680519e-24,8.60809122262046e-22
"ENSG00000086065",-1.7415075723133,-13.0042605009882,2.91071260573282e-24,1.14233341805823e-21
"ENSG00000146425",-1.2189322186203,-12.9597564823867,3.67980991980739e-24,1.41469916876187e-21
"ENSG00000067066",-1.23750052796829,-12.9082753862159,4.82729171610229e-24,1.8187304269587e-21
"ENSG00000026950",-1.27151415320331,-12.8705551947913,5.8902311026161e-24,2.17358310947434e-21
"ENSG00000112343",-1.07418862114408,-12.8670594091031,5.99991090841202e-24,2.17358310947434e-21
"ENSG00000106560",-1.33771257351031,-12.8279026473392,7.3777267949662e-24,2.62229466723723e-21
"ENSG00000145016",-1.19145578467103,-12.7737612575543,9.82073134165576e-24,3.36368976389293e-21
"ENSG00000132109",-1.47480598154352,-12.7331887106995,1.21702163946144e-23,4.09397386503119e-21
"ENSG00000187608",-2.4135830858469,-12.6365552912683,2.02950266800942e-23,6.54117849407678e-21
"ENSG00000010704",-1.26076960394292,-12.634779742987,2.04867571478145e-23,6.54117849407678e-21
"ENSG00000231607",-1.21253055999098,-12.6362667478208,2.03260618227579e-23,6.54117849407678e-21
"ENSG00000281100",-1.60938224785478,-12.6254883333835,2.15200983568318e-23,6.75659354743328e-21
"ENSG00000277511",-1.74244986641596,-12.6150332110793,2.27454886144465e-23,7.02425433637611e-21
"ENSG00000122643",-1.65727023094672,-12.5633671919966,2.9908848478924e-23,9.08746592977372e-21
"ENSG00000170581",-1.25495467132042,-12.5341700479478,3.4916582895795e-23,1.04406125173173e-20
