"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-877312","Regulation of IFNG signaling","6/709","14/11287",0.428571428571429,6.82268789038888,5.64363781908821,0.000116782071258037,0.00385680276359877,0.00385680276359877,"IFNGR1/JAK2/STAT1/PIAS1/PTPN6/IFNGR2",6
"R-HSA-5334118","DNA methylation","13/709","64/11287",0.203125,3.23366978138223,4.63922924594228,0.000141226432026665,0.00454749111125863,0.00454749111125863,"H3-3B/H2BC6/H2AC6/H2BC21/H2BC4/H3C6/H4C16/H2BC7/H2BC17/H4C14/H4C8/H2BC5/H4C15",13
"R-HSA-9909649","Regulation of PD-L1(CD274) transcription","17/709","100/11287",0.17,2.70633286318759,4.43709058746619,0.000148249548190884,0.00465720531877705,0.00465720531877705,"H3-3B/H2BC6/H2AC6/H2BC21/H2BC4/STAT1/H3C6/H4C16/ASH2L/H2BC7/H2BC17/H4C14/H4C8/H2BC5/STAT3/H4C15/RBBP5",17
"R-HSA-166166","MyD88-independent TLR4 cascade","18/709","110/11287",0.163636363636364,2.60502628542121,4.37932549554336,0.000158174272365702,0.00473787122807033,0.00473787122807033,"FADD/TBK1/USP18/IKBIP/TICAM2/UBE2D1/VRK3/LY96/TANK/MAP2K6/TIFA/IRF7/TLR4/TMED7-TICAM2/CREB1/NOD2/RIPK3/ALPK1",18
"R-HSA-937061","TRIF (TICAM1)-mediated TLR4 signaling","18/709","110/11287",0.163636363636364,2.60502628542121,4.37932549554336,0.000158174272365702,0.00473787122807033,0.00473787122807033,"FADD/TBK1/USP18/IKBIP/TICAM2/UBE2D1/VRK3/LY96/TANK/MAP2K6/TIFA/IRF7/TLR4/TMED7-TICAM2/CREB1/NOD2/RIPK3/ALPK1",18
"R-HSA-9824878","Regulation of TBK1, IKKε (IKBKE)-mediated activation of IRF3, IRF7","6/709","15/11287",0.4,6.36784203102962,5.38562642613187,0.000184335450421897,0.00527609022540896,0.00527609022540896,"TBK1/TICAM2/LY96/TANK/TLR4/TMED7-TICAM2",6
"R-HSA-918233","TRAF3-dependent IRF activation pathway","6/709","15/11287",0.4,6.36784203102962,5.38562642613187,0.000184335450421897,0.00527609022540896,0.00527609022540896,"TBK1/RIGI/IRF7/RNF135/IFIH1/TRIM25",6
"R-HSA-5625886","Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3","13/709","66/11287",0.196969696969697,3.13567978800701,4.50488473526703,0.00019571657565005,0.00548006411820141,0.00548006411820141,"H3-3B/H2BC6/H2AC6/H2BC21/H2BC4/H3C6/H4C16/H2BC7/H2BC17/H4C14/H4C8/H2BC5/H4C15",13
"R-HSA-427359","SIRT1 negatively regulates rRNA expression","13/709","67/11287",0.194029850746269,3.08887859714123,4.43961727081532,0.000229134524435641,0.00614844307235635,0.00614844307235635,"H3-3B/H2BC6/H2AC6/H2BC21/H2BC4/H3C6/H4C16/H2BC7/H2BC17/H4C14/H4C8/H2BC5/H4C15",13
"R-HSA-9670095","Inhibition of DNA recombination at telomere","13/709","67/11287",0.194029850746269,3.08887859714123,4.43961727081532,0.000229134524435641,0.00614844307235635,0.00614844307235635,"H3-3B/H2BC6/H2AC6/H2BC21/H2BC4/DAXX/H4C16/H2BC7/H2BC17/H4C14/H4C8/H2BC5/H4C15",13
"R-HSA-171306","Packaging Of Telomere Ends","11/709","51/11287",0.215686274509804,3.4336403108493,4.50948526756426,0.000261781793575401,0.00688112143112482,0.00688112143112482,"H2BC6/H2AC6/H2BC21/H2BC4/H4C16/H2BC7/H2BC17/H4C14/H4C8/H2BC5/H4C15",11
"R-HSA-983169","Class I MHC mediated antigen processing & presentation","41/709","373/11287",0.109919571045576,1.74987616134192,3.81279405588014,0.000317128024192477,0.00772929496225129,0.00772929496225129,"HECW2/RNF114/UBE2W/HERC3/KBTBD7/RNF6/WSB1/ZBTB16/UBE2L6/B2M/HLA-E/UBA7/TAP2/UBE2D1/NCF1/TLR1/RNF144B/LY96/RNF213/MYD88/TLR2/PIK3R4/NCF2/TRIM69/TRIM21/TLR4/HERC6/HERC5/FCGR1A/BTK/FBXL13/PSMB9/TAP1/RNF25/FBXO6/UBA3/RNF34/SNAP23/FBXL5/DTX3L/RBCK1",41
"R-HSA-9683610","Maturation of nucleoprotein","5/709","11/11287",0.454545454545455,7.23618412617002,5.35709191183824,0.000324054291895629,0.00772929496225129,0.00772929496225129,"PARP4/PARP10/PARP9/PARP8/PARP14",5
"R-HSA-3371378","Regulation by c-FLIP","5/709","11/11287",0.454545454545455,7.23618412617002,5.35709191183824,0.000324054291895629,0.00772929496225129,0.00772929496225129,"FADD/FAS/CFLAR/TNFSF10/FASLG",5
"R-HSA-5218900","CASP8 activity is inhibited","5/709","11/11287",0.454545454545455,7.23618412617002,5.35709191183824,0.000324054291895629,0.00772929496225129,0.00772929496225129,"FADD/FAS/CFLAR/TNFSF10/FASLG",5
"R-HSA-69416","Dimerization of procaspase-8","5/709","11/11287",0.454545454545455,7.23618412617002,5.35709191183824,0.000324054291895629,0.00772929496225129,0.00772929496225129,"FADD/FAS/CFLAR/TNFSF10/FASLG",5
"R-HSA-168181","Toll Like Receptor 7/8 (TLR7/8) Cascade","17/709","107/11287",0.158878504672897,2.52928304970803,4.11481411764236,0.000342742077382638,0.00802639628488795,0.00802639628488795,"USP18/IKBIP/TICAM2/TLR7/VRK3/LY96/MAP2K6/TIFA/MYD88/TASL/IRF7/TLR4/TMED7-TICAM2/TLR8/CREB1/NOD2/ALPK1",17
"R-HSA-9821002","Chromatin modifications during the maternal to zygotic transition (MZT)","13/709","70/11287",0.185714285714286,2.95649808583518,4.25090546242088,0.000360187181021145,0.00828430516348633,0.00828430516348634,"H3-3B/H2BC6/H2AC6/H2BC21/H2BC4/H3C6/H4C16/H2BC7/H2BC17/H4C14/H4C8/H2BC5/H4C15",13
"R-HSA-9940465","ChAHP complex assembly","12/709","62/11287",0.193548387096774,3.08121388598207,4.25412987095434,0.000405417748652976,0.00895939455636051,0.00895939455636051,"H2BC6/H2AC6/H2BC21/H2BC4/H3C6/H4C16/H2BC7/H2BC17/H4C14/H4C8/H2BC5/H4C15",12
"R-HSA-5602498","MyD88 deficiency (TLR2/4)","6/709","17/11287",0.352941176470588,5.61868414502614,4.93369303853506,0.000408923168537247,0.00895939455636051,0.00895939455636051,"TLR1/LY96/MYD88/TLR2/TLR4/BTK",6
"R-HSA-9839923","Dengue Virus Infection","43/709","402/11287",0.106965174129353,1.70284332919324,3.71491341807484,0.000410407048777384,0.00895939455636051,0.00895939455636051,"HSPA8/CSTF1/KPNB1/UBA7/H2BC6/HSPA1A/RETREG1/H2AC6/XPO1/STAT2/DYNLT1/H2BC21/PML/H2BC4/LY6E/LY96/TSG101/DAXX/PIK3R4/CD300A/GPKOW/EXOC1/TLR4/AXL/PPIL1/H3C6/H4C16/H2BC7/H2BC17/ISY1-RAB43/CSTF2T/XRN1/IFIH1/H4C14/H2BC18/H4C8/UBA3/H2BC5/AGRN/H4C15/HSPA1B/PLRG1/TRIM25",43
"R-HSA-73772","RNA Polymerase I Promoter Escape","15/709","90/11287",0.166666666666667,2.65326751292901,4.07666389155645,0.000446299939543492,0.00958057203553363,0.00958057203553363,"H3-3B/H2BC6/H2AC6/H2BC21/H2BC4/H3C6/H4C16/H2BC7/H2BC17/GTF2H2/H4C14/H4C8/H2BC5/H4C15/GTF2H1",15
"R-HSA-168138","Toll Like Receptor 9 (TLR9) Cascade","17/709","110/11287",0.154545454545455,2.46030260289781,3.98444591105274,0.00047790836298178,0.00979651448280434,0.00979651448280434,"USP18/IKBIP/TICAM2/TLR7/VRK3/LY96/MAP2K6/TIFA/MYD88/TASL/PIK3R4/IRF7/TLR4/TMED7-TICAM2/CREB1/NOD2/ALPK1",17
