"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Immune system","hsa04613","Neutrophil extracellular trap formation","44/810","195/9424",0.225641025641026,2.62523583412472,7.03219723868939,1.61540574764464e-09,5.50853359946823e-07,5.50853359946823e-07,"3021/2357/440689/554313/3690/8343/3017/8364/8353/8370/8348/1991/2358/2215/1511/7099/7097/727/8344/366/2212/8334/8365/566/834/8347/1378/27180/837/8358/4353/8361/6404/4688/51284/51311/8349/653361/820/8294/2214/121504/2209/3674",44
"Organismal Systems","Immune system","hsa04621","NOD-like receptor signaling pathway","41/810","187/9424",0.219251336898396,2.55089456658084,6.56859185134605,1.42154560127421e-08,2.42373525017254e-06,2.42373525017254e-06,"8772/22900/58484/29110/2633/10616/11035/10010/6773/64127/4938/115362/118429/4940/9447/6041/91662/4671/1667/3665/7099/728358/55914/10379/2635/2634/84674/1668/4615/834/838/1669/4939/837/3428/6772/114769/820/4210/10628/115361",41
"Human Diseases","Infectious disease: viral","hsa05168","Herpes simplex virus 1 infection","39/810","180/9424",0.216666666666667,2.52082304526749,6.31712746838411,4.52452109281522e-08,3.9096906308733e-06,3.9096906308733e-06,"5610/8772/29110/567/3690/10189/3133/6773/1616/8740/6890/4938/29992/4940/6041/6891/684/317/3665/56829/7097/10379/6672/727/356/836/64135/7132/4615/23586/4939/3717/355/5371/6772/3459/5818/578/3460",39
"Human Diseases","Infectious disease: viral","hsa05164","Influenza A","38/810","173/9424",0.219653179190751,2.55556982801684,6.3321747742532,4.58614736759331e-08,3.9096906308733e-06,3.9096906308733e-06,"5610/8772/29110/6773/7177/4938/4940/6041/317/3665/7099/10379/4599/896/356/836/64135/3627/7132/4615/834/23586/4939/91543/7706/3717/355/5371/7514/6772/3459/56649/51284/103/4600/578/8743/3460",38
"Human Diseases","Infectious disease: viral","hsa05162","Measles","32/810","136/9424",0.235294117647059,2.73754538852578,6.25862859804371,9.92303810628909e-08,6.76751198848916e-06,6.76751198848916e-06,"5610/8772/29110/3561/6773/6774/3304/4938/3303/4940/3312/317/3665/7099/7097/10379/4599/896/356/836/64135/4615/3310/23586/2213/4939/355/6772/51284/103/4600/578",32
"Human Diseases","Immune disease","hsa05322","Systemic lupus erythematosus","29/810","143/9424",0.202797202797203,2.35945782612449,5.02309096331297,9.62216241197167e-06,0.000508576696066528,0.000508576696066528,"3021/440689/554313/8343/3017/8364/8353/8370/8348/1991/2215/6737/1511/727/8344/717/2212/8334/8365/8347/714/8358/8361/2903/8349/8294/2214/121504/2209",29
"Human Diseases","Cancer: overview","hsa05203","Viral carcinogenesis","37/810","205/9424",0.180487804878049,2.09989762119843,4.88227184301004,1.04399908283452e-05,0.000508576696066528,0.000508576696066528,"5610/440689/554313/2966/3249/3265/3133/8343/6774/3017/8364/8370/8348/8900/9261/3665/10379/6672/896/836/9519/8344/4055/728340/8365/2965/1385/8347/1232/8361/1960/8349/2959/8294/578/2960/121504",37
"Cellular Processes","Transport and catabolism","hsa04145","Phagocytosis","42/810","260/9424",0.161538461538462,1.8794301994302,4.40940692802587,4.42203865703178e-05,0.00181737126950011,0.00181737126950011,"671/7096/84938/3690/3133/6890/8773/8417/84617/1991/5657/2215/6891/6993/1511/1667/3934/3693/7099/728358/7097/3920/30849/2212/1668/4057/7060/566/4973/2213/1669/1378/4353/22925/4688/528/653361/526/1759/2214/9711/2209",42
"Human Diseases","Infectious disease: bacterial","hsa05134","Legionellosis","15/810","56/9424",0.267857142857143,3.11640211640212,4.87083514419578,5.15382027612173e-05,0.00181737126950011,0.00181737126950011,"58484/3304/3303/3312/4671/317/7099/7097/836/4615/3310/834/840/1378/7100",15
"Human Diseases","Infectious disease: viral","hsa05160","Hepatitis C","29/810","156/9424",0.185897435897436,2.16283634061412,4.49078800180236,5.32953451466308e-05,0.00181737126950011,0.00181737126950011,"5610/8772/29110/3265/6773/6774/4938/3434/4940/6041/8837/317/3665/10379/4599/8554/356/836/3627/7132/23586/4939/91543/355/6772/5522/4600/578/1869",29
"Human Diseases","Infectious disease: bacterial","hsa05152","Tuberculosis","32/810","181/9424",0.176795580110497,2.05694018143374,4.40268780695417,6.20398595126008e-05,0.00192323564489063,0.00192323564489063,"8772/843/4800/7096/805/64127/2215/317/3588/7099/7097/26253/3920/836/2212/7132/4615/1385/2213/1378/3717/6772/22925/3459/8877/820/91860/4802/2214/2209/3460/4801",32
"Organismal Systems","Immune system","hsa04623","Cytosolic DNA-sensing pathway","18/810","83/9424",0.216867469879518,2.5231593038822,4.27388034411359,0.000191654697640184,0.0054461876579419,0.0054461876579419,"8772/29110/11035/653082/9447/3665/81030/197259/836/3627/834/23586/840/3428/25939/103/4210/11277",18
"Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","33/810","205/9424",0.160975609756098,1.87288166214995,3.87458385149619,0.000303811222767488,0.00796920207413179,0.00796920207413179,"5610/8772/29110/9636/567/3133/6773/6774/6890/4938/695/4940/8900/965/5609/6891/317/3665/8819/5608/7097/10379/896/836/3627/4615/23586/4939/355/6772/3280/578/1869",33
"Organismal Systems","Immune system","hsa04650","Natural killer cell mediated cytotoxicity","24/810","133/9424",0.180451127819549,2.0994708994709,3.91573236565014,0.00036511398535703,0.00889313350048193,0.00889313350048193,"5551/3265/3133/4277/3805/2215/117157/3812/356/836/962/3804/3002/355/9437/3459/7462/53358/3802/8743/3811/5777/2214/3460",24
"Organismal Systems","Immune system","hsa04612","Antigen processing and presentation","17/810","82/9424",0.207317073170732,2.41204456489009,3.93794883832327,0.000501618095133144,0.0114034513626935,0.0114034513626935,"4800/567/3133/3304/6890/3805/3303/3312/6891/3812/3804/3310/1385/3802/3811/4802/4801",17
"Environmental Information Processing","Signaling molecules and interaction","hsa04061","Viral protein interaction with cytokine and cytokine receptor","19/810","100/9424",0.19,2.21056790123457,3.73183723023177,0.000758289863689436,0.0161610527198811,0.0161610527198811,"8794/3561/3577/8740/6354/8809/5473/8807/3588/1230/4055/5196/3627/7132/1232/1524/729230/3579/8743",19
"Human Diseases","Infectious disease: parasitic","hsa05140","Leishmaniasis","16/810","78/9424",0.205128205128205,2.38657803102248,3.77062549115295,0.000821228469329942,0.0164728769436182,0.0164728769436182,"65108/2215/7099/7097/2212/4615/1378/3717/6772/3459/4688/653361/5777/2214/2209/3460",16
"Cellular Processes","Transport and catabolism","hsa04148","Efferocytosis","26/810","158/9424",0.164556962025316,1.91454914830442,3.55487321733127,0.000917884080511077,0.0173888039696821,0.0173888039696821,"3690/5031/1847/6868/5087/114786/100133941/1844/9261/1846/19/3693/558/836/50636/1385/834/1524/840/3717/714/8877/240/246/1850/5777",26
"Organismal Systems","Development and regeneration","hsa04380","Osteoclast differentiation","24/810","142/9424",0.169014084507042,1.96640584246218,3.5580955640409,0.000970172357500906,0.0174120407319899,0.0174120407319899,"3690/6773/695/353514/5609/2215/3727/5608/10379/2212/2354/7132/79168/1385/2213/6772/3459/4688/653361/23547/2214/2209/3460/11027",24
"Cellular Processes","Cell growth and death","hsa04217","Necroptosis","27/810","168/9424",0.160714285714286,1.86984126984127,3.4883306847372,0.00106745446370392,0.0182000986061519,0.0182000986061519,"5610/8772/128866/10616/11035/6773/51510/6774/5481/8837/7099/81030/10379/197259/356/8334/7132/834/5837/3717/355/6772/3459/353376/246/8743/3460",27
"Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","32/810","216/9424",0.148148148148148,1.72363968907179,3.29914398477289,0.00158604794904842,0.0257543976488338,0.0257543976488338,"29110/805/10010/3265/6774/3304/3303/3312/5609/23643/19/317/3665/7099/5608/7097/356/836/7132/4615/3310/834/4973/840/9619/3717/355/353376/4688/653361/8743/91860",32
"Human Diseases","Infectious disease: bacterial","hsa05150","Staphylococcus aureus infection","18/810","99/9424",0.181818181818182,2.11537598204265,3.4209689841327,0.00174633527713458,0.027068196795586,0.027068196795586,"719/2357/25984/2358/2215/1667/728358/727/717/2212/1668/2213/1669/714/6404/820/2214/2209",18
"Organismal Systems","Immune system","hsa04620","Toll-like receptor signaling pathway","19/810","109/9424",0.174311926605505,2.02804394608676,3.31030622414514,0.00219489357458452,0.0325416829971009,0.0325416829971009,"8772/29110/7096/6773/5609/23643/3665/7099/5608/7097/10379/3627/4615/6696/6772/353376/51284/51311/7100",19
"Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease","34/810","239/9424",0.142259414225941,1.65512681440157,3.14571531662185,0.00230745224670205,0.0327850506718917,0.0327850506718917,"5610/29110/719/9636/6773/6774/6208/6868/4938/4940/6181/7099/7097/10379/727/4599/64135/717/2212/3627/7132/4615/834/23586/4939/714/100526842/6772/51284/51311/3921/103/4600/6187",34
"Human Diseases","Infectious disease: viral","hsa05167","Kaposi sarcoma-associated herpesvirus infection","29/810","196/9424",0.147959183673469,1.72144116906022,3.1297513523138,0.00262246233490696,0.0357703862481309,0.0357703862481309,"5610/8772/29110/805/3265/3133/6773/4277/6774/9976/5609/9261/3665/5608/1230/10379/836/7132/1385/1232/3717/355/6772/3459/3055/7422/578/91860/1869",29
"Human Diseases","Infectious disease: viral","hsa05161","Hepatitis B","25/810","163/9424",0.153374233128834,1.7844429296372,3.09785356119578,0.00309336807806624,0.0405707121007918,0.0405707121007918,"8772/29110/843/3265/6773/6774/8900/5609/317/3665/7099/5608/7097/356/836/64135/4615/1385/23586/3717/355/6772/353376/1960/1869",25
