"PC","Comparison","Mean_Change","Median_Change","SD_Change","Wilcoxon_P"
"PC1","D3 - D0",-16.8924740313545,-11.4822767059072,40.2975548683604,1.24124916423582e-06
"PC1","D7 - D0",-24.5418730137784,-19.7632903331482,39.4929707021344,4.10726378558959e-10
"PC1","D7 - D3",-7.64939898242389,-4.85860605145906,38.0302478372448,0.0428989210841005
"PC2","D3 - D0",8.91887251144641,9.25903565011077,7.44928580770863,0
"PC2","D7 - D0",12.3726276179767,12.0474186386094,8.02595936860497,0
"PC2","D7 - D3",3.45375510653026,3.85797761756154,7.99013671628755,7.54280561277021e-06
