"Gene","logFC","t","PValue","FDR","SYMBOL","GENENAME"
"ENSG00000173193",-0.646976428197263,-6.25199225956416,7.25600403045845e-09,3.03752453168392e-06,"PARP14","poly(ADP-ribose) polymerase family member 14"
"ENSG00000221963",-0.615453116033883,-6.23822570170607,7.74796740249495e-09,3.17296108539565e-06,"APOL6","apolipoprotein L6"
"ENSG00000158406",-0.622594993638791,-6.23266319222483,7.9559420443653e-09,3.18880928152667e-06,"H4C8","H4 clustered histone 8"
"ENSG00000107201",-0.903258158112514,-6.22189835601486,8.3741617549696e-09,3.28650956541911e-06,"RIGI","RNA sensor RIG-I"
"ENSG00000146859",-0.964450827999199,-6.20352114418165,9.13871618476405e-09,3.51337011201194e-06,"TMEM140","transmembrane protein 140"
"ENSG00000112343",-0.441705839336207,-6.18951166588179,9.76735487530224e-09,3.67994862281887e-06,"TRIM38","tripartite motif containing 38"
"ENSG00000172432",-0.630986830058835,-6.17071101281842,1.0678327432106e-08,3.86842946473101e-06,"GTPBP2","GTP binding protein 2"
"ENSG00000109046",-0.61112649866645,-6.17340941831419,1.05426123180109e-08,3.86842946473101e-06,"WSB1","WD repeat and SOCS box containing 1"
"ENSG00000142089",-0.706156782731501,-6.11850656772906,1.36695636053884e-08,4.85862715468504e-06,"IFITM3","interferon induced transmembrane protein 3"
"ENSG00000228863",-0.894965103601265,-6.09133716976688,1.55384420531043e-08,5.42061428511813e-06,NA,NA
"ENSG00000187608",-0.991267980504646,-6.0747854858274,1.67979115321184e-08,5.75343740803722e-06,"ISG15","ISG15 ubiquitin like modifier"
"ENSG00000260943",-1.05224930385009,-6.06782217825631,1.73573068634325e-08,5.83887404809539e-06,NA,NA
"ENSG00000138496",-0.663013310260915,-6.03674560802116,2.00855480903685e-08,6.63809745484846e-06,"PARP9","poly(ADP-ribose) polymerase family member 9"
"ENSG00000250138",-0.717900271933468,-6.03076178314095,2.06573317719015e-08,6.70935889515655e-06,"LOC728488","POM121 membrane glycoprotein (rat) pseudogene"
"ENSG00000134326",-1.07633266287388,-6.01792346152959,2.19386527063273e-08,7.00475152003041e-06,"CMPK2","cytidine/uridine monophosphate kinase 2"
"ENSG00000250687",-1.23933296708005,-6.00078947530376,2.37711300686397e-08,7.34099259398416e-06,"NAIPP1","NAIP pseudogene 1"
"ENSG00000130813",-0.486290477565296,-6.00383515509814,2.34347447313369e-08,7.34099259398416e-06,"SHFL","shiftless antiviral inhibitor of ribosomal frameshifting"
"ENSG00000205413",-0.794637607200017,-5.9926340659787,2.46954197488477e-08,7.49081282641964e-06,"SAMD9","sterile alpha motif domain containing 9"
"ENSG00000114439",-0.445680263024436,-5.98957156908346,2.50515557949059e-08,7.49081282641964e-06,"BBX","BBX high mobility group box domain containing"
"ENSG00000055332",-0.605500403531642,-5.97843088484387,2.63902057045228e-08,7.76779211034063e-06,"EIF2AK2","eukaryotic translation initiation factor 2 alpha kinase 2"
"ENSG00000173198",-0.873484167100025,-5.95552393248325,2.93674108990381e-08,8.51112748486276e-06,"CYSLTR1","cysteinyl leukotriene receptor 1"
"ENSG00000136147",-0.600714729894309,-5.9362997317252,3.21188199823852e-08,9.16748986103291e-06,"PHF11","PHD finger protein 11"
"ENSG00000168394",-0.670190097259476,-5.92736684304208,3.34820400875257e-08,9.41395031595239e-06,"TAP1","transporter 1, ATP binding cassette subfamily B member"
"ENSG00000185885",-0.645894629279906,-5.90962036336069,3.6361080356781e-08,1.00730887023682e-05,"IFITM1","interferon induced transmembrane protein 1"
"ENSG00000181381",-0.593380948728628,-5.90637847332177,3.69126827921941e-08,1.00776973686863e-05,"DDX60L","DExD/H-box 60 like"
"ENSG00000135114",-0.837270384104059,-5.87602209546521,4.24932332206349e-08,1.11998062270059e-05,"OASL","2'-5'-oligoadenylate synthetase like"
"ENSG00000170956",-0.641697267136361,-5.87443704601988,4.28063514356315e-08,1.11998062270059e-05,"CEACAM3","CEA cell adhesion molecule 3"
"ENSG00000229474",-0.618872058324334,-5.87761516104877,4.21807984129228e-08,1.11998062270059e-05,"PATL2","PAT1 homolog 2"
"ENSG00000108771",-0.918703691983593,-5.86712051738751,4.42813142220553e-08,1.14270054426723e-05,"DHX58","DExH-box helicase 58"
"ENSG00000155363",-0.679991420680363,-5.85291073350941,4.72899090045216e-08,1.19328466904019e-05,"MOV10","Mov10 RNA helicase"
"ENSG00000154642",-0.591895717876006,-5.85191357944693,4.75084139388547e-08,1.19328466904019e-05,"C21orf91","chromosome 21 open reading frame 91"
"ENSG00000147168",-0.397367856468279,-5.82252022190452,5.44140014823978e-08,1.34875126305975e-05,"IL2RG","interleukin 2 receptor subunit gamma"
"ENSG00000121486",-0.854267673023511,-5.81822608797438,5.55020691083926e-08,1.35785451670636e-05,"TRMT1L","tRNA methyltransferase 1L"
"ENSG00000270972",-1.07011188871317,-5.80411978430632,5.92288746890926e-08,1.43045325819632e-05,NA,NA
"ENSG00000123405",-0.668804057657567,-5.78003478963899,6.6167594573775e-08,1.57780398301364e-05,"NFE2","nuclear factor, erythroid 2"
"ENSG00000138642",-0.800458595558651,-5.769299795475,6.95116399270206e-08,1.63682534118152e-05,"HERC6","HECT and RLD domain containing E3 ubiquitin protein ligase family member 6"
"ENSG00000173821",-0.442853315533782,-5.75530466207747,7.41212562512327e-08,1.71575392860808e-05,"RNF213","ring finger protein 213"
"ENSG00000068024",-0.358925120820237,-5.75365170252547,7.46851163318094e-08,1.71575392860808e-05,"HDAC4","histone deacetylase 4"
