"Gene","logFC","t","PValue","FDR","SYMBOL","GENENAME"
"ENSG00000074319",-1.03300667067337,-7.53793418778673,1.23919658725488e-11,1.2215586243175e-10,"TSG101","tumor susceptibility 101"
"ENSG00000168517",-1.34976219123387,-7.5320931149274,1.27677330902947e-11,1.25662777405941e-10,"HEXIM2","HEXIM P-TEFb complex subunit 2"
"ENSG00000159596",-1.01050007281142,-7.52878379400232,1.29856221656228e-11,1.27673878056369e-10,"TMEM69","transmembrane protein 69"
"ENSG00000161714",1.16573618880334,7.52790689120456,1.30439740131106e-11,1.28113859467663e-10,"PLCD3","phospholipase C delta 3"
"ENSG00000268433",-1.40279141506805,-7.524738092343,1.32570125606921e-11,1.30138406783907e-10,"MTDHP3","metadherin pseudogene 3"
"ENSG00000189298",-1.08509733740374,-7.52278562585351,1.33899919723608e-11,1.31375348320485e-10,"ZKSCAN3","zinc finger with KRAB and SCAN domains 3"
"ENSG00000272625",-1.28528847642036,-7.5215107607238,1.34775342938017e-11,1.32068456827721e-10,NA,NA
"ENSG00000223914",-1.14418393746203,-7.52068793296778,1.35343374149332e-11,1.32515513629164e-10,"LINC02471","long intergenic non-protein coding RNA 2471"
"ENSG00000145365",-1.40917379373873,-7.51957273932707,1.3611702993756e-11,1.33203771946169e-10,"TIFA","TRAF interacting protein with forkhead associated domain"
"ENSG00000223549",-1.30586404388068,-7.51889921900079,1.36586402089688e-11,1.33593698990942e-10,"MTND5P28","MT-ND5 pseudogene 28"
"ENSG00000270149",-2.61152704739614,-7.50934895450626,1.43417324095995e-11,1.39839314250536e-10,NA,NA
"ENSG00000125817",1.19190481047352,7.50582530027555,1.46022339903431e-11,1.4186533466224e-10,"CENPB","centromere protein B"
"ENSG00000125520",1.11427813611626,7.50588341214779,1.45978999816643e-11,1.4186533466224e-10,"SLC2A4RG","SLC2A4 regulator"
"ENSG00000258730",-1.16770071974971,-7.50389712578013,1.47467641779531e-11,1.43195641022825e-10,"ITPK1-AS1","ITPK1 antisense RNA 1"
"ENSG00000100604",-1.24487641647032,-7.5037357608664,1.47589237632733e-11,1.43239879367616e-10,"CHGA","chromogranin A"
"ENSG00000285816",-1.70014491546395,-7.50233636727106,1.48647924824541e-11,1.44044812030769e-10,NA,NA
"ENSG00000073792",1.19086941124176,7.4954427790566,1.53974124780231e-11,1.48823220246793e-10,"IGF2BP2","insulin like growth factor 2 mRNA binding protein 2"
"ENSG00000242197",-1.43408906105151,-7.49061015356912,1.57820411130465e-11,1.52417005482272e-10,"RPL37P14","ribosomal protein L37 pseudogene 14"
"ENSG00000101493",-1.05192733142196,-7.49056832785304,1.57854112801737e-11,1.52417005482272e-10,"ZNF516","zinc finger protein 516"
"ENSG00000162972",-1.09948734195555,-7.48978808168559,1.58484117707486e-11,1.52868602630497e-10,"MAIP1","matrix AAA peptidase interacting protein 1"
"ENSG00000080986",-1.13076018359535,-7.48681977977902,1.60903730321133e-11,1.55002674751792e-10,"NDC80","NDC80 kinetochore complex component"
"ENSG00000161653",-1.27357678903169,-7.48655247252349,1.61123416090118e-11,1.55096725207237e-10,"NAGS","N-acetylglutamate synthase"
"ENSG00000044115",-1.02879373439853,-7.4864196641165,1.61232674937316e-11,1.5512263179107e-10,"CTNNA1","catenin alpha 1"
"ENSG00000167210",-1.1873882672305,-7.48625066434304,1.61371813971345e-11,1.55177245104247e-10,"LOXHD1","lipoxygenase homology PLAT domains 1"
"ENSG00000150048",-1.32072391811445,-7.48439208982803,1.62909874702364e-11,1.56576337736895e-10,"CLEC1A","C-type lectin domain family 1 member A"
"ENSG00000132622",1.25164543664269,7.48410042298118,1.63152559649591e-11,1.56729623594033e-10,"HSPA12B","heat shock protein family A (Hsp70) member 12B"
"ENSG00000136144",-1.17431182478197,-7.4787586034245,1.67661251401292e-11,1.60896722052855e-10,"RCBTB1","RCC1 and BTB domain containing protein 1"
"ENSG00000287878",1.18756013524151,7.47841016111403,1.67959606351733e-11,1.61100970695212e-10,NA,NA
"ENSG00000129538",-1.85815986254666,-7.47764007064191,1.686208684006e-11,1.61652922082977e-10,"RNASE1","ribonuclease A family member 1, pancreatic"
"ENSG00000145911",1.14869572722428,7.47700415084044,1.6916886677672e-11,1.62095783944041e-10,"N4BP3","NEDD4 binding protein 3"
"ENSG00000164690",-1.09482932089286,-7.47674103815834,1.69396118159039e-11,1.62231015448906e-10,"SHH","sonic hedgehog signaling molecule"
"ENSG00000102531",-1.03182855668197,-7.47381551226062,1.7194339739621e-11,1.64503286955297e-10,"FNDC3A","fibronectin type III domain containing 3A"
"ENSG00000135378",-1.08945780801981,-7.46797110354941,1.77146480922345e-11,1.69137628363666e-10,"PRRG4","proline rich and Gla domain 4"
"ENSG00000237781",-1.41055966394459,-7.46633616996066,1.7862975767858e-11,1.70467445549599e-10,"ADAMTSL4-AS2","ADAMTSL4 antisense RNA 2"
"ENSG00000238025",-1.15441694804909,-7.46409991743736,1.80678541139103e-11,1.72248095039394e-10,"ZDHHC4P1","ZDHHC4 pseudogene 1"
"ENSG00000260293",1.38337386690733,7.45853728930451,1.85876492417846e-11,1.7690824680705e-10,NA,NA
"ENSG00000108599",-1.02108988419746,-7.45750414608837,1.86858108269641e-11,1.77689704370696e-10,"AKAP10","A-kinase anchoring protein 10"
"ENSG00000164626",1.24965037839474,7.45453640430202,1.89706523977615e-11,1.80307341003547e-10,"KCNK5","potassium two pore domain channel subfamily K member 5"
"ENSG00000236867",1.29492971500004,7.44893182517905,1.95203717572147e-11,1.8534514272299e-10,NA,NA
"ENSG00000147454",-1.11306955131105,-7.43992158343284,2.04374293507844e-11,1.93370313465634e-10,"SLC25A37","solute carrier family 25 member 37"
"ENSG00000125740",1.40123932338655,7.437392308667,2.07024516376001e-11,1.95631327838352e-10,"FOSB","FosB proto-oncogene, AP-1 transcription factor subunit"
"ENSG00000225178",1.01333035173322,7.43388810965816,2.10752689282935e-11,1.98905769574746e-10,NA,NA
"ENSG00000198574",-1.22843423623671,-7.43184497950391,2.12957055446837e-11,2.00885578893717e-10,"SH2D1B","SH2 domain containing 1B"
"ENSG00000237036",-1.04529746149455,-7.42609181966942,2.19287828485632e-11,2.06443983658787e-10,"ZEB1-AS1","ZEB1 antisense RNA 1"
"ENSG00000102763",-1.17327906520716,-7.42491025057333,2.2061094540022e-11,2.07585863608859e-10,"VWA8","von Willebrand factor A domain containing 8"
"ENSG00000134809",-1.13436146478967,-7.423606607168,2.22079947959744e-11,2.08863807272374e-10,"TIMM10","translocase of inner mitochondrial membrane 10"
"ENSG00000156136",-1.30463775056914,-7.42146986395582,2.24508731263366e-11,2.11042688599765e-10,"DCK","deoxycytidine kinase"
"ENSG00000272767",-1.27317022262348,-7.41786148571579,2.28670227747572e-11,2.14419599318504e-10,"JMJD1C-AS1","JMJD1C antisense RNA 1"
"ENSG00000166886",1.06012482121676,7.41801335669,2.28493544831089e-11,2.14419599318504e-10,"NAB2","NGFI-A binding protein 2"
"ENSG00000232748",1.01315548877029,7.41156239393945,2.36119006549296e-11,2.20854510693924e-10,NA,NA
"ENSG00000169397",1.40220051045861,7.40669970315793,2.42033336146401e-11,2.26049776218439e-10,"RNASE3","ribonuclease A family member 3"
"ENSG00000102218",-1.33000470514451,-7.40619078321443,2.42660746609208e-11,2.26358402596585e-10,"RP2","RP2 activator of ARL3 GTPase"
"ENSG00000162929",-1.0824676020492,-7.40613933221345,2.42724266506584e-11,2.26358402596585e-10,"SANBR","SANT and BTB domain regulator of CSR"
