"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: viral","hsa05162","Measles","32/534","136/9424",0.235294117647059,4.15245648821326,9.07552579176396,2.73997091601186e-12,8.74050722207783e-10,8.74050722207783e-10,"5610/3312/8772/29110/2213/51284/355/896/3310/3561/3303/4940/6773/10379/4939/4615/7097/23586/6772/4938/3665/7099/4600/578/64135/103/356/6774/3304/4599/317/836",32
"Human Diseases","Infectious disease: viral","hsa05164","Influenza A","36/534","173/9424",0.208092485549133,3.67240371500942,8.69451020352944,5.6886468370757e-12,9.07339170513574e-10,9.07339170513574e-10,"5610/8772/29110/91543/3627/51284/355/896/3459/3717/4940/7514/6041/6773/5371/10379/4939/4615/23586/6772/4938/3665/7099/4600/834/578/8743/3460/7132/64135/103/356/4599/317/7706/836",36
"Human Diseases","Infectious disease: viral","hsa05168","Herpes simplex virus 1 infection","36/534","180/9424",0.2,3.52958801498127,8.39789465922811,1.92331914677857e-11,2.04512935940787e-09,2.04512935940787e-09,"5610/8772/29110/567/3133/355/3459/3717/29992/6891/4940/6041/6773/5371/10379/4939/56829/6672/4615/7097/1616/23586/6772/4938/3665/684/578/3460/7132/6890/64135/356/8740/317/836/727",36
"Organismal Systems","Immune system","hsa04621","NOD-like receptor signaling pathway","36/534","187/9424",0.192513368983957,3.39746439944722,8.11562258337272,6.07640601424998e-11,4.84593379636436e-09,4.84593379636436e-09,"8772/22900/4671/58484/29110/4210/115361/3428/118429/4940/55914/9447/6041/6773/10379/838/4939/10010/115362/4615/84674/10628/2635/6772/2633/4938/114769/837/3665/7099/2634/91662/834/64127/10616/11035",36
"Organismal Systems","Immune system","hsa04613","Neutrophil extracellular trap formation","33/534","195/9424",0.169230769230769,2.98657447421492,6.87003859906733,1.18900291686361e-08,7.58583860958985e-07,7.58583860958985e-07,"3021/51284/8344/653361/8334/8349/8347/7097/366/2215/4688/2358/837/7099/2212/8353/27180/834/121504/2209/8343/1378/8348/51311/8370/440689/8365/2214/3017/554313/6404/727/2357",33
"Human Diseases","Infectious disease: bacterial","hsa05134","Legionellosis","15/534","56/9424",0.267857142857143,4.72712680577849,6.85581491952105,3.06413863408491e-07,1.42355686294519e-05,1.42355686294519e-05,"3312/4671/58484/840/3310/3303/4615/7097/7099/834/7100/1378/3304/317/836",15
"Human Diseases","Infectious disease: bacterial","hsa05152","Tuberculosis","29/534","181/9424",0.160220994475138,2.82757050923914,6.08444957053332,3.12379248922143e-07,1.42355686294519e-05,1.42355686294519e-05,"8772/2213/3459/3717/3920/805/7096/3588/4615/7097/2215/6772/4800/7099/2212/91860/4802/2209/3460/26253/843/4801/1378/1385/7132/2214/64127/317/836",29
"Human Diseases","Cancer: overview","hsa05203","Viral carcinogenesis","31/534","205/9424",0.151219512195122,2.66871288937608,5.92012650551495,4.58290758680287e-07,1.82743440023765e-05,1.82743440023765e-05,"5610/4055/3133/896/8344/8349/10379/8347/9519/1232/6672/3665/3249/578/2960/2959/121504/8343/8348/8900/1385/728340/2966/8370/440689/8365/3017/6774/554313/2965/836",31
"Human Diseases","Infectious disease: viral","hsa05160","Hepatitis C","26/534","156/9424",0.166666666666667,2.94132334581773,5.99213387181253,5.87615053113263e-07,2.08276891047923e-05,2.08276891047923e-05,"5610/8772/29110/91543/3627/355/4940/8837/6041/6773/10379/4939/23586/6772/4938/3665/8554/4600/578/3434/7132/356/6774/4599/317/836",26
"Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","30/534","205/9424",0.146341463414634,2.58262537681557,5.61471209411556,1.42885433387887e-06,4.55804532507359e-05,4.55804532507359e-05,"5610/8772/29110/567/3627/3133/355/896/6891/4940/6773/10379/4939/5608/9636/4615/7097/23586/6772/4938/3665/578/695/965/8900/6890/8819/6774/317/836",30
