"Gene","logFC","t","PValue","FDR"
"ENSG00000108774",-0.912506537853213,-6.96250887984683,2.26605643845702e-10,1.76908293359525e-09
"ENSG00000101181",-0.740311211024556,-6.9621241260596,2.27040303974094e-10,1.77174202413587e-09
"ENSG00000092010",-0.525256115458871,-6.96178605446536,2.27422907573522e-10,1.77399285004969e-09
"ENSG00000129911",1.26500255854525,6.96084302929712,2.28493526290187e-10,1.78160639414509e-09
"ENSG00000256646",-1.33761543357072,-6.9606727445297,2.28687381837902e-10,1.78238018165594e-09
"ENSG00000058668",-0.789185246036631,-6.96005314143021,2.2939412454957e-10,1.78714909771084e-09
"ENSG00000075884",-0.942425634104063,-6.95814150074352,2.31588261382152e-10,1.80275192889132e-09
"ENSG00000234745",-0.484954868202335,-6.9581902983572,2.31531995201603e-10,1.80275192889132e-09
"ENSG00000189013",-1.36971797199953,-6.95774224552986,2.32049131824634e-10,1.80559336857185e-09
"ENSG00000115661",-0.940490950630045,-6.9562211971285,2.3381324546558e-10,1.81856891745689e-09
"ENSG00000198223",-0.952265005772103,-6.95601736228265,2.34050659364117e-10,1.81966418534925e-09
"ENSG00000128272",0.424648161044588,6.95459495658447,2.35714039915759e-10,1.83184038116051e-09
"ENSG00000064270",0.933642683800005,6.95399881913921,2.36414644389372e-10,1.83652745196164e-09
"ENSG00000167671",0.762328571105576,6.95374203323821,2.36717063914117e-10,1.83811873454828e-09
"ENSG00000023330",-0.897231814468283,-6.9532265746645,2.37325280791288e-10,1.84208225774466e-09
"ENSG00000118308",-0.606320153328547,-6.95139311575073,2.39501233317432e-10,1.85820602686729e-09
"ENSG00000187116",-1.05522541983039,-6.95100383759231,2.39965763524881e-10,1.86104366129341e-09
"ENSG00000214322",-1.21391417108318,-6.95090936731942,2.40078630360891e-10,1.8611527731434e-09
"ENSG00000188340",1.25676297734507,6.94984827621644,2.41349965534843e-10,1.86946983994465e-09
"ENSG00000170248",-0.85767137859549,-6.94990837123574,2.41277785716431e-10,1.86946983994465e-09
"ENSG00000146085",-1.03095847431195,-6.9494586432102,2.41818470298266e-10,1.87232895334103e-09
"ENSG00000281005",-1.0019065123896,-6.94835574423744,2.431495081549e-10,1.88186131249877e-09
"ENSG00000257181",-1.69154458880716,-6.94784098880445,2.43773221242988e-10,1.88591373378867e-09
"ENSG00000131748",-0.469393834998119,-6.94742030095221,2.44284130797932e-10,1.88909049916726e-09
"ENSG00000266127",-1.17679951926459,-6.94644342741935,2.45474596673349e-10,1.8975176250031e-09
"ENSG00000239305",0.715926570005173,6.94488588896567,2.47384571139154e-10,1.91149735484798e-09
"ENSG00000175482",-0.476567336340686,-6.9442653649807,2.48149594816746e-10,1.91662241375886e-09
"ENSG00000068489",0.829359671072677,6.94359680463577,2.48976460443999e-10,1.92222072206724e-09
"ENSG00000087157",-0.990229344134683,-6.94262124673879,2.50187909158926e-10,1.93078239767958e-09
"ENSG00000124813",-0.647372587675858,-6.94018516406971,2.53238561286637e-10,1.95352498669847e-09
"ENSG00000119013",-0.885445801184493,-6.93966962533907,2.53888861723015e-10,1.95773981872212e-09
"ENSG00000250893",-1.14014597460877,-6.93893523701576,2.54818072853806e-10,1.96410100508183e-09
"ENSG00000164430",-0.680414200681403,-6.93851224302165,2.55354807358585e-10,1.96743307199224e-09
"ENSG00000156500",-0.714679371590553,-6.93762633296744,2.56482560147087e-10,1.97450693422592e-09
"ENSG00000099800",0.612321939446108,6.93768751830104,2.5640451380536e-10,1.97450693422592e-09
"ENSG00000279946",1.31682722796666,6.93648132174815,2.579474480647e-10,1.98416252619143e-09
"ENSG00000070404",1.11339696327871,6.93651854619433,2.5789969447673e-10,1.98416252619143e-09
"ENSG00000044459",0.554323336893381,6.93523265780272,2.59554381689011e-10,1.99570834377861e-09
"ENSG00000075785",-0.792393114820274,-6.93506353630285,2.59772788069805e-10,1.99657273833496e-09
"ENSG00000000938",-0.829957416825924,-6.93467006565741,2.60281626568824e-10,1.9996677329949e-09
"ENSG00000275066",-0.573395847323984,-6.93369168756423,2.61551148842952e-10,2.00860193310376e-09
"ENSG00000269858",-0.582911209099994,-6.93062610140823,2.65568787398673e-10,2.038624619811e-09
"ENSG00000116750",-0.558960556592917,-6.93040197384443,2.65864903835592e-10,2.04006641892256e-09
"ENSG00000070731",-1.21805043231056,-6.93010908720587,2.66252356850262e-10,2.04220761333275e-09
"ENSG00000181649",1.31222052117497,6.92995498945047,2.66456433440617e-10,2.04294110425492e-09
"ENSG00000256594",-0.871251837835351,-6.92931794594959,2.67301733939106e-10,2.04858830917204e-09
"ENSG00000100418",-0.653310506616673,-6.92883292760757,2.67947088718365e-10,2.05269916928693e-09
"ENSG00000057657",-0.566817232596195,-6.92825977493534,2.68711700281888e-10,2.05771992272773e-09
"ENSG00000102081",-0.692227726041398,-6.92568996968596,2.72166556301541e-10,2.08332937326633e-09
"ENSG00000189159",-0.850373653835278,-6.924299639939,2.74054001178226e-10,2.09692496921017e-09
"ENSG00000099385",1.12231490997154,6.9232844203806,2.7544038830979e-10,2.10667723710102e-09
"ENSG00000005206",0.54125451078809,6.92083233752137,2.78817641732479e-10,2.13164234373232e-09
"ENSG00000174123",-1.06405597019417,-6.91573680268701,2.85967273800287e-10,2.18541643158207e-09
"ENSG00000232973",-1.22903030877133,-6.9116216743914,2.91873403631125e-10,2.22964767948221e-09
"ENSG00000136754",-0.864494625940452,-6.91093826239272,2.92865868242338e-10,2.23632234533813e-09
"ENSG00000125818",-0.581054888970875,-6.91009033578314,2.94101885551383e-10,2.24485061589017e-09
"ENSG00000158481",1.38667294052871,6.90990826751281,2.94367957502345e-10,2.2459714797202e-09
"ENSG00000270190",-1.09845663359893,-6.90930704734564,2.95248264445335e-10,2.25177603466446e-09
"ENSG00000154719",-1.30488433726065,-6.90866773750118,2.96187199095037e-10,2.25802284765371e-09
"ENSG00000287188",-1.21013567679738,-6.90792943481436,2.97275196921706e-10,2.26540055000449e-09
"ENSG00000105722",1.04853407696871,6.90776222850543,2.97522148564857e-10,2.26636564280824e-09
"ENSG00000235917",-1.19077991203679,-6.90743195495374,2.98010535167109e-10,2.26916833527809e-09
"ENSG00000204388",-1.3583316005195,-6.9068607086064,2.98857128967631e-10,2.27469519009787e-09
"ENSG00000066379",-0.635550028858938,-6.90662698196294,2.99204199992491e-10,2.27641709186533e-09
