"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","13/276","89/9424",0.146067415730337,4.98746132551702,6.56478314619101,1.68870481136768e-06,0.000459327708692008,0.000459327708692008,"3674/9900/3690/7060/3693/6696/3680/2812/3691/2335/6385/1293/1291",13
"Cellular Processes","Transport and catabolism","hsa04145","Phagocytosis","19/276","260/9424",0.0730769230769231,2.49520624303233,4.2465016196453,0.000222623286955226,0.0212705450298211,0.0212705450298211,"1667/4353/1669/22925/3690/7060/3693/3934/728358/4057/1511/1668/5657/671/1759/84617/566/4973/1991",19
"Human Diseases","Cardiovascular disease","hsa05414","Dilated cardiomyopathy","11/276","105/9424",0.104761904761905,3.57708764665286,4.61238171128116,0.000241558399828815,0.0212705450298211,0.0212705450298211,"775/4000/3674/59283/3690/3693/3680/107/112/3691/27091",11
"Human Diseases","Substance dependence","hsa05032","Morphine addiction","10/276","91/9424",0.10989010989011,3.75218983914636,4.58220493808287,0.000312802132791487,0.0212705450298211,0.0212705450298211,"5139/2555/107/2565/2561/112/3762/50940/2557/2566",10
"Organismal Systems","Environmental adaptation","hsa04710","Circadian rhythm","6/276","34/9424",0.176470588235294,6.02557544757033,5.09892375951899,0.000402721202153115,0.0219080333971295,0.0219080333971295,"9572/5187/5563/8553/1628/9975",6
"Environmental Information Processing","Signaling molecules and interaction","hsa04518","Integrin signaling","13/276","154/9424",0.0844155844155844,2.8823640127988,4.09081804821306,0.000575793184266765,0.0239969866275284,0.0239969866275284,"2200/3674/7423/3690/7060/3693/6696/3680/3691/2335/1293/1291/7422",13
"Human Diseases","Cardiovascular disease","hsa05410","Hypertrophic cardiomyopathy","10/276","99/9424",0.101010101010101,3.44898257941736,4.25466069760092,0.000617569508796687,0.0239969866275284,0.0239969866275284,"775/4000/5563/3674/59283/3690/3693/3680/3691/27091",10
"Cellular Processes","Transport and catabolism","hsa04148","Efferocytosis","13/276","158/9424",0.0822784810126582,2.80939277196845,3.98383465581048,0.00073413387726297,0.0246494629543487,0.0246494629543487,"8877/246/3690/1844/1846/3693/1847/1850/100133941/5087/9261/50636/114786",13
"Human Diseases","Cardiovascular disease","hsa05412","Arrhythmogenic right ventricular cardiomyopathy","9/276","86/9424",0.104651162790698,3.57330637007078,4.16389571959348,0.000889538855217976,0.0246494629543487,0.0246494629543487,"775/4000/3674/59283/3690/3693/3680/3691/27091",9
"Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","15/276","203/9424",0.0738916256157636,2.52302420218462,3.81023595838093,0.000906230255674584,0.0246494629543487,0.0246494629543487,"10398/3674/53358/7423/3690/7060/3693/6696/3680/3691/2335/1293/1291/7422/3265",15
"Human Diseases","Substance dependence","hsa05033","Nicotine addiction","6/276","41/9424",0.146341463414634,4.99681866383881,4.45473191645145,0.00113414110401056,0.0258243151067699,0.0258243151067699,"2903/2555/2565/2561/2557/2566",6
"Organismal Systems","Nervous system","hsa04727","GABAergic synapse","9/276","89/9424",0.101123595505618,3.45285784074255,4.03827861849452,0.00113930801941632,0.0258243151067699,0.0258243151067699,"6529/775/2555/107/2565/2561/112/2557/2566",9
"Organismal Systems","Nervous system","hsa04723","Retrograde endocannabinoid signaling","12/276","149/9424",0.0805369127516778,2.74992704989787,3.73974661794738,0.00140315871192866,0.029358397664969,0.029358397664969,"775/4537/2911/2555/107/2565/2561/112/3762/2557/2566/4541",12
"Organismal Systems","Endocrine system","hsa04921","Oxytocin signaling pathway","12/276","154/9424",0.0779220779220779,2.66064370412196,3.60896786715167,0.00186045166190044,0.0361459180026372,0.0361459180026372,"775/5563/10398/59283/8536/107/57172/112/3762/3768/27091/3265",12
"Environmental Information Processing","Signaling molecules and interaction","hsa04082","Neuroactive ligand signaling","14/276","199/9424",0.0703517587939698,2.40215570606656,3.4723672629594,0.00212120702162295,0.0384645539920961,0.0384645539920961,"6529/2903/4985/2911/2555/107/151/2914/2565/2561/112/2899/2557/2566",14
"Human Diseases","Cancer: overview","hsa05202","Transcriptional misregulation in cancer","14/276","201/9424",0.0696517412935323,2.37825365924003,3.43065572122819,0.00232743144284766,0.0395663345284103,0.0395663345284103,"8358/1667/8842/2115/4353/1669/84444/2078/728358/1668/9915/1991/5087/5328",14
