"Gene","logFC","t_statistic","P.Value","FDR","SYMBOL","GENENAME"
"ENSG00000181192",-0.407274284471728,-4.99280255056372,2.15980950942312e-06,1.17591016007262e-05,"DHTKD1","dehydrogenase E1 and transketolase domain containing 1"
"ENSG00000197746",-0.445717853405902,-4.99134623399422,2.17321101194913e-06,1.18286475131747e-05,"PSAP","prosaposin"
"ENSG00000122912",0.316782105526254,4.99063556423027,2.17978016657164e-06,1.18609759612584e-05,"SLC25A16","solute carrier family 25 member 16"
"ENSG00000131759",-0.58185795680864,-4.98926827157436,2.19247327027046e-06,1.19265987482977e-05,"RARA","retinoic acid receptor alpha"
"ENSG00000277452",-0.710085248370316,-4.98843763155231,2.20021950231729e-06,1.19618282783992e-05,"RN7SL473P","RNA, 7SL, cytoplasmic 473, pseudogene"
"ENSG00000164111",-0.539272201286503,-4.98844802534791,2.20012240944564e-06,1.19618282783992e-05,"ANXA5","annexin A5"
"ENSG00000095321",0.474503552991727,4.98786271700597,2.20559652101601e-06,1.19876016338429e-05,"CRAT","carnitine O-acetyltransferase"
"ENSG00000257093",0.596296138290805,4.98673474378217,2.21618331758051e-06,1.2041667532905e-05,"DENND11","DENN domain containing 11"
"ENSG00000143344",-0.820664385713977,-4.98626029574463,2.2206510906733e-06,1.20624640271349e-05,"RGL1","ral guanine nucleotide dissociation stimulator like 1"
"ENSG00000164430",-0.408105765944399,-4.98588427216468,2.2241982452817e-06,1.20782492201259e-05,"CGAS","cyclic GMP-AMP synthase"
"ENSG00000148337",0.379209178151097,4.98517385161,2.23091492761809e-06,1.21112321056108e-05,"CIZ1","CDKN1A interacting zinc finger protein 1"
"ENSG00000110080",-0.780745133745493,-4.98355451710492,2.24629878349194e-06,1.21912349419248e-05,"ST3GAL4","ST3 beta-galactoside alpha-2,3-sialyltransferase 4"
"ENSG00000066084",-0.572444976568814,-4.98328187199658,2.24889907225162e-06,1.22018320054943e-05,"DIP2B","DIP2 acetate--CoA ligase B (putative)"
"ENSG00000139644",-0.351518097129715,-4.98311020563423,2.25053780192053e-06,1.22072073459772e-05,"TMBIM6","transmembrane BAX inhibitor motif containing 6"
"ENSG00000189376",-0.472507837584258,-4.9822376910012,2.25888481229448e-06,1.22489556977558e-05,"C8orf76","chromosome 8 open reading frame 76"
"ENSG00000110651",0.677698823230511,4.98188520214835,2.26226547097774e-06,1.22637573934615e-05,"CD81","CD81 molecule"
"ENSG00000160973",1.17984801825712,4.98087071306494,2.2720227477036e-06,1.23095670179006e-05,"FOXH1","forkhead box H1"
"ENSG00000111897",-0.646107810260454,-4.98091316909714,2.2716135893938e-06,1.23095670179006e-05,"SERINC1","serine incorporator 1"
"ENSG00000136754",-0.474487436039634,-4.97934405836813,2.28678319244528e-06,1.2385975209685e-05,"ABI1","abl interactor 1"
"ENSG00000146085",-0.631545869152456,-4.97900894452308,2.29003570015907e-06,1.24000265937329e-05,"MMUT","methylmalonyl-CoA mutase"
"ENSG00000166971",-0.538762820681839,-4.97820877256379,2.29782012411353e-06,1.24386021546123e-05,"AKTIP","AKT interacting protein"
"ENSG00000173272",0.71223312400037,4.97813589860769,2.29853035141887e-06,1.24388723815078e-05,"MZT2A","mitotic spindle organizing protein 2A"
"ENSG00000162517",-0.401342813082324,-4.97778007910709,2.30200122502259e-06,1.24540778509407e-05,"PEF1","penta-EF-hand domain containing 1"
"ENSG00000119403",0.418989413972217,4.9752342707963,2.32698370073504e-06,1.25856212903953e-05,"PHF19","PHD finger protein 19"
"ENSG00000267374",0.844906030871249,4.97396977031851,2.33949030066609e-06,1.26496321136475e-05,"MIR924HG","MIR924 host gene"
"ENSG00000231105",0.671138516935876,4.97304425706647,2.34868554657283e-06,1.26920649243657e-05,"ECE1-AS1","ECE1 antisense RNA 1"
"ENSG00000204161",-0.540615222967549,-4.97309264653387,2.34820391329714e-06,1.26920649243657e-05,"TMEM273","transmembrane protein 273"
"ENSG00000183020",0.469986144581128,4.97288680157975,2.35025340812828e-06,1.26932550752066e-05,"AP2A2","adaptor related protein complex 2 subunit alpha 2"
"ENSG00000248544",0.46488614184697,4.97293050516448,2.34981812804979e-06,1.26932550752066e-05,NA,NA
"ENSG00000182463",0.631277222935663,4.97280421787484,2.35107614154849e-06,1.26940591443079e-05,"TSHZ2","teashirt zinc finger homeobox 2"
"ENSG00000102977",-0.290895063045893,-4.97103252380321,2.36879412016985e-06,1.27860583483552e-05,"ACD","ACD shelterin complex subunit and telomerase recruitment factor"
"ENSG00000090060",-0.373452976817283,-4.97072104719465,2.37192246303561e-06,1.27992768142838e-05,"PAPOLA","poly(A) polymerase alpha"
"ENSG00000032389",-0.384016152259307,-4.97056108768117,2.37353059190015e-06,1.28042867383205e-05,"EIPR1","EARP complex and GARP complex interacting protein 1"
"ENSG00000007047",0.509829751342826,4.96945732953445,2.38465599820256e-06,1.28606211549212e-05,"MARK4","microtubule affinity regulating kinase 4"
"ENSG00000185499",0.736754328410571,4.96929702843844,2.38627597628586e-06,1.28656745395744e-05,"MUC1","mucin 1, cell surface associated"
"ENSG00000251230",-0.795542718260967,-4.96890571955672,2.390234980156e-06,1.28833323479767e-05,"MIR3945HG","MIR3945 host gene"
"ENSG00000123358",0.984244535351312,4.96854072960957,2.39393346432312e-06,1.28995762588441e-05,"NR4A1","nuclear receptor subfamily 4 group A member 1"
"ENSG00000234444",0.57458104997392,4.96752465579251,2.40425879369224e-06,1.29515090522089e-05,"ZNF736","zinc finger protein 736"
"ENSG00000135048",-0.441878508919983,-4.96671605578029,2.4125067148824e-06,1.29922245554473e-05,"CEMIP2","cell migration inducing hyaluronidase 2"
"ENSG00000124782",0.286878260464413,4.96638842768302,2.41585643116154e-06,1.30065457131241e-05,"RREB1","ras responsive element binding protein 1"
"ENSG00000182511",-0.455088342422727,-4.963878159562,2.44167230538701e-06,1.31417779682515e-05,"FES","FES proto-oncogene, tyrosine kinase"
"ENSG00000166340",-0.37965498675049,-4.96358801598292,2.44467341502029e-06,1.31541724627684e-05,"TPP1","tripeptidyl peptidase 1"
"ENSG00000131023",-0.390041464961856,-4.962564775164,2.45528600192994e-06,1.32040020787522e-05,"LATS1","large tumor suppressor kinase 1"
