"Comparison","PC1_Mean_Change","PC1_Median_Change","PC2_Mean_Change","PC2_Median_Change"
"D3 - D0",-16.8924740313545,-11.4822767059072,8.91887251144641,9.25903565011077
"D7 - D0",-24.5418730137784,-19.7632903331482,12.3726276179767,12.0474186386094
