"Factor","GO_ID","P_value","FDR"
"Factor4","GO:0051607",3.5881989430405e-61,3.51643496417969e-59
"Factor4","GO:0045087",6.44340889098046e-41,3.15727035658042e-39
"Factor4","GO:0009615",1.28105499121811e-33,4.18477963797916e-32
"Factor4","GO:0140374",1.68674555995523e-31,4.13252662189031e-30
"Factor4","GO:0045071",2.45178498098554e-29,4.80549856273165e-28
"Factor4","GO:0042742",1.70313563462976e-25,2.78178820322862e-24
"Factor4","GO:0006952",2.59983742283959e-16,3.63977239197543e-15
"Factor4","GO:0032760",2.05275009941029e-14,2.51461887177761e-13
"Factor4","GO:0071222",4.73854757447893e-13,5.15975180332151e-12
"Factor4","GO:0006954",1.49518067909139e-11,1.46527706550956e-10
"Factor4","GO:0050829",3.0279201898487e-11,2.69760162368339e-10
"Factor4","GO:0071345",6.50823580096490e-11,5.31505923745467e-10
"Factor4","GO:0061844",2.64278026382323e-08,1.99224973734366e-07
"Factor4","GO:0006935",6.74997607284646e-08,4.72498325099252e-07
"Factor4","GO:0031640",4.3848390916027e-07,2.8647615398471e-06
"Factor4","GO:0006915",5.19269864686964e-07,3.18052792120765e-06
"Factor4","GO:0048821",1.8048794031886e-06,1.0404598912499e-05
"Factor4","GO:0050729",8.56063373954602e-06,4.6607894804195e-05
"Factor4","GO:0019731",7.06038263612781e-05,0.00036416710438975
"Factor4","GO:0007608",0.0001754120309559,0.000859518951683912
"Factor4","GO:0050911",0.000212877271559067,0.000993427267275647
"Factor4","GO:0006508",0.000223585652359658,0.000995972451420294
"Factor4","GO:0016064",0.000577429118359977,0.00246035015649034
"Factor4","GO:0002376",0.000702491952570495,0.00286850880632952
"Factor4","GO:0043066",0.000775021698121816,0.00303808505663752
"Factor4","GO:0010628",0.00092606724130743,0.00349056114031262
"Factor4","GO:0002250",0.000968651635933119,0.00351584667857206
"Factor4","GO:0071356",0.00122678144253397,0.00429373504886891
"Factor4","GO:0008285",0.00203043160378825,0.00686145852314651
"Factor4","GO:0043065",0.00237940818942435,0.00756672266173333
"Factor4","GO:0007186",0.00239355512769116,0.00756672266173333
"Factor4","GO:0032496",0.00435961382552214,0.0133513173406616
"Factor4","GO:0071347",0.00985329174388451,0.0286625826814221
"Factor4","GO:0043123",0.0101182042809371,0.0286625826814221
"Factor4","GO:0019221",0.0102366366719365,0.0286625826814221
"Factor4","GO:0007166",0.0119218793587393,0.0324540049210124
"Factor4","GO:0007204",0.0220148950184149,0.0583097219406666
"Factor4","GO:0045944",0.0229634815688022,0.0592216103616479
"Factor4","GO:0034220",0.0277755438635342,0.0697949563750346
"Factor4","GO:0000122",0.0347947559416688,0.0852471520570885
"Factor4","GO:0007411",0.0404007907738718,0.096567743800962
"Factor5","GO:0002250",3.77988457708114e-104,3.70428688553952e-102
"Factor5","GO:0002376",9.68919096916515e-94,4.74770357489092e-92
"Factor5","GO:0006955",1.07985486715974e-71,3.5275258993885e-70
"Factor5","GO:0016064",1.72470430613327e-29,4.2255255500265e-28
"Factor5","GO:0050853",6.57138029769293e-15,1.28799053834781e-13
"Factor5","GO:0019731",4.07289397012866e-11,6.65239348454348e-10
"Factor5","GO:0045087",5.08475672592263e-11,7.11865941629168e-10
"Factor5","GO:0006954",3.95989578597409e-06,4.85087233781827e-05
"Factor5","GO:0007166",5.45639015643188e-06,5.94140261478138e-05
"Factor5","GO:0032496",6.43766516969524e-06,6.30891186630134e-05
"Factor5","GO:0007608",1.81207596938081e-05,0.000161439495453927
"Factor5","GO:0050911",2.41272772474599e-05,0.000197039430854256
"Factor5","GO:0006958",8.91692201849563e-05,0.000672198736778901
"Factor5","GO:0071222",0.000113653749014681,0.00079557624310277
"Factor5","GO:0071356",0.000286765701287952,0.00187353591508129
"Factor5","GO:0043123",0.000563376196363556,0.00345067920272678
"Factor5","GO:0006631",0.00141518061419705,0.00815810001125357
"Factor5","GO:0061844",0.0031511667409774,0.0171563522564325
"Factor5","GO:0043066",0.00337155504463267,0.0173901260196843
"Factor5","GO:0034220",0.00433181705649234,0.0200814444368826
"Factor5","GO:0007186",0.00435476099705035,0.0200814444368826
"Factor5","GO:0043065",0.00480438366601429,0.0200814444368826
"Factor5","GO:0042127",0.00485717554406339,0.0200814444368826
"Factor5","GO:0071347",0.00491790476005289,0.0200814444368826
"Factor5","GO:0006935",0.00529494370142959,0.020756179309604
"Factor5","GO:0006952",0.00587429109896393,0.0216415093017806
"Factor5","GO:0030335",0.00596245664436812,0.0216415093017806
"Factor5","GO:0032760",0.00826329837148836,0.0279693365272645
"Factor5","GO:0051607",0.0082766404009252,0.0279693365272645
"Factor5","GO:0042742",0.0118797174342773,0.0388070769519725
"Factor5","GO:0140374",0.0126048062144057,0.0398474519036051
"Factor5","GO:0008284",0.0139989375995311,0.0428717463985641
"Factor5","GO:0010628",0.0144594111672521,0.042940069526991
"Factor5","GO:0050829",0.0174551912080131,0.0503120217172144
"Factor5","GO:0006811",0.0199844381082027,0.0559564267029677
"Factor5","GO:0007204",0.0211224276189038,0.0570456087575973
"Factor5","GO:0019221",0.0215376277962357,0.0570456087575973
"Factor5","GO:0007283",0.0224343145215495,0.0578569163976803
"Factor5","GO:0050729",0.0284955411672533,0.0672775629877263
"Factor5","GO:0007189",0.0285573882847394,0.0672775629877263
"Factor5","GO:1902476",0.0287523099198426,0.0672775629877263
"Factor5","GO:0045071",0.0288332412804541,0.0672775629877263
"Factor5","GO:0009410",0.0347804394964852,0.0792670481547803
"Factor5","GO:0031640",0.0379640618234345,0.0827276250949827
"Factor5","GO:0006915",0.0384091413720654,0.0827276250949827
"Factor5","GO:0006357",0.0388313342282572,0.0827276250949827
"Factor5","GO:0007156",0.041193004039877,0.0858917956576159
"Factor5","GO:0009615",0.0448470282964097,0.0915626827718365
"Factor5","GO:0035725",0.0473091648852148,0.0946183297704296
"Factor6","GO:0071222",7.18171644044879e-09,7.03808211163981e-07
"Factor6","GO:0042742",3.47093687642891e-05,0.00170075906945017
"Factor6","GO:0009410",6.25721057359228e-05,0.00175164728315066
"Factor6","GO:0042127",7.14958074755372e-05,0.00175164728315066
"Factor6","GO:0071347",0.000218964762896546,0.0042917093527723
"Factor6","GO:0032496",0.000836295519516194,0.0136594934854312
"Factor6","GO:0045944",0.00157509907962919,0.0191510220948279
"Factor6","GO:0031640",0.0016453119910731,0.0191510220948279
"Factor6","GO:0045087",0.00175876733523929,0.0191510220948279
"Factor6","GO:0019731",0.00246401229009247,0.0241473204429062
"Factor6","GO:0050829",0.00425072567144858,0.0351014671342689
"Factor6","GO:0007267",0.00429813883276762,0.0351014671342689
"Factor6","GO:0006954",0.00782975052138273,0.0590242731611929
"Factor6","GO:0071356",0.00874205236898483,0.0592658474213856
"Factor6","GO:0032760",0.00907130317674269,0.0592658474213856
