"factor","rank","feature","Assay","UniProt","Panel","Panel_Version","value","abs_weight","view"
"Factor1",1,"OID20626","BSG","P35613","INFLAMMATION",1,0.502922177314758,0.502922177314758,"Protein"
"Factor1",2,"OID21143","DBI","P07108","NEUROLOGY",1,0.496857523918152,0.496857523918152,"Protein"
"Factor1",3,"OID20691","F2R","P25116","INFLAMMATION",1,0.494976431131363,0.494976431131363,"Protein"
"Factor1",4,"OID20167","IGSF8","Q969P0","CARDIOMETABOLIC",1,0.485428929328918,0.485428929328918,"Protein"
"Factor1",5,"OID21476","ATOX1","O00244","ONCOLOGY",1,0.482691913843155,0.482691913843155,"Protein"
"Factor1",6,"OID20270","ESAM","Q96AP7","CARDIOMETABOLIC",1,0.477626353502274,0.477626353502274,"Protein"
"Factor1",7,"OID20783","TNFRSF14","Q92956","INFLAMMATION",1,0.472835749387741,0.472835749387741,"Protein"
"Factor1",8,"OID21110","CD99","P14209","NEUROLOGY",1,0.471925556659698,0.471925556659698,"Protein"
"Factor1",9,"OID20713","BTN2A1","Q7KYR7","INFLAMMATION",1,0.46875137090683,0.46875137090683,"Protein"
"Factor1",10,"OID20233","FAM3C","Q92520","CARDIOMETABOLIC",1,0.466336727142334,0.466336727142334,"Protein"
"Factor1",11,"OID21118","TMSB10","P63313","NEUROLOGY",1,0.461840629577637,0.461840629577637,"Protein"
"Factor1",12,"OID20935","EFNA4","P52798","NEUROLOGY",1,0.460635095834732,0.460635095834732,"Protein"
"Factor1",13,"OID21122","CD99L2","Q8TCZ2","NEUROLOGY",1,0.460389703512192,0.460389703512192,"Protein"
"Factor1",14,"OID20720","SPINT2","O43291","INFLAMMATION",1,0.459817439317703,0.459817439317703,"Protein"
"Factor1",15,"OID20339","CD59","P13987","CARDIOMETABOLIC",1,0.459755003452301,0.459755003452301,"Protein"
"Factor1",16,"OID20294","CSTB","P04080","CARDIOMETABOLIC",1,0.459557801485062,0.459557801485062,"Protein"
"Factor1",17,"OID21318","CDNF","Q49AH0","ONCOLOGY",1,0.456018179655075,0.456018179655075,"Protein"
"Factor1",18,"OID21023","SERPINB6","P35237","NEUROLOGY",1,0.455907106399536,0.455907106399536,"Protein"
"Factor1",19,"OID21012","TXNDC5","Q8NBS9","NEUROLOGY",1,0.45424023270607,0.45424023270607,"Protein"
"Factor1",20,"OID20786","AGRN","O00468","INFLAMMATION",1,0.451831579208374,0.451831579208374,"Protein"
"Factor2",1,"OID20126","CLC","Q05315","CARDIOMETABOLIC",1,0.00929158180952072,0.00929158180952072,"Protein"
"Factor2",2,"OID20579","DECR1","Q16698","INFLAMMATION",1,-0.00914681423455477,0.00914681423455477,"Protein"
"Factor2",3,"OID20952","TXLNA","P40222","NEUROLOGY",1,0.00807159207761288,0.00807159207761288,"Protein"
"Factor2",4,"OID20653","TNFRSF4","P43489","INFLAMMATION",1,0.00716450624167919,0.00716450624167919,"Protein"
"Factor2",5,"OID20400","CST3","P01034","CARDIOMETABOLIC",1,-0.00714761996641755,0.00714761996641755,"Protein"
"Factor2",6,"OID20985","TNFRSF9","Q07011","NEUROLOGY",1,0.0068163676187396,0.0068163676187396,"Protein"
"Factor2",7,"OID21144","VSIG4","Q9Y279","NEUROLOGY",1,-0.00658026756718755,0.00658026756718755,"Protein"
"Factor2",8,"OID21155","TNFRSF1A","P19438","NEUROLOGY",1,-0.00637052021920681,0.00637052021920681,"Protein"
"Factor2",9,"OID21001","ADAM22","Q9P0K1","NEUROLOGY",1,0.00632777763530612,0.00632777763530612,"Protein"
"Factor2",10,"OID21375","SIRT2","Q8IXJ6","ONCOLOGY",1,-0.00615017674863338,0.00615017674863338,"Protein"
"Factor2",11,"OID20970","LAYN","Q6UX15","NEUROLOGY",1,0.00600613187998533,0.00600613187998533,"Protein"
"Factor2",12,"OID20910","CLPP","Q16740","NEUROLOGY",1,-0.00598239852115512,0.00598239852115512,"Protein"
"Factor2",13,"OID20178","NADK","O95544","CARDIOMETABOLIC",1,-0.00592164974659681,0.00592164974659681,"Protein"
"Factor2",14,"OID20675","CXCL9","Q07325","INFLAMMATION",1,0.00589972827583551,0.00589972827583551,"Protein"
"Factor2",15,"OID21125","EFNA1","P20827","NEUROLOGY",1,-0.005831987131387,0.005831987131387,"Protein"
"Factor2",16,"OID21040","CD74","P04233","NEUROLOGY",1,0.00577954854816198,0.00577954854816198,"Protein"
"Factor2",17,"OID20718","HSPA1A","P0DMV8","INFLAMMATION",1,-0.0057479995302856,0.0057479995302856,"Protein"
"Factor2",18,"OID20908","PTPN1","P18031","NEUROLOGY",1,0.00573624158278108,0.00573624158278108,"Protein"
"Factor2",19,"OID20781","LGALS9","O00182","INFLAMMATION",1,-0.00569231156259775,0.00569231156259775,"Protein"
"Factor2",20,"OID20567","NCF2","P19878","INFLAMMATION",1,0.00567135121673346,0.00567135121673346,"Protein"
"Factor3",1,"OID21521","SRC","P12931","ONCOLOGY",1,0.44264617562294,0.44264617562294,"Protein"
"Factor3",2,"OID20305","CASP3","P42574","CARDIOMETABOLIC",1,0.440595597028732,0.440595597028732,"Protein"
"Factor3",3,"OID21176","PDP1","Q9P0J1","ONCOLOGY",1,0.437437862157822,0.437437862157822,"Protein"
"Factor3",4,"OID20685","PLA2G4A","P47712","INFLAMMATION",1,0.430643111467361,0.430643111467361,"Protein"
"Factor3",5,"OID20615","HPCAL1","P37235","INFLAMMATION",1,0.429093599319458,0.429093599319458,"Protein"
"Factor3",6,"OID21477","TJAP1","Q5JTD0","ONCOLOGY",1,0.42689511179924,0.42689511179924,"Protein"
"Factor3",7,"OID21253","MAP3K5","Q99683","ONCOLOGY",1,0.424726545810699,0.424726545810699,"Protein"
"Factor3",8,"OID20903","DARS","P14868","NEUROLOGY",1,0.421512633562088,0.421512633562088,"Protein"
"Factor3",9,"OID21281","VPS53","Q5VIR6","ONCOLOGY",1,0.42134964466095,0.42134964466095,"Protein"
"Factor3",10,"OID21285","TACC3","Q9Y6A5","ONCOLOGY",1,0.419964909553528,0.419964909553528,"Protein"
"Factor3",11,"OID20865","ATXN10","Q9UBB4","NEUROLOGY",1,0.419395565986633,0.419395565986633,"Protein"
"Factor3",12,"OID20577","IRAK4","Q9NWZ3","INFLAMMATION",1,0.419114083051682,0.419114083051682,"Protein"
"Factor3",13,"OID20717","PTPN6","P29350","INFLAMMATION",1,0.418949633836746,0.418949633836746,"Protein"
"Factor3",14,"OID20425","RAB37","Q96AX2","INFLAMMATION",1,0.416231632232666,0.416231632232666,"Protein"
"Factor3",15,"OID20515","FOXO1","Q12778","INFLAMMATION",1,0.414658844470978,0.414658844470978,"Protein"
"Factor3",16,"OID20930","CHMP1A","Q9HD42","NEUROLOGY",1,0.414010316133499,0.414010316133499,"Protein"
"Factor3",17,"OID20683","NCK2","O43639","INFLAMMATION",1,0.413463115692139,0.413463115692139,"Protein"
"Factor3",18,"OID21240","STXBP3","O00186","ONCOLOGY",1,0.413430422544479,0.413430422544479,"Protein"
"Factor3",19,"OID20524","DAPP1","Q9UN19","INFLAMMATION",1,0.413014084100723,0.413014084100723,"Protein"
"Factor3",20,"OID20507","TRAF2","Q12933","INFLAMMATION",1,0.412685751914978,0.412685751914978,"Protein"
"Factor4",1,"OID20211","ANGPTL1","O95841","CARDIOMETABOLIC",1,-0.445785224437714,0.445785224437714,"Protein"
"Factor4",2,"OID20795","IFNL1","Q8IU54","NEUROLOGY",1,-0.424449801445007,0.424449801445007,"Protein"
"Factor4",3,"OID20654","C1QA","P02745","INFLAMMATION",1,-0.395557999610901,0.395557999610901,"Protein"
"Factor4",4,"OID20697","CXCL10","P02778","INFLAMMATION",1,-0.359919309616089,0.359919309616089,"Protein"
"Factor4",5,"OID20462","SIT1","Q9Y3P8","INFLAMMATION",1,0.346303403377533,0.346303403377533,"Protein"
"Factor4",6,"OID21466","CCL8","P80075","ONCOLOGY",1,-0.33320489525795,0.33320489525795,"Protein"
"Factor4",7,"OID21111","FCRL5","Q96RD9","NEUROLOGY",1,0.32214543223381,0.32214543223381,"Protein"
"Factor4",8,"OID20169","SDC1","P18827","CARDIOMETABOLIC",1,0.320768028497696,0.320768028497696,"Protein"
"Factor4",9,"OID20581","ITGA11","Q9UKX5","INFLAMMATION",1,-0.307209044694901,0.307209044694901,"Protein"
"Factor4",10,"OID20491","CSF3","P09919","INFLAMMATION",1,-0.304821729660034,0.304821729660034,"Protein"
"Factor4",11,"OID20272","TNFSF13B","Q9Y275","CARDIOMETABOLIC",1,-0.299127519130707,0.299127519130707,"Protein"
"Factor4",12,"OID20772","CCL24","O00175","INFLAMMATION",1,0.299015700817108,0.299015700817108,"Protein"
"Factor4",13,"OID20660","CTSO","P43234","INFLAMMATION",1,-0.29688024520874,0.29688024520874,"Protein"
"Factor4",14,"OID20653","TNFRSF4","P43489","INFLAMMATION",1,0.289665967226028,0.289665967226028,"Protein"
"Factor4",15,"OID21096","CA6","P23280","NEUROLOGY",1,-0.279610276222229,0.279610276222229,"Protein"
"Factor4",16,"OID21380","MSLN","Q13421","ONCOLOGY",1,0.268733888864517,0.268733888864517,"Protein"
"Factor4",17,"OID20334","CCL16","O15467","CARDIOMETABOLIC",1,0.268727451562881,0.268727451562881,"Protein"
"Factor4",18,"OID20196","KITLG","P21583","CARDIOMETABOLIC",1,-0.265116930007935,0.265116930007935,"Protein"
"Factor4",19,"OID20214","SFTPD","P35247","CARDIOMETABOLIC",1,0.263574212789536,0.263574212789536,"Protein"
"Factor4",20,"OID20495","IFNG","P01579","INFLAMMATION",1,-0.261486768722534,0.261486768722534,"Protein"
"Factor5",1,"OID20101","IL6","P05231","CARDIOMETABOLIC",1,-0.493754506111145,0.493754506111145,"Protein"
"Factor5",2,"OID21276","IL6","P05231","ONCOLOGY",1,-0.492899566888809,0.492899566888809,"Protein"
"Factor5",3,"OID20563","IL6","P05231","INFLAMMATION",1,-0.49012815952301,0.49012815952301,"Protein"
"Factor5",4,"OID20911","IL6","P05231","NEUROLOGY",1,-0.489963918924332,0.489963918924332,"Protein"
"Factor5",5,"OID20611","TNFSF10","P50591","INFLAMMATION",1,0.489913821220398,0.489913821220398,"Protein"
"Factor5",6,"OID20574","OSM","P13725","INFLAMMATION",1,-0.468609511852264,0.468609511852264,"Protein"
"Factor5",7,"OID20523","CCL7","P80098","INFLAMMATION",1,-0.467862784862518,0.467862784862518,"Protein"
"Factor5",8,"OID21517","KLK8","O60259","ONCOLOGY",1,0.466635495424271,0.466635495424271,"Protein"
"Factor5",9,"OID20274","PLA2G2A","P14555","CARDIOMETABOLIC",1,-0.464396297931671,0.464396297931671,"Protein"
"Factor5",10,"OID21421","VWA1","Q6PCB0","ONCOLOGY",1,-0.458297342061996,0.458297342061996,"Protein"
"Factor5",11,"OID21019","MMP8","P22894","NEUROLOGY",1,-0.453214973211288,0.453214973211288,"Protein"
"Factor5",12,"OID21374","S100A12","P80511","ONCOLOGY",1,-0.445123851299286,0.445123851299286,"Protein"
"Factor5",13,"OID20355","LBP","P18428","CARDIOMETABOLIC",1,-0.441445171833038,0.441445171833038,"Protein"
"Factor5",14,"OID20671","CCL20","P78556","INFLAMMATION",1,-0.435792058706284,0.435792058706284,"Protein"
"Factor5",15,"OID20824","LIF","P15018","NEUROLOGY",1,-0.421472907066345,0.421472907066345,"Protein"
"Factor5",16,"OID20656","HGF","P14210","INFLAMMATION",1,-0.414777129888535,0.414777129888535,"Protein"
"Factor5",17,"OID20329","PRTN3","P24158","CARDIOMETABOLIC",1,-0.40985631942749,0.40985631942749,"Protein"
"Factor5",18,"OID20250","IL1RL1","Q01638","CARDIOMETABOLIC",1,-0.400549650192261,0.400549650192261,"Protein"
"Factor5",19,"OID21310","VNN2","O95498","ONCOLOGY",1,-0.397842288017273,0.397842288017273,"Protein"
"Factor5",20,"OID21450","SPINK6","Q6UWN8","ONCOLOGY",1,0.396410584449768,0.396410584449768,"Protein"
