"feature","factor","value","view"
"OID20182","Factor1",-0.0823186263442039,"Protein"
"OID21307","Factor1",0.161443188786507,"Protein"
"OID20412","Factor1",0.146142885088921,"Protein"
"OID21226","Factor1",0.268708884716034,"Protein"
"OID21391","Factor1",0.235830083489418,"Protein"
"OID20615","Factor1",0.307293891906738,"Protein"
"OID21224","Factor1",0.361816644668579,"Protein"
"OID20158","Factor1",0.308470964431763,"Protein"
"OID20582","Factor1",0.281327486038208,"Protein"
"OID20816","Factor1",0.180271297693253,"Protein"
"OID20937","Factor1",0.380515664815903,"Protein"
"OID21376","Factor1",0.0269029084593058,"Protein"
"OID20681","Factor1",0.343346476554871,"Protein"
"OID20251","Factor1",0.347758412361145,"Protein"
"OID21350","Factor1",0.28059458732605,"Protein"
"OID21263","Factor1",0.205233246088028,"Protein"
"OID21149","Factor1",0.119626939296722,"Protein"
"OID20207","Factor1",0.142787739634514,"Protein"
"OID21282","Factor1",0.151119753718376,"Protein"
"OID21269","Factor1",0.189324095845222,"Protein"
"OID21309","Factor1",0.297675222158432,"Protein"
"OID20959","Factor1",0.283451467752457,"Protein"
"OID21508","Factor1",-0.0381943993270397,"Protein"
"OID21292","Factor1",0.316477745771408,"Protein"
"OID20697","Factor1",0.105286702513695,"Protein"
"OID20588","Factor1",0.334868878126144,"Protein"
"OID21422","Factor1",0.287928849458694,"Protein"
"OID20910","Factor1",0.310042798519135,"Protein"
"OID20175","Factor1",0.26525092124939,"Protein"
"OID21383","Factor1",0.126853793859482,"Protein"
"OID21082","Factor1",0.226979658007622,"Protein"
"OID20965","Factor1",0.273362278938293,"Protein"
"OID20225","Factor1",0.301116794347763,"Protein"
"OID20245","Factor1",0.341020703315735,"Protein"
"OID21033","Factor1",0.179994821548462,"Protein"
"OID20558","Factor1",0.293881475925446,"Protein"
"OID20871","Factor1",0.334943473339081,"Protein"
"OID21144","Factor1",0.357388973236084,"Protein"
"OID20322","Factor1",0.31003749370575,"Protein"
"OID21347","Factor1",0.244784399867058,"Protein"
"OID21296","Factor1",0.252206236124039,"Protein"
"OID20971","Factor1",0.379273623228073,"Protein"
"OID21294","Factor1",0.175474360585213,"Protein"
"OID20737","Factor1",0.376949280500412,"Protein"
"OID20847","Factor1",0.203058317303658,"Protein"
"OID21003","Factor1",0.0866477563977242,"Protein"
"OID20553","Factor1",0.326893866062164,"Protein"
"OID20977","Factor1",0.263592213392258,"Protein"
"OID21154","Factor1",0.394001364707947,"Protein"
"OID21512","Factor1",0.217146679759026,"Protein"
"OID20704","Factor1",0.172626361250877,"Protein"
"OID20644","Factor1",0.371476620435715,"Protein"
"OID20964","Factor1",0.312762498855591,"Protein"
"OID20117","Factor1",0.0676958188414574,"Protein"
"OID21019","Factor1",0.134109795093536,"Protein"
"OID20688","Factor1",0.366449356079102,"Protein"
"OID20700","Factor1",0.178395912051201,"Protein"
"OID21287","Factor1",0.291750848293304,"Protein"
"OID20548","Factor1",0.236482217907906,"Protein"
"OID21061","Factor1",0.309590250253677,"Protein"
"OID20477","Factor1",0.265756100416183,"Protein"
"OID20787","Factor1",0.378539443016052,"Protein"
"OID20292","Factor1",0.423806488513947,"Protein"
"OID20431","Factor1",0.00667440891265869,"Protein"
"OID20714","Factor1",0.211670160293579,"Protein"
"OID20110","Factor1",0.309221237897873,"Protein"
"OID20740","Factor1",0.106334693729877,"Protein"
"OID21123","Factor1",0.429316103458405,"Protein"
"OID20105","Factor1",0.216406375169754,"Protein"
"OID20326","Factor1",0.341526806354523,"Protein"
"OID21314","Factor1",0.31659784913063,"Protein"
"OID20795","Factor1",0.135259062051773,"Protein"
"OID21320","Factor1",0.29047480225563,"Protein"
"OID20325","Factor1",0.357127130031586,"Protein"
"OID20511","Factor1",0.0926016718149185,"Protein"
"OID20903","Factor1",0.329376339912415,"Protein"
"OID21511","Factor1",0.164722427725792,"Protein"
"OID21222","Factor1",0.244265496730804,"Protein"
"OID20086","Factor1",0.384225219488144,"Protein"
"OID20515","Factor1",0.282129526138306,"Protein"
"OID20214","Factor1",0.0964891836047173,"Protein"
"OID20305","Factor1",0.327609688043594,"Protein"
"OID21356","Factor1",0.313254237174988,"Protein"
"OID20981","Factor1",0.362548887729645,"Protein"
"OID21363","Factor1",0.347705334424973,"Protein"
"OID21455","Factor1",0.359505951404572,"Protein"
"OID20334","Factor1",0.206857815384865,"Protein"
"OID20139","Factor1",0.119417786598206,"Protein"
"OID21156","Factor1",0.260059297084808,"Protein"
"OID20227","Factor1",0.12734392285347,"Protein"
"OID20814","Factor1",0.294010281562805,"Protein"
"OID20745","Factor1",0.14261956512928,"Protein"
"OID20683","Factor1",0.272740036249161,"Protein"
"OID21211","Factor1",0.118279732763767,"Protein"
"OID20723","Factor1",0.255933463573456,"Protein"
"OID20900","Factor1",-0.0131567567586899,"Protein"
"OID21453","Factor1",0.115307055413723,"Protein"
"OID20177","Factor1",0.335506409406662,"Protein"
"OID20526","Factor1",0.292845726013184,"Protein"
"OID20146","Factor1",0.373748570680618,"Protein"
"OID21357","Factor1",0.250462919473648,"Protein"
"OID20545","Factor1",0.29504132270813,"Protein"
"OID20685","Factor1",0.304456740617752,"Protein"
"OID20200","Factor1",0.168899685144424,"Protein"
"OID21467","Factor1",0.34073531627655,"Protein"
"OID21000","Factor1",0.356134057044983,"Protein"
"OID20244","Factor1",0.117367930710316,"Protein"
"OID20250","Factor1",0.20596906542778,"Protein"
"OID20280","Factor1",0.237901225686073,"Protein"
"OID21450","Factor1",0.226590275764465,"Protein"
"OID20409","Factor1",0.0684174597263336,"Protein"
"OID21417","Factor1",0.305312842130661,"Protein"
"OID20943","Factor1",0.440513342618942,"Protein"
"OID20724","Factor1",0.445237696170807,"Protein"
"OID20201","Factor1",0.198505774140358,"Protein"
"OID21205","Factor1",0.288674205541611,"Protein"
"OID20987","Factor1",0.0891106650233269,"Protein"
"OID20646","Factor1",0.431002497673035,"Protein"
"OID21323","Factor1",0.317163616418839,"Protein"
