"feature","factor","value","view"
"OID21224","Factor5",-0.090479701757431,"Protein"
"OID20158","Factor5",-0.0164115466177464,"Protein"
"OID20582","Factor5",0.0269264727830887,"Protein"
"OID20816","Factor5",-0.00206483830697834,"Protein"
"OID20937","Factor5",-0.139582112431526,"Protein"
"OID21376","Factor5",0.231691837310791,"Protein"
"OID20681","Factor5",0.085229866206646,"Protein"
"OID20251","Factor5",-0.247232928872108,"Protein"
"OID21350","Factor5",-0.035458579659462,"Protein"
"OID21263","Factor5",-0.109409429132938,"Protein"
"OID21149","Factor5",0.217260271310806,"Protein"
"OID20207","Factor5",0.161960572004318,"Protein"
"OID21282","Factor5",-0.174147918820381,"Protein"
"OID21269","Factor5",-0.0225048661231995,"Protein"
"OID21309","Factor5",-0.104394920170307,"Protein"
"OID20959","Factor5",0.0112425833940506,"Protein"
"OID21508","Factor5",0.160857707262039,"Protein"
"OID21292","Factor5",-0.0537702441215515,"Protein"
"OID20697","Factor5",-0.272620260715485,"Protein"
"OID20588","Factor5",0.0303403679281473,"Protein"
"OID21422","Factor5",-0.273989945650101,"Protein"
"OID20910","Factor5",0.0231940522789955,"Protein"
"OID20175","Factor5",0.0789539664983749,"Protein"
"OID21383","Factor5",-0.0542841888964176,"Protein"
"OID21082","Factor5",-0.0115096876397729,"Protein"
"OID20965","Factor5",0.0752305909991264,"Protein"
"OID20225","Factor5",0.0359765514731407,"Protein"
"OID20245","Factor5",0.0341906398534775,"Protein"
"OID21033","Factor5",-0.0867909938097,"Protein"
"OID20558","Factor5",-0.0157390721142292,"Protein"
"OID20871","Factor5",-0.115382082760334,"Protein"
"OID21144","Factor5",-0.253846526145935,"Protein"
"OID20322","Factor5",-0.362320363521576,"Protein"
"OID21347","Factor5",0.233337879180908,"Protein"
"OID21296","Factor5",-0.126399993896484,"Protein"
"OID20971","Factor5",0.0628775134682655,"Protein"
"OID21294","Factor5",-0.246538326144218,"Protein"
"OID20737","Factor5",-0.0035276897251606,"Protein"
"OID20847","Factor5",-0.079706609249115,"Protein"
"OID21003","Factor5",0.177258893847466,"Protein"
"OID20553","Factor5",0.14986751973629,"Protein"
"OID20977","Factor5",-0.0854416489601135,"Protein"
"OID21154","Factor5",0.0733522996306419,"Protein"
"OID21512","Factor5",-0.14849491417408,"Protein"
"OID20704","Factor5",-0.320481240749359,"Protein"
"OID20644","Factor5",0.00613283738493919,"Protein"
"OID20964","Factor5",-0.273374378681183,"Protein"
"OID20117","Factor5",0.244203597307205,"Protein"
"OID21019","Factor5",-0.453214973211288,"Protein"
"OID20688","Factor5",0.0129527179524302,"Protein"
"OID20700","Factor5",-0.370108336210251,"Protein"
"OID21287","Factor5",0.113018304109573,"Protein"
"OID20548","Factor5",-0.125775724649429,"Protein"
"OID21061","Factor5",-0.0210243985056877,"Protein"
"OID20477","Factor5",-0.170716568827629,"Protein"
"OID20787","Factor5",0.0478168986737728,"Protein"
"OID20292","Factor5",-0.00527974544093013,"Protein"
"OID20431","Factor5",-0.117738090455532,"Protein"
"OID20714","Factor5",0.150402754545212,"Protein"
"OID20110","Factor5",0.0499417595565319,"Protein"
"OID20740","Factor5",-0.0168594308197498,"Protein"
"OID21123","Factor5",0.202360659837723,"Protein"
"OID20105","Factor5",-0.165706753730774,"Protein"
"OID20326","Factor5",0.0299880504608154,"Protein"
"OID21314","Factor5",0.00845806859433651,"Protein"
"OID20795","Factor5",0.0632208734750748,"Protein"
"OID21320","Factor5",0.0141984233632684,"Protein"
"OID20325","Factor5",-0.124431855976582,"Protein"
"OID20511","Factor5",-0.0200914908200502,"Protein"
"OID20903","Factor5",0.115990273654461,"Protein"
"OID21511","Factor5",-0.00072563299909234,"Protein"
"OID21222","Factor5",0.00532159255817533,"Protein"
"OID20086","Factor5",0.132205501198769,"Protein"
"OID20515","Factor5",0.0181081965565681,"Protein"
"OID20214","Factor5",-0.154093563556671,"Protein"
"OID20305","Factor5",0.0972324907779694,"Protein"
"OID21356","Factor5",-0.108826339244843,"Protein"
"OID20981","Factor5",-0.275643229484558,"Protein"
"OID21363","Factor5",0.184135720133781,"Protein"
"OID21455","Factor5",0.00645428150892258,"Protein"
"OID20334","Factor5",0.0612370818853378,"Protein"
"OID20139","Factor5",0.0344603843986988,"Protein"
"OID21156","Factor5",-0.09293582290411,"Protein"
"OID20227","Factor5",0.0778951421380043,"Protein"
"OID20814","Factor5",-0.00361131643876433,"Protein"
"OID20745","Factor5",0.00650432566180825,"Protein"
"OID20683","Factor5",0.00623785238713026,"Protein"
"OID21211","Factor5",-0.017865153029561,"Protein"
"OID20723","Factor5",-0.136906623840332,"Protein"
"OID20900","Factor5",0.0875820368528366,"Protein"
"OID21453","Factor5",0.226494953036308,"Protein"
"OID20177","Factor5",0.16794365644455,"Protein"
"OID20526","Factor5",-0.0110228909179568,"Protein"
"OID20146","Factor5",0.0619611516594887,"Protein"
"OID21357","Factor5",-0.335513532161713,"Protein"
"OID20545","Factor5",0.0683716684579849,"Protein"
"OID20685","Factor5",0.0351798124611378,"Protein"
"OID20200","Factor5",0.246304199099541,"Protein"
"OID21467","Factor5",-0.224989637732506,"Protein"
"OID21000","Factor5",0.162957012653351,"Protein"
"OID20244","Factor5",0.0213954541832209,"Protein"
"OID20250","Factor5",-0.400549650192261,"Protein"
"OID20280","Factor5",-0.0689932107925415,"Protein"
"OID21450","Factor5",0.396410584449768,"Protein"
"OID20409","Factor5",0.191233456134796,"Protein"
"OID21417","Factor5",-0.0756870657205582,"Protein"
"OID20943","Factor5",0.119209051132202,"Protein"
"OID20724","Factor5",0.0439102463424206,"Protein"
"OID20201","Factor5",-0.254181742668152,"Protein"
"OID21205","Factor5",-0.0473021231591702,"Protein"
"OID20987","Factor5",0.164324030280113,"Protein"
"OID20646","Factor5",0.00495124608278275,"Protein"
"OID21323","Factor5",0.0431876592338085,"Protein"
"OID20997","Factor5",-0.201852977275848,"Protein"
"OID21030","Factor5",-0.269011408090591,"Protein"
"OID21462","Factor5",0.221384212374687,"Protein"
"OID20483","Factor5",0.0157030988484621,"Protein"
"OID20149","Factor5",0.116335779428482,"Protein"
"OID21499","Factor5",-0.0371545739471912,"Protein"
"OID20682","Factor5",0.229407921433449,"Protein"
"OID20868","Factor5",0.0986107066273689,"Protein"
"OID20574","Factor5",-0.468609511852264,"Protein"
"OID21151","Factor5",0.0404164865612984,"Protein"
"OID20472","Factor5",-0.11542646586895,"Protein"
"OID20675","Factor5",-0.239871978759766,"Protein"
"OID20436","Factor5",0.0677668526768684,"Protein"
"OID20184","Factor5",0.0143784424290061,"Protein"
"OID21060","Factor5",0.0485032685101032,"Protein"
"OID21367","Factor5",-0.0161574650555849,"Protein"
"OID20178","Factor5",-0.332622617483139,"Protein"
"OID21375","Factor5",0.140581250190735,"Protein"
"OID21430","Factor5",-0.204886943101883,"Protein"
"OID21312","Factor5",-0.323671281337738,"Protein"
"OID21380","Factor5",-0.127505600452423,"Protein"
"OID20421","Factor5",-0.126146584749222,"Protein"
"OID21326","Factor5",0.0272959358990192,"Protein"
"OID20631","Factor5",-0.20547491312027,"Protein"
"OID20097","Factor5",-0.0926941335201263,"Protein"
"OID20758","Factor5",-0.257641911506653,"Protein"
"OID21482","Factor5",-0.11561443656683,"Protein"
"OID20371","Factor5",0.083210326731205,"Protein"
"OID21415","Factor5",-0.114283174276352,"Protein"
"OID21527","Factor5",0.0781492069363594,"Protein"
"OID20233","Factor5",0.119625866413116,"Protein"
"OID21016","Factor5",0.194142863154411,"Protein"
"OID21284","Factor5",0.0316532105207443,"Protein"
"OID21143","Factor5",0.0965254157781601,"Protein"
"OID21022","Factor5",0.234652414917946,"Protein"
"OID20865","Factor5",0.0170325189828873,"Protein"
"OID21311","Factor5",0.242769077420235,"Protein"
"OID20342","Factor5",-0.196353331208229,"Protein"
"OID20309","Factor5",-0.309357583522797,"Protein"
"OID20546","Factor5",0.0156590174883604,"Protein"
"OID21099","Factor5",-0.00120079424232244,"Protein"
"OID20135","Factor5",0.143079832196236,"Protein"
"OID21476","Factor5",0.0460897833108902,"Protein"
"OID20359","Factor5",-0.323194026947021,"Protein"
"OID20601","Factor5",-0.318094521760941,"Protein"
"OID21104","Factor5",-0.344181716442108,"Protein"
"OID20756","Factor5",-0.054218478500843,"Protein"
"OID21439","Factor5",-0.155950322747231,"Protein"
"OID21399","Factor5",0.135716155171394,"Protein"
"OID21043","Factor5",0.0597233064472675,"Protein"
"OID20609","Factor5",-0.125782683491707,"Protein"
"OID20289","Factor5",-0.0795064568519592,"Protein"
"OID21101","Factor5",0.200019925832748,"Protein"
"OID21014","Factor5",-0.286288142204285,"Protein"
"OID21249","Factor5",0.0315047614276409,"Protein"
"OID21446","Factor5",0.171501085162163,"Protein"
"OID20970","Factor5",0.0631054267287254,"Protein"
"OID20956","Factor5",0.0052002496086061,"Protein"
"OID20635","Factor5",-0.0503588616847992,"Protein"
"OID20648","Factor5",-0.040573462843895,"Protein"
"OID20331","Factor5",-0.0622054859995842,"Protein"
"OID21437","Factor5",0.123544774949551,"Protein"
"OID21442","Factor5",0.096253976225853,"Protein"
"OID21369","Factor5",0.203239992260933,"Protein"
"OID20576","Factor5",-0.230267226696014,"Protein"
"OID20636","Factor5",0.0213459338992834,"Protein"
"OID20162","Factor5",0.24314871430397,"Protein"
"OID21381","Factor5",-0.106970459222794,"Protein"
"OID20153","Factor5",-0.203631058335304,"Protein"
"OID20732","Factor5",-0.0526974722743034,"Protein"
"OID21024","Factor5",-0.263423293828964,"Protein"
"OID21434","Factor5",-0.200710982084274,"Protein"
"OID20507","Factor5",0.141285017132759,"Protein"
"OID20137","Factor5",0.0375458374619484,"Protein"
"OID21042","Factor5",-0.0442410409450531,"Protein"
"OID21516","Factor5",0.0891327932476997,"Protein"
"OID20299","Factor5",0.148715808987617,"Protein"
"OID21257","Factor5",0.222830444574356,"Protein"
"OID21253","Factor5",0.0560993477702141,"Protein"
"OID20988","Factor5",-0.0299002509564161,"Protein"
"OID21119","Factor5",-0.338348925113678,"Protein"
"OID21038","Factor5",0.179555132985115,"Protein"
"OID21091","Factor5",0.0283563565462828,"Protein"
"OID20597","Factor5",0.0273284278810024,"Protein"
"OID20179","Factor5",0.0377396009862423,"Protein"
"OID21168","Factor5",0.0349115803837776,"Protein"
"OID21368","Factor5",-0.220995411276817,"Protein"
"OID20738","Factor5",0.0511405393481255,"Protein"
"OID20122","Factor5",0.221154391765594,"Protein"
"OID20703","Factor5",-0.20496492087841,"Protein"
"OID21436","Factor5",0.23151695728302,"Protein"
"OID21421","Factor5",-0.458297342061996,"Protein"
"OID20589","Factor5",-0.0448196157813072,"Protein"
"OID20927","Factor5",0.209082782268524,"Protein"
"OID21418","Factor5",-0.0837208777666092,"Protein"
"OID21013","Factor5",-0.337202429771423,"Protein"
"OID20904","Factor5",-0.213672190904617,"Protein"
"OID20568","Factor5",0.151212364435196,"Protein"
"OID20533","Factor5",0.14030134677887,"Protein"
"OID20254","Factor5",-0.294491767883301,"Protein"
"OID21403","Factor5",-0.07212795317173,"Protein"
"OID21012","Factor5",0.0114422012120485,"Protein"
"OID21280","Factor5",0.0249343570321798,"Protein"
"OID21187","Factor5",-0.171075537800789,"Protein"
"OID21425","Factor5",0.0731047466397285,"Protein"
"OID20078","Factor5",-0.130389004945755,"Protein"
"OID20102","Factor5",-0.185124009847641,"Protein"
"OID21073","Factor5",0.141026839613914,"Protein"
"OID21428","Factor5",-0.0240365900099277,"Protein"
"OID20687","Factor5",-0.178398489952087,"Protein"
"OID20883","Factor5",-0.234104692935944,"Protein"
"OID21242","Factor5",0.239913359284401,"Protein"
"OID20583","Factor5",-0.0349979586899281,"Protein"
"OID21361","Factor5",0.0442717485129833,"Protein"
"OID21365","Factor5",0.156749233603477,"Protein"
"OID21419","Factor5",0.174083471298218,"Protein"
"OID21498","Factor5",0.123479604721069,"Protein"
"OID20995","Factor5",0.162268623709679,"Protein"
"OID21094","Factor5",0.158982321619987,"Protein"
"OID20715","Factor5",0.0321651846170425,"Protein"
"OID20718","Factor5",-0.0183187909424305,"Protein"
"OID20960","Factor5",0.0258107054978609,"Protein"
"OID20866","Factor5",-0.159942746162415,"Protein"
"OID20986","Factor5",0.175560772418976,"Protein"
"OID20152","Factor5",-0.145565032958984,"Protein"
"OID20395","Factor5",-0.138014793395996,"Protein"
"OID21285","Factor5",0.0231364518404007,"Protein"
"OID20313","Factor5",-0.0224936660379171,"Protein"
"OID20509","Factor5",0.120483718812466,"Protein"
"OID21255","Factor5",-0.0939480736851692,"Protein"
"OID20141","Factor5",0.220030337572098,"Protein"
"OID20942","Factor5",0.0802965983748436,"Protein"
"OID21466","Factor5",0.0019973455928266,"Protein"
"OID20215","Factor5",0.235242992639542,"Protein"
"OID20923","Factor5",0.230214580893517,"Protein"
"OID20752","Factor5",0.17841862142086,"Protein"
"OID20990","Factor5",-0.203951269388199,"Protein"
"OID21004","Factor5",-0.307242661714554,"Protein"
"OID20103","Factor5",-0.259508103132248,"Protein"
"OID20784","Factor5",0.100001484155655,"Protein"
"OID20156","Factor5",-0.34142279624939,"Protein"
"OID20221","Factor5",-0.229186549782753,"Protein"
"OID21410","Factor5",-0.10331891477108,"Protein"
"OID21225","Factor5",-0.0532383136451244,"Protein"
"OID21385","Factor5",0.194074466824532,"Protein"
"OID21155","Factor5",-0.0959909483790398,"Protein"
"OID20610","Factor5",-0.222685530781746,"Protein"
"OID20935","Factor5",0.0564270317554474,"Protein"
"OID21327","Factor5",0.215085864067078,"Protein"
"OID20748","Factor5",0.124519281089306,"Protein"
"OID20708","Factor5",0.205893710255623,"Protein"
"OID20567","Factor5",-0.328828066587448,"Protein"
"OID20647","Factor5",0.286427319049835,"Protein"
"OID20968","Factor5",-0.206222534179688,"Protein"
"OID20383","Factor5",0.0667044445872307,"Protein"
"OID21036","Factor5",-0.213157385587692,"Protein"
"OID20978","Factor5",0.140708774328232,"Protein"
"OID20327","Factor5",-0.218459606170654,"Protein"
"OID20958","Factor5",0.103822134435177,"Protein"
"OID20252","Factor5",-0.0986230671405792,"Protein"
"OID20642","Factor5",0.0496497489511967,"Protein"
"OID20205","Factor5",0.0863457173109055,"Protein"
"OID21248","Factor5",0.0145109770819545,"Protein"
"OID21150","Factor5",0.112991519272327,"Protein"
"OID21111","Factor5",-0.148505851626396,"Protein"
"OID21121","Factor5",0.0781532377004623,"Protein"
"OID20295","Factor5",0.162980020046234,"Protein"
"OID21281","Factor5",0.0342334173619747,"Protein"
"OID20650","Factor5",-0.0921634957194328,"Protein"
"OID20895","Factor5",0.176975220441818,"Protein"
"OID20459","Factor5",0.154360070824623,"Protein"
"OID21457","Factor5",-0.0755374953150749,"Protein"
"OID20485","Factor5",0.0612701363861561,"Protein"
"OID20786","Factor5",0.0499757640063763,"Protein"
"OID20859","Factor5",0.243847280740738,"Protein"
"OID20298","Factor5",-0.0313490964472294,"Protein"
"OID21142","Factor5",-0.064491480588913,"Protein"
"OID20744","Factor5",0.250303506851196,"Protein"
"OID20400","Factor5",0.0708759650588036,"Protein"
"OID20344","Factor5",-0.107826761901379,"Protein"
"OID20107","Factor5",0.125033289194107,"Protein"
"OID20762","Factor5",0.0286970231682062,"Protein"
"OID21128","Factor5",0.295863658189774,"Protein"
"OID21313","Factor5",-0.0937843844294548,"Protein"
"OID20985","Factor5",0.10368987172842,"Protein"
"OID21021","Factor5",0.180603608489037,"Protein"
"OID21513","Factor5",0.0678505599498749,"Protein"
"OID21486","Factor5",0.092686615884304,"Protein"
"OID20992","Factor5",0.0778816267848015,"Protein"
"OID20508","Factor5",0.12843368947506,"Protein"
"OID20276","Factor5",-0.343346297740936,"Protein"
"OID20975","Factor5",0.199565052986145,"Protein"
"OID21125","Factor5",-0.0269215553998947,"Protein"
"OID21448","Factor5",-0.111175492405891,"Protein"
"OID21477","Factor5",0.0127951512113214,"Protein"
"OID21372","Factor5",0.0949616730213165,"Protein"
"OID20759","Factor5",-0.188635483384132,"Protein"
"OID21066","Factor5",-0.0762270465493202,"Protein"
"OID20536","Factor5",0.0384187735617161,"Protein"
"OID21198","Factor5",-0.119960635900497,"Protein"
"OID21427","Factor5",0.0812390297651291,"Protein"
"OID21075","Factor5",0.0168681964278221,"Protein"
"OID20886","Factor5",-0.0659036710858345,"Protein"
"OID20674","Factor5",0.118475466966629,"Protein"
"OID21034","Factor5",-0.219975396990776,"Protein"
"OID20749","Factor5",0.245740741491318,"Protein"
"OID21328","Factor5",0.0278170946985483,"Protein"
"OID20722","Factor5",0.137186765670776,"Protein"
"OID20617","Factor5",-0.207426011562347,"Protein"
"OID21463","Factor5",-0.20626363158226,"Protein"
"OID20226","Factor5",-0.184251055121422,"Protein"
"OID20561","Factor5",0.113635644316673,"Protein"
"OID21141","Factor5",0.254560261964798,"Protein"
"OID20474","Factor5",-0.02729182690382,"Protein"
"OID20999","Factor5",0.04018534719944,"Protein"
"OID21304","Factor5",0.25399774312973,"Protein"
"OID20552","Factor5",0.10411324352026,"Protein"
"OID20961","Factor5",-0.19240964949131,"Protein"
"OID20197","Factor5",-0.00850597489625216,"Protein"
"OID21481","Factor5",0.014264733530581,"Protein"
"OID21431","Factor5",-0.161933988332748,"Protein"
"OID20408","Factor5",0.263871639966965,"Protein"
"OID20478","Factor5",-0.0810718759894371,"Protein"
"OID20782","Factor5",-0.147730484604836,"Protein"
"OID20392","Factor5",-0.105833396315575,"Protein"
"OID20368","Factor5",0.124028354883194,"Protein"
"OID20425","Factor5",0.0321381203830242,"Protein"
"OID20522","Factor5",-0.141364261507988,"Protein"
"OID21112","Factor5",-0.312389671802521,"Protein"
"OID21522","Factor5",0.0430443920195103,"Protein"
"OID20286","Factor5",-0.0239552427083254,"Protein"
"OID20293","Factor5",0.195829123258591,"Protein"
"OID20966","Factor5",-0.0859202146530151,"Protein"
"OID20308","Factor5",0.125040248036385,"Protein"
"OID20743","Factor5",0.147429704666138,"Protein"
"OID21259","Factor5",0.0274440012872219,"Protein"
"OID20496","Factor5",0.00940082035958767,"Protein"
"OID20839","Factor5",0.196882426738739,"Protein"
"OID21040","Factor5",-0.0779352262616158,"Protein"
"OID21244","Factor5",0.0469655953347683,"Protein"
"OID20641","Factor5",0.23595067858696,"Protein"
"OID20783","Factor5",0.0316883698105812,"Protein"
"OID21445","Factor5",0.119428031146526,"Protein"
"OID20955","Factor5",0.180461868643761,"Protein"
"OID21310","Factor5",-0.397842288017273,"Protein"
"OID20996","Factor5",0.0987506583333015,"Protein"
"OID20543","Factor5",-0.0795344933867455,"Protein"
"OID20669","Factor5",0.146247699856758,"Protein"
"OID20587","Factor5",0.0939970761537552,"Protein"
"OID20379","Factor5",-0.125108271837234,"Protein"
"OID20217","Factor5",-0.125937581062317,"Protein"
"OID20505","Factor5",-0.0492129661142826,"Protein"
"OID20085","Factor5",-0.0184631980955601,"Protein"
"OID20973","Factor5",0.243406102061272,"Protein"
"OID20979","Factor5",-0.307273328304291,"Protein"
"OID20666","Factor5",0.227648422122002,"Protein"
"OID20570","Factor5",-0.360085666179657,"Protein"
"OID21041","Factor5",-0.0287238117307425,"Protein"
"OID21501","Factor5",0.191530585289001,"Protein"
"OID20963","Factor5",-0.17118439078331,"Protein"
"OID21342","Factor5",-0.00157706928439438,"Protein"
"OID20144","Factor5",0.217172160744667,"Protein"
"OID20887","Factor5",-0.0136490827426314,"Protein"
"OID21454","Factor5",0.0951519533991814,"Protein"
"OID20854","Factor5",-0.148083120584488,"Protein"
"OID21087","Factor5",0.242269620299339,"Protein"
"OID20294","Factor5",0.107381872832775,"Protein"
"OID20398","Factor5",0.357073068618774,"Protein"
"OID21444","Factor5",-0.184147745370865,"Protein"
"OID20630","Factor5",-0.127552449703217,"Protein"
"OID20247","Factor5",-0.321206569671631,"Protein"
"OID20378","Factor5",-0.21066552400589,"Protein"
"OID21295","Factor5",0.00510205700993538,"Protein"
"OID21193","Factor5",-0.160278826951981,"Protein"
"OID20912","Factor5",0.237741872668266,"Protein"
"OID21026","Factor5",-0.295921236276627,"Protein"
"OID20620","Factor5",-0.00997211039066315,"Protein"
"OID21179","Factor5",0.0496585890650749,"Protein"
"OID20510","Factor5",0.0983939170837402,"Protein"
"OID20653","Factor5",-0.0116519285365939,"Protein"
"OID20980","Factor5",0.281305700540543,"Protein"
"OID20655","Factor5",-0.136550202965736,"Protein"
"OID20623","Factor5",-0.0377843491733074,"Protein"
"OID20572","Factor5",-0.123919047415257,"Protein"
"OID20413","Factor5",0.232914492487907,"Protein"
"OID20686","Factor5",-0.092255525290966,"Protein"
"OID21133","Factor5",0.0679266825318336,"Protein"
"OID20695","Factor5",-0.238265678286552,"Protein"
"OID21246","Factor5",0.210707202553749,"Protein"
"OID21215","Factor5",0.0721505358815193,"Protein"
"OID21129","Factor5",0.0270173903554678,"Protein"
"OID21324","Factor5",-0.167053923010826,"Protein"
"OID20234","Factor5",0.022507818415761,"Protein"
"OID20324","Factor5",0.162320986390114,"Protein"
"OID21086","Factor5",0.0806632414460182,"Protein"
"OID21015","Factor5",0.143536970019341,"Protein"
"OID20870","Factor5",0.0160891953855753,"Protein"
"OID20355","Factor5",-0.441445171833038,"Protein"
"OID21068","Factor5",0.0383882783353329,"Protein"
"OID20691","Factor5",0.12067735940218,"Protein"
"OID21050","Factor5",0.263900071382523,"Protein"
"OID20622","Factor5",-0.243033096194267,"Protein"
"OID20962","Factor5",0.0943662598729134,"Protein"
"OID20604","Factor5",-0.00985098164528608,"Protein"
"OID20404","Factor5",0.392506629228592,"Protein"
"OID20223","Factor5",-0.188422441482544,"Protein"
"OID20534","Factor5",-0.118127748370171,"Protein"
"OID20106","Factor5",-0.155990362167358,"Protein"
"OID20222","Factor5",-0.0174204465001822,"Protein"
"OID20259","Factor5",0.242221653461456,"Protein"
"OID20766","Factor5",0.0589458122849464,"Protein"
"OID20216","Factor5",-0.0538261346518993,"Protein"
"OID20339","Factor5",0.156553313136101,"Protein"
"OID20232","Factor5",0.181054323911667,"Protein"
"OID20739","Factor5",-0.0341426879167557,"Protein"
"OID20328","Factor5",0.0447284057736397,"Protein"
"OID20768","Factor5",-0.106742560863495,"Protein"
"OID20195","Factor5",0.109752170741558,"Protein"
"OID20445","Factor5",0.0412168689072132,"Protein"
"OID20108","Factor5",-0.105892829596996,"Protein"
"OID20500","Factor5",-0.01494225487113,"Protein"
"OID21145","Factor5",-0.121770575642586,"Protein"
"OID21216","Factor5",0.0140389781445265,"Protein"
"OID20731","Factor5",-0.00928131397813559,"Protein"
"OID20658","Factor5",-0.0949983447790146,"Protein"
"OID20967","Factor5",-0.168705523014069,"Protein"
"OID21235","Factor5",0.03189692273736,"Protein"
"OID21103","Factor5",-0.293914765119553,"Protein"
"OID21005","Factor5",-0.0458879694342613,"Protein"
"OID21397","Factor5",0.0455247648060322,"Protein"
"OID20151","Factor5",0.0509617179632187,"Protein"
"OID21490","Factor5",0.143651202321053,"Protein"
"OID20832","Factor5",-0.309643745422363,"Protein"
"OID21493","Factor5",0.145390436053276,"Protein"
"OID21037","Factor5",0.0377487801015377,"Protein"
"OID21229","Factor5",0.0971869677305222,"Protein"
"OID20926","Factor5",0.0442344509065151,"Protein"
"OID21247","Factor5",-0.0493787527084351,"Protein"
"OID21083","Factor5",0.0198342315852642,"Protein"
"OID20753","Factor5",0.1789790391922,"Protein"
"OID20338","Factor5",-0.116750903427601,"Protein"
"OID21192","Factor5",-0.222200512886047,"Protein"
"OID21160","Factor5",0.18756315112114,"Protein"
"OID21218","Factor5",-0.0898855552077293,"Protein"
"OID20375","Factor5",-0.111065402626991,"Protein"
"OID20079","Factor5",0.0218647085130215,"Protein"
"OID21053","Factor5",0.209852606058121,"Protein"
"OID20919","Factor5",-0.087224468588829,"Protein"
"OID20171","Factor5",-0.213229566812515,"Protein"
"OID20693","Factor5",-0.305472284555435,"Protein"
"OID20600","Factor5",-0.335060298442841,"Protein"
"OID20484","Factor5",0.00657017482444644,"Protein"
"OID21058","Factor5",0.142524242401123,"Protein"
"OID20638","Factor5",0.11665140837431,"Protein"
"OID21132","Factor5",-0.189968511462212,"Protein"
"OID20823","Factor5",-0.136306568980217,"Protein"
"OID20917","Factor5",-0.171083375811577,"Protein"
"OID20780","Factor5",-0.358637601137161,"Protein"
"OID21384","Factor5",0.217703878879547,"Protein"
"OID21441","Factor5",-0.3114273250103,"Protein"
"OID20751","Factor5",-0.0564459301531315,"Protein"
"OID21064","Factor5",0.194147378206253,"Protein"
"OID21110","Factor5",0.196739464998245,"Protein"
"OID20827","Factor5",0.0263690128922462,"Protein"
"OID21185","Factor5",0.00764230545610189,"Protein"
"OID20091","Factor5",0.0180865284055471,"Protein"
"OID20867","Factor5",0.0647807270288467,"Protein"
"OID20677","Factor5",0.208763912320137,"Protein"
"OID20934","Factor5",0.11797172576189,"Protein"
"OID21271","Factor5",0.0437755770981312,"Protein"
"OID20126","Factor5",-0.0594370625913143,"Protein"
"OID21414","Factor5",0.0663425549864769,"Protein"
"OID20333","Factor5",0.0963481888175011,"Protein"
"OID20386","Factor5",0.221294775605202,"Protein"
"OID20418","Factor5",-0.351927489042282,"Protein"
"OID20872","Factor5",0.209603071212769,"Protein"
"OID20261","Factor5",-0.0271498635411263,"Protein"
"OID21227","Factor5",-0.041395366191864,"Protein"
"OID21010","Factor5",-0.096548393368721,"Protein"
"OID20165","Factor5",-0.203098684549332,"Protein"
"OID20660","Factor5",-0.0374028086662292,"Protein"
"OID20512","Factor5",0.157062590122223,"Protein"
"OID20467","Factor5",-0.10162641108036,"Protein"
"OID20455","Factor5",-0.10066594928503,"Protein"
"OID20735","Factor5",-0.362951517105103,"Protein"
"OID21001","Factor5",0.187293469905853,"Protein"
"OID21137","Factor5",-0.125415623188019,"Protein"
"OID20727","Factor5",0.120554231107235,"Protein"
"OID21432","Factor5",0.0538675896823406,"Protein"
"OID20278","Factor5",0.126173317432404,"Protein"
"OID20167","Factor5",0.074505627155304,"Protein"
"OID20188","Factor5",0.127089336514473,"Protein"
"OID21480","Factor5",0.258466422557831,"Protein"
"OID20340","Factor5",0.10652144998312,"Protein"
"OID20922","Factor5",-0.00763058057054877,"Protein"
"OID21219","Factor5",0.00387106230482459,"Protein"
"OID20228","Factor5",-0.345932334661484,"Protein"
"OID20771","Factor5",0.0532559268176556,"Protein"
"OID20664","Factor5",-0.19743512570858,"Protein"
"OID20930","Factor5",0.0822770372033119,"Protein"
"OID20237","Factor5",-0.213523954153061,"Protein"
"OID20770","Factor5",-0.210265830159187,"Protein"
"OID21275","Factor5",-0.0433166325092316,"Protein"
"OID20240","Factor5",-0.236036702990532,"Protein"
"OID21317","Factor5",0.0125460159033537,"Protein"
"OID20721","Factor5",0.176052495837212,"Protein"
"OID21008","Factor5",0.0088679539039731,"Protein"
"OID21201","Factor5",0.0461745448410511,"Protein"
"OID21220","Factor5",-0.0336396582424641,"Protein"
"OID20730","Factor5",0.0165721066296101,"Protein"
"OID21114","Factor5",-0.0488628968596458,"Protein"
"OID20709","Factor5",0.123929254710674,"Protein"
"OID20272","Factor5",-0.150358036160469,"Protein"
"OID20429","Factor5",-0.0947927534580231,"Protein"
"OID21283","Factor5",-0.169219404459,"Protein"
"OID21355","Factor5",0.0979805290699005,"Protein"
"OID21519","Factor5",0.216151282191277,"Protein"
"OID20096","Factor5",-0.0631656050682068,"Protein"
"OID20940","Factor5",-0.296679049730301,"Protein"
"OID20764","Factor5",-0.219706863164902,"Protein"
"OID20812","Factor5",-0.0442416146397591,"Protein"
"OID20673","Factor5",0.00200273934751749,"Protein"
"OID21175","Factor5",0.182972699403763,"Protein"
"OID21291","Factor5",0.192018061876297,"Protein"
"OID20183","Factor5",-0.2822285592556,"Protein"
"OID20113","Factor5",1.03193196991924e-05,"Protein"
"OID21288","Factor5",0.0182198360562325,"Protein"
