"Gene","Variance"
"ENSG00000206047",22.4345736686172
"ENSG00000280614",19.2148452461762
"ENSG00000129824",18.9978288941349
"ENSG00000067048",17.6290618648657
"ENSG00000183878",16.2981827304081
"ENSG00000229807",15.8599742909341
"ENSG00000198692",15.1941232301374
"ENSG00000012817",13.9397485256236
"ENSG00000114374",13.406261789085
"ENSG00000099725",13.2825251576203
"ENSG00000231535",12.3635618991442
"ENSG00000134184",11.7822835478751
"ENSG00000131002",11.0980540413753
"ENSG00000286231",9.7701224576098
"ENSG00000168903",9.63138095861395
"ENSG00000282122",9.30154703008453
"ENSG00000284931",9.22487990798733
"ENSG00000232133",8.94947322876887
"ENSG00000261796",8.86541531348579
"ENSG00000213058",8.81979274598795
"ENSG00000229391",8.64042667560539
"ENSG00000282651",8.57621848279975
"ENSG00000176728",8.54606500805515
"ENSG00000158578",8.43262870439625
"ENSG00000269711",8.33569686892543
"ENSG00000248672",8.32436247558492
"ENSG00000185745",8.1307992923641
"ENSG00000088827",8.08407677948225
"ENSG00000288640",7.99197185984961
"ENSG00000211638",7.9826128043766
"ENSG00000211669",7.96031142941201
"ENSG00000268500",7.90070257072069
"ENSG00000206172",7.828080223143
"ENSG00000286106",7.82138517994352
"ENSG00000134321",7.80378068424159
"ENSG00000280411",7.76334330495204
"ENSG00000196565",7.75980856794109
"ENSG00000257764",7.67765180521289
"ENSG00000184979",7.61296012461634
"ENSG00000234857",7.58683351226187
"ENSG00000239839",7.57355320186874
"ENSG00000211950",7.49401426301403
"ENSG00000196415",7.39677695162825
"ENSG00000188536",7.32637612164297
"ENSG00000211659",7.22318663536471
"ENSG00000115155",7.20423856863375
"ENSG00000100448",7.19165498508182
"ENSG00000067646",7.1619664007089
"ENSG00000211637",7.14859355357702
"ENSG00000270149",7.09484503221693
"ENSG00000278996",7.0161405422469
"ENSG00000133742",6.93363951258832
"ENSG00000211670",6.93234402366462
"ENSG00000244734",6.89164497207905
"ENSG00000223609",6.83362805101348
"ENSG00000243264",6.78336357353633
"ENSG00000240864",6.67927396792837
"ENSG00000102837",6.63802372923719
"ENSG00000225972",6.63308202647562
