"pathway","pval","padj","log2err","ES","NES","size"
"GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS",0.000596405579448696,0.0491602857658161,0.477270815362862,0.433586596756713,1.71649213609452,95
"GOBP_CARDIAC_CHAMBER_DEVELOPMENT",0.000479703657840737,0.0491602857658161,0.49849310876659,-0.694066573044774,-2.03309026437858,17
"GOBP_CARDIAC_CHAMBER_MORPHOGENESIS",0.000479703657840737,0.0491602857658161,0.49849310876659,-0.694066573044774,-2.03309026437858,17
"GOBP_DEFENSE_RESPONSE_TO_VIRUS",0.000515725987491311,0.0491602857658161,0.477270815362862,0.558126604541467,1.87396318871443,40
"GOBP_HOMOPHILIC_CELL_CELL_ADHESION",4.12981962850476e-05,0.0491602857658161,0.557332238758646,-0.583598193897065,-2.08718904208116,40
"GOBP_LEUKOCYTE_MEDIATED_IMMUNITY",0.000564279318805583,0.0491602857658161,0.477270815362862,0.410148783023152,1.66217350103651,114
"GOBP_LYMPHOCYTE_MEDIATED_IMMUNITY",0.000363793319552005,0.0491602857658161,0.49849310876659,0.459263366839471,1.76206244072989,82
"GOBP_NEGATIVE_REGULATION_OF_IMMUNE_EFFECTOR_PROCESS",0.000383965985900824,0.0491602857658161,0.49849310876659,0.540184027594434,1.85904471289571,47
"GOBP_NUCLEOSIDE_PHOSPHATE_CATABOLIC_PROCESS",0.000652266361417951,0.0491602857658161,0.477270815362862,0.642432883620891,1.90132768388879,22
"GOBP_NUCLEOSIDE_TRIPHOSPHATE_METABOLIC_PROCESS",0.000618861909597136,0.0491602857658161,0.477270815362862,0.607006894594499,1.92635666774755,31
"GOBP_ORGANOPHOSPHATE_CATABOLIC_PROCESS",0.000636578831950939,0.0491602857658161,0.477270815362862,0.578814627659998,1.87010347684465,34
"GOBP_REGULATION_OF_CELLULAR_RESPONSE_TO_GROWTH_FACTOR_STIMULUS",0.000150939186002833,0.0491602857658161,0.518848077743792,-0.472186661421382,-1.84310819130734,63
"GOBP_REGULATION_OF_CELL_JUNCTION_ASSEMBLY",0.000263708962105145,0.0491602857658161,0.49849310876659,-0.501870901036222,-1.87833874482054,50
"GOBP_REGULATION_OF_NOTCH_SIGNALING_PATHWAY",0.000203113201577776,0.0491602857658161,0.518848077743792,-0.715706275058857,-2.0964782291611,17
"GOBP_REGULATION_OF_PROTEIN_CATABOLIC_PROCESS",0.000637497439144568,0.0491602857658161,0.477270815362862,0.529157171319325,1.82109575881539,47
"GOBP_REGULATION_OF_SYNAPSE_ASSEMBLY",0.000577821983660508,0.0491602857658161,0.477270815362862,-0.592600614468239,-1.96912453546533,28
"GOBP_REGULATION_OF_SYNAPSE_STRUCTURE_OR_ACTIVITY",7.27760327181931e-05,0.0491602857658161,0.538434096309916,-0.5250854360752,-1.96522316174265,50
"GOBP_RESPONSE_TO_BMP",0.000175887487859698,0.0491602857658161,0.518848077743792,-0.586860811323756,-2.04134450865708,34
"GOBP_RESPONSE_TO_VIRUS",0.000505469448602517,0.0491602857658161,0.477270815362862,0.488763888382752,1.82124241877491,69
"GOBP_CARDIAC_VENTRICLE_DEVELOPMENT",0.000858097879279362,0.0601903297800582,0.477270815362862,-0.717883957186316,-1.98049994504582,14
"GOBP_NEGATIVE_REGULATION_OF_LEUKOCYTE_MEDIATED_IMMUNITY",0.000884295059552299,0.0601903297800582,0.477270815362862,0.605353206153012,1.897293356426,29
"GOBP_POSITIVE_REGULATION_OF_CELL_JUNCTION_ASSEMBLY",0.000924711770364023,0.0601903297800582,0.477270815362862,-0.546073087539038,-1.87761846422852,32
"GOBP_CARBOHYDRATE_DERIVATIVE_CATABOLIC_PROCESS",0.00114015398631998,0.0687365684913455,0.45505986738723,0.540732716256606,1.81556155351336,40
"GOBP_CELL_KILLING",0.00115590401837616,0.0687365684913455,0.45505986738723,0.437198027940225,1.70040410907158,87
"GOBP_NEGATIVE_REGULATION_OF_IMMUNE_RESPONSE",0.00120000992477908,0.0687365684913455,0.45505986738723,0.469038274045021,1.71346262621301,64
"GOBP_REGULATION_OF_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS",0.00129675673851658,0.0714213711367595,0.45505986738723,0.623198099750096,1.85673485201482,23
"GOBP_NEGATIVE_REGULATION_OF_CATABOLIC_PROCESS",0.00136409627122858,0.0723476244592345,0.45505986738723,0.573301394614241,1.83706229702148,33
"GOBP_NEURON_PROJECTION_GUIDANCE",0.00163265948832999,0.0834988709745911,0.45505986738723,-0.488723620931284,-1.80822816583636,46
"GOBP_PYRIDINE_CONTAINING_COMPOUND_METABOLIC_PROCESS",0.00174460131094164,0.0861472095609801,0.45505986738723,0.639606890851185,1.7910615219563,19
"GOBP_CARDIAC_SEPTUM_DEVELOPMENT",0.00214599223623774,0.0903209760259695,0.431707695803346,-0.705773284451013,-1.88499694220823,13
"GOBP_CARDIAC_SEPTUM_MORPHOGENESIS",0.00214599223623774,0.0903209760259695,0.431707695803346,-0.705773284451013,-1.88499694220823,13
"GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION",0.00200243866532198,0.0903209760259695,0.431707695803346,-0.394474120540585,-1.58695926201868,76
"GOBP_MUSCLE_TISSUE_DEVELOPMENT",0.00203720277056161,0.0903209760259695,0.431707695803346,-0.494072787338887,-1.72618593738126,36
"GOBP_NEURON_RECOGNITION",0.00220756575482467,0.0903209760259695,0.431707695803346,-0.693640227427651,-1.91361628651843,14
"GOBP_SYNAPSE_ASSEMBLY",0.00198455209388738,0.0903209760259695,0.431707695803346,-0.481604782490853,-1.77437366314515,45
"GOBP_HEART_MORPHOGENESIS",0.00233874570108048,0.0930301067763123,0.431707695803346,-0.527393972547802,-1.80082785618552,31
"GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CHEMOTAXIS",0.00242856139207123,0.0939918895525946,0.431707695803346,0.532344708003296,1.76299007334644,37
"GOBP_REGULATION_OF_PROTEOLYSIS",0.00254701271235312,0.0959821632655174,0.431707695803346,0.453449450971927,1.63563969471574,60
"GOBP_REGULATION_OF_BIOLOGICAL_PROCESS_INVOLVED_IN_SYMBIOTIC_INTERACTION",0.00279540928095678,0.102641694623849,0.431707695803346,0.684213919557733,1.81850533054199,15
"GOBP_MESENCHYME_MORPHOGENESIS",0.00303297618423276,0.103410045138603,0.431707695803346,-0.73652783416448,-1.83368368625615,10
"GOBP_NUCLEOTIDE_BIOSYNTHETIC_PROCESS",0.00295264649720858,0.103410045138603,0.431707695803346,0.596874432033618,1.7664940733336,22
"GOBP_SIGNALING_RECEPTOR_LIGAND_PRECURSOR_PROCESSING",0.00298890706822693,0.103410045138603,0.431707695803346,0.699184759652035,1.81239080369894,14
"GOBP_ARTERY_DEVELOPMENT",0.00323279579166457,0.107485170698169,0.431707695803346,-0.565474181135538,-1.78723847433563,22
"GOBP_NUCLEOSIDE_PHOSPHATE_BIOSYNTHETIC_PROCESS",0.00337767645350391,0.107485170698169,0.431707695803346,0.576459264533956,1.78801688767757,27
"GOBP_POSITIVE_REGULATION_OF_TUMOR_NECROSIS_FACTOR_SUPERFAMILY_CYTOKINE_PRODUCTION",0.003342112905891,0.107485170698169,0.431707695803346,0.513655509865301,1.71175977522158,38
"GOBP_FOREBRAIN_DEVELOPMENT",0.00351157317614244,0.10931679974426,0.431707695803346,-0.457794890780681,-1.69683627071364,47
"GOBP_CELL_MATRIX_ADHESION",0.00404793975642037,0.11190039627677,0.407017918923954,-0.431188209603751,-1.63163349830567,53
"GOBP_LYTIC_VACUOLE_ORGANIZATION",0.00406175890386803,0.11190039627677,0.407017918923954,0.719487852467406,1.73793354108724,11
"GOBP_MUSCLE_CELL_DEVELOPMENT",0.00413827255456537,0.11190039627677,0.407017918923954,-0.592560902502358,-1.79856418655368,19
"GOBP_NEGATIVE_REGULATION_OF_LOCOMOTION",0.00385172556357504,0.11190039627677,0.431707695803346,-0.392578086625679,-1.58333754233342,72
"GOBP_POSITIVE_REGULATION_OF_MONONUCLEAR_CELL_MIGRATION",0.00412118715518969,0.11190039627677,0.407017918923954,0.50671832386406,1.68864156521101,38
"GOBP_POSITIVE_REGULATION_OF_NON_CANONICAL_NF_KAPPAB_SIGNAL_TRANSDUCTION",0.00418912447389898,0.11190039627677,0.407017918923954,0.631277802400357,1.74815280229825,18
"GOBP_POSITIVE_REGULATION_OF_NOTCH_SIGNALING_PATHWAY",0.00421970768082793,0.11190039627677,0.407017918923954,-0.690721327174303,-1.78034721489848,12
"GOBP_REGULATION_OF_BMP_SIGNALING_PATHWAY",0.00396203960206826,0.11190039627677,0.407017918923954,-0.559326853111307,-1.80375211320488,23
"GOBP_TELENCEPHALON_DEVELOPMENT",0.00440205203781722,0.114613427602805,0.407017918923954,-0.530807175451524,-1.80253564032941,30
"GOBP_NEGATIVE_REGULATION_OF_CYTOKINE_PRODUCTION",0.00452796650278928,0.115786571999897,0.407017918923954,0.426192000871787,1.62897253610841,76
"GOBP_CELL_CELL_JUNCTION_ASSEMBLY",0.00537726947084184,0.119768211616954,0.407017918923954,-0.59003037154831,-1.8211588614727,20
"GOBP_NEGATIVE_REGULATION_OF_INNATE_IMMUNE_RESPONSE",0.00521854025018175,0.119768211616954,0.407017918923954,0.57944695716669,1.71491617115959,22
