"pathway","pval","padj","log2err","ES","NES","size"
"REACTOME_INTERFERON_SIGNALING",2.04606362577006e-05,0.00450133997669413,0.575610261071129,0.678258167402158,2.07728327260634,28
"REACTOME_METABOLISM_OF_WATER_SOLUBLE_VITAMINS_AND_COFACTORS",7.59726593711161e-05,0.00835699253082277,0.538434096309916,0.771628496709379,2.07597178488683,16
"REACTOME_ANTIMICROBIAL_MECHANISM_OF_IFN_STIMULATED_GENES",0.000472638224812714,0.0151200324883871,0.49849310876659,0.738353263296111,1.897220403717,14
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION",0.000216699907518387,0.0151200324883871,0.518848077743792,-0.408188564084215,-1.70728986343887,94
"REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS",0.000312486014099244,0.0151200324883871,0.49849310876659,-0.572300481767756,-1.94459309405634,33
"REACTOME_METABOLISM_OF_NUCLEOTIDES",0.000481091942812316,0.0151200324883871,0.49849310876659,0.689354578828414,1.8888277841249,18
"REACTOME_SARS_COV_1_INFECTION",0.000443930818628352,0.0151200324883871,0.49849310876659,0.748603556909578,1.89487735138547,13
"REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS",0.00110990432600906,0.0305223689652491,0.45505986738723,0.576825328007197,1.7978731227033,30
"REACTOME_ECM_PROTEOGLYCANS",0.00154289075777698,0.0377151074123263,0.45505986738723,-0.548083245568537,-1.81614483091387,29
"REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES",0.00320068467472797,0.0647193673447812,0.431707695803346,-0.65865771319535,-1.82418239594517,15
"REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS",0.00323596836723906,0.0647193673447812,0.431707695803346,0.555214814277554,1.73960753812997,31
"REACTOME_COLLAGEN_FORMATION",0.00535313883825307,0.0981408787013063,0.407017918923954,-0.62395782005985,-1.78925971988499,17
"REACTOME_METABOLISM_OF_CARBOHYDRATES_AND_CARBOHYDRATE_DERIVATIVES",0.00653761999110047,0.110636646003239,0.407017918923954,0.488332759890766,1.61952935885013,40
"REACTOME_INTERLEUKIN_12_SIGNALING",0.00827582070836446,0.12949382746382,0.380730400722792,0.724112870737937,1.69883543001207,10
"REACTOME_KEAP1_NFE2L2_PATHWAY",0.00969965867946047,0.12949382746382,0.380730400722792,0.635327911595605,1.66419136751169,15
"REACTOME_MOLECULES_ASSOCIATED_WITH_ELASTIC_FIBRES",0.00928392332954817,0.12949382746382,0.380730400722792,-0.692031134740904,-1.74137170157585,11
"REACTOME_MYD88_INDEPENDENT_TLR4_CASCADE",0.0100063412131133,0.12949382746382,0.380730400722792,0.591529011207889,1.62078626268687,18
"REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL",0.0113924411522049,0.139240947415838,0.380730400722792,-0.396689462827028,-1.53809867275159,56
"REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER",0.0141951289837742,0.148403792236268,0.380730400722792,-0.452619578761083,-1.53793494000703,33
"REACTOME_DENGUE_VIRUS_HOST_INTERACTIONS",0.0148403792236268,0.148403792236268,0.380730400722792,0.579488254611684,1.6271014919075,20
"REACTOME_DENGUE_VIRUS_INFECTION",0.0143016195818449,0.148403792236268,0.380730400722792,0.488684478613105,1.59580249220061,37
"REACTOME_NEURONAL_SYSTEM",0.0140293719870165,0.148403792236268,0.380730400722792,-0.589057004137194,-1.64628260671542,16
"REACTOME_HIV_INFECTION",0.0155546888183959,0.148783980002047,0.380730400722792,0.660083555369925,1.62669425925435,12
"REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION",0.0204784718092538,0.166861622149475,0.352487857583619,0.509643290368717,1.54010283750858,26
"REACTOME_INTERLEUKIN_12_FAMILY_SIGNALING",0.0185174042857587,0.166861622149475,0.352487857583619,0.653762548937146,1.61111692091095,12
"REACTOME_LEISHMANIA_INFECTION",0.0197901823860091,0.166861622149475,0.352487857583619,0.495193199063807,1.52822048454348,29
"REACTOME_NEGATIVE_REGULATION_OF_THE_PI3K_AKT_NETWORK",0.0197471477927789,0.166861622149475,0.352487857583619,-0.432456686478214,-1.56130174614833,39
"REACTOME_TOLL_LIKE_RECEPTOR_9_TLR9_CASCADE",0.0216533334500109,0.170133334250086,0.352487857583619,0.597828617136869,1.60838453564978,16
"REACTOME_L1CAM_INTERACTIONS",0.0262699915201008,0.180606191700693,0.352487857583619,-0.529518367169207,-1.55241067806549,18
"REACTOME_NUCLEAR_EVENTS_MEDIATED_BY_NFE2L2",0.0244428625758235,0.180606191700693,0.352487857583619,0.64007832663694,1.57739384801054,12
"REACTOME_POST_TRANSLATIONAL_MODIFICATION_SYNTHESIS_OF_GPI_ANCHORED_PROTEINS",0.0260924300633083,0.180606191700693,0.352487857583619,-0.496699461501798,-1.54863222838361,22
"REACTOME_SIGNALING_BY_INTERLEUKINS",0.0252356397787729,0.180606191700693,0.352487857583619,0.338457543801701,1.3765413590612,132
"REACTOME_PROTEIN_LOCALIZATION",0.0277997598439045,0.185331732292697,0.352487857583619,0.608145702364206,1.53934817316335,13
"REACTOME_NUCLEOTIDE_BINDING_DOMAIN_LEUCINE_RICH_REPEAT_CONTAINING_RECEPTOR_NLR_SIGNALING_PATHWAYS",0.0309437194975528,0.200224067337106,0.352487857583619,0.658940314790568,1.54593461636543,10
"REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS",0.0347414785532162,0.206570953559664,0.321775918075361,-0.535646220775824,-1.59225519612616,19
"REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS",0.0335365854426086,0.206570953559664,0.321775918075361,-0.538017255391667,-1.59930330370321,19
"REACTOME_SIGNALING_BY_FGFR",0.0338482873463075,0.206570953559664,0.321775918075361,-0.55934184928978,-1.52088844876077,14
"REACTOME_SIGNALING_BY_ROBO_RECEPTORS",0.0374177926433871,0.216629325830136,0.321775918075361,-0.557348586811952,-1.54360217773042,15
"REACTOME_NEUTROPHIL_DEGRANULATION",0.0421511627906977,0.237775790101372,0.266350657088526,0.334117470563312,1.34392710029184,120
"REACTOME_M_PHASE",0.0459363957597173,0.240619215884234,0.282013350011725,0.595081657704424,1.50628025341487,13
"REACTOME_PI3K_AKT_SIGNALING_IN_CANCER",0.0450361673174235,0.240619215884234,0.321775918075361,-0.413680942290199,-1.47859592366146,38
"REACTOME_SIGNALING_BY_ALK_IN_CANCER",0.0459363957597173,0.240619215884234,0.282013350011725,0.595469247062222,1.5072613258249,13
"REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES",0.0528169014084507,0.265957763545192,0.261663521711573,0.600495313517085,1.47984640923216,12
"REACTOME_TOLL_LIKE_RECEPTOR_TLR1_TLR2_CASCADE",0.0531915527090384,0.265957763545192,0.321775918075361,0.538363107711617,1.49059282726273,19
