"OlinkID","t","Assay","UniProt","MissingFreq","LOD","Panel","Panel_Version","ENTREZID"
"OID20167",-1.39756366216449,"IGSF8","Q969P0",0.04,0.0619,"CARDIOMETABOLIC",1,"93185"
"OID20408",-2.64664595012879,"PTGDS","P41222",0.03,-0.132,"CARDIOMETABOLIC",1,"5730"
"OID20359",-0.0673260836891417,"TNC","P24821",0.03,-0.2317,"CARDIOMETABOLIC",1,"3371"
"OID20410",5.54383469844053,"C2","P06681",0.03,0.3922,"CARDIOMETABOLIC",1,"717"
"OID20109",-5.99214654174737,"ADAM15","Q13444",0.03,1.4963,"CARDIOMETABOLIC",1,"8751"
"OID20290",-1.71797303991056,"SELE","P16581",0.03,0.1984,"CARDIOMETABOLIC",1,"6401"
"OID20257",-4.94628590395196,"PEAR1","Q5VY43",0.03,-0.4318,"CARDIOMETABOLIC",1,"375033"
"OID20107",2.49402910491134,"GLO1","Q04760",0.03,0.2901,"CARDIOMETABOLIC",1,"2739"
"OID20312",-1.31309298055102,"CHIT1","Q13231",0.11,0.3347,"CARDIOMETABOLIC",1,"1118"
"OID20314",3.98743993478865,"ACP5","P13686",0.03,0.0783,"CARDIOMETABOLIC",1,"54"
"OID20386",2.47660099495347,"SOD1","P00441",0.96,3.7485,"CARDIOMETABOLIC",1,"6647"
"OID20292",-4.36061126406555,"COL6A3","P12111",0.03,0.2756,"CARDIOMETABOLIC",1,"1293"
"OID20350",-0.640932971118394,"ANPEP","P15144",0.03,0.01,"CARDIOMETABOLIC",1,"290"
"OID20241",2.51762421815283,"CA4","P22748",0.03,-0.3359,"CARDIOMETABOLIC",1,"762"
"OID20358",1.5430907290012,"CTSD","P07339",0.99,5.8266,"CARDIOMETABOLIC",1,"1509"
"OID20266",-0.801590274166636,"REG1B","P48304",0.03,-0.1516,"CARDIOMETABOLIC",1,"5968"
"OID20413",-0.765048541093926,"IGFBP6","P24592",0.03,0.1925,"CARDIOMETABOLIC",1,"3489"
"OID20203",-0.171319213131587,"RNASE3","P12724",0.16,0.7564,"CARDIOMETABOLIC",1,"6037"
"OID20220",-3.63658932361395,"GH1","P01241",0.03,0.0447,"CARDIOMETABOLIC",1,"2688"
"OID20171",3.12879934224114,"MCFD2","Q8NI22",0.06,1.452,"CARDIOMETABOLIC",1,"90411"
"OID20100",4.81470226161425,"ENTPD6","O75354",0.04,0.2682,"CARDIOMETABOLIC",1,"955"
"OID20050",-0.30876623478399,"TNNI3","P19429",0.76,1.743,"CARDIOMETABOLIC",1,"7137"
"OID20101",3.08071737714473,"IL6","P05231",0.04,1.3918,"CARDIOMETABOLIC",1,"3569"
"OID20361",-3.96845263295949,"SPARCL1","Q14515",0.03,0.1111,"CARDIOMETABOLIC",1,"8404"
"OID20077",1.13637599360534,"STK11","Q15831",0.06,0.8678,"CARDIOMETABOLIC",1,"6794"
"OID20379",-1.89626506740705,"SELP","P16109",0.03,-0.7986,"CARDIOMETABOLIC",1,"6403"
"OID20293",-1.89481039488832,"CST6","Q15828",0.03,1.1124,"CARDIOMETABOLIC",1,"1474"
"OID20194",2.91266395901783,"THOP1","P52888",0.04,0.5827,"CARDIOMETABOLIC",1,"7064"
"OID20387",-1.5033464388902,"FCGR3B","O75015",0.03,-0.1788,"CARDIOMETABOLIC",1,"2215"
"OID20210",0.895400162886174,"MARCO","Q9UEW3",0.03,0.6159,"CARDIOMETABOLIC",1,"8685"
"OID20389",-4.13697767564847,"AOC3","Q16853",0.04,-0.1565,"CARDIOMETABOLIC",1,"8639"
"OID20307",-5.50979565681232,"CNTN1","Q12860",0.04,-0.0647,"CARDIOMETABOLIC",1,"1272"
"OID20212",-3.71786288496493,"PRSS27","Q9BQR3",0.03,0.8459,"CARDIOMETABOLIC",1,"83886"
"OID20217",4.20898507537296,"HMOX1","P09601",0.04,1.267,"CARDIOMETABOLIC",1,"3162"
"OID20372",1.93741124715032,"F7","P08709",0.03,0.3372,"CARDIOMETABOLIC",1,"2155"
"OID20205",-3.49001996971913,"NPDC1","Q9NQX5",0.03,-0.0067,"CARDIOMETABOLIC",1,"56654"
"OID20289",1.83033938043648,"CPB1","P15086",0.03,-0.201,"CARDIOMETABOLIC",1,"1360"
"OID20199",2.29107489167048,"AHCY","P23526",0.14,0.8625,"CARDIOMETABOLIC",1,"191"
"OID20340",2.86432389449031,"AMY2B","P19961",0.06,0.0672,"CARDIOMETABOLIC",1,"280"
"OID20231",-3.42599633154392,"THBD","P07204",0.03,0.6161,"CARDIOMETABOLIC",1,"7056"
"OID20211",7.11157355308551,"ANGPTL1","O95841",0.27,1.3901,"CARDIOMETABOLIC",1,"9068"
"OID20208",-3.5065634390837,"COL4A1","P02462",0.03,0.1472,"CARDIOMETABOLIC",1,"1282"
"OID20219",-1.62470815020963,"SERPINA12","Q8IW75",0.72,1.6773,"CARDIOMETABOLIC",1,"145264"
