"OlinkID","t","Assay","UniProt","MissingFreq","LOD","Panel","Panel_Version","ENTREZID"
"OID20370",-4.52832662145223,"KIT","P10721",0.03,-0.4628,"CARDIOMETABOLIC",1,"3815"
"OID20404",2.53688487561173,"FETUB","Q9UGM5",0.04,0.6722,"CARDIOMETABOLIC",1,"26998"
"OID20267",1.16318826323358,"IL2RA","P01589",0.03,1.0879,"CARDIOMETABOLIC",1,"3559"
"OID20282",-0.649112680307274,"CXCL16","Q9H2A7",0.04,0.3687,"CARDIOMETABOLIC",1,"58191"
"OID20168",-1.40883614863226,"MEP1B","Q16820",0.3,0.2936,"CARDIOMETABOLIC",1,"4225"
"OID20402",-0.816518227875959,"PROC","P04070",0.03,-0.6386,"CARDIOMETABOLIC",1,"5624"
"OID20098",2.92845205329858,"THPO","P40225",0.34,1.3429,"CARDIOMETABOLIC",1,"7066"
"OID20183",-0.480007514213681,"OLR1","P78380",0.03,0.2771,"CARDIOMETABOLIC",1,"4973"
"OID20329",4.76141833294272,"PRTN3","P24158",0.16,2.2927,"CARDIOMETABOLIC",1,"5657"
"OID20186",0.744152964163315,"SEMA3F","Q13275",0.04,-0.6604,"CARDIOMETABOLIC",1,"6405"
"OID20170",4.19176681057257,"CDH2","P19022",0.03,0.4473,"CARDIOMETABOLIC",1,"1000"
"OID20181",2.37166245806142,"CANT1","Q8WVQ1",0.03,0.1546,"CARDIOMETABOLIC",1,"124583"
"OID20225",-0.648788366608375,"CA13","Q8N1Q1",0.12,0.3547,"CARDIOMETABOLIC",1,"377677"
"OID20333",2.61752053014903,"AMY2A","P04746",0.05,-0.0808,"CARDIOMETABOLIC",1,"279"
"OID20315",-3.22586277027674,"ITGB2","P05107",0.03,2.7601,"CARDIOMETABOLIC",1,"3689"
"OID20263",0.764577504792871,"MB","P02144",0.03,-0.2221,"CARDIOMETABOLIC",1,"4151"
"OID20149",1.76419449316308,"PM20D1","Q6GTS8",0.53,0.1831,"CARDIOMETABOLIC",1,"148811"
"OID20243",-5.97645615086677,"CDH5","P33151",0.03,-0.077,"CARDIOMETABOLIC",1,"1003"
"OID20276",-4.08029920203917,"CTSB","P07858",0.03,0.3666,"CARDIOMETABOLIC",1,"1508"
"OID20246",-0.762761903199131,"IGFBP1","P08833",0.03,0.2825,"CARDIOMETABOLIC",1,"3484"
"OID20198",-0.368462680357392,"CLUL1","Q15846",0.03,0.4619,"CARDIOMETABOLIC",1,"27098"
"OID20176",1.83584460005868,"PPP1R2","P41236",0.12,0.4875,"CARDIOMETABOLIC",1,"5504"
"OID20406",-0.0363051110045216,"DPP4","P27487",0.03,1.3606,"CARDIOMETABOLIC",1,"1803"
"OID20115",-2.05007460497348,"MSTN","O14793",0.77,1.2583,"CARDIOMETABOLIC",1,"2660"
"OID20328",1.05254881571991,"CCL15","Q16663",0.03,0.2992,"CARDIOMETABOLIC",1,"6359"
"OID20313",1.79869744282915,"PDGFA","P04085",0.04,0.2795,"CARDIOMETABOLIC",1,"5154"
"OID20218",-0.200178673355248,"SNAP23","O00161",0.08,1.5527,"CARDIOMETABOLIC",1,"8773"
"OID20400",-0.334933824127473,"CST3","P01034",0.03,2.7553,"CARDIOMETABOLIC",1,"1471"
"OID20165",0.32925477653948,"CLEC5A","Q9NY25",0.04,0.388,"CARDIOMETABOLIC",1,"23601"
"OID20193",2.14440334764616,"CDHR5","Q9HBB8",0.03,0.4689,"CARDIOMETABOLIC",1,"53841"
"OID20081",-4.64689421915895,"EDIL3","O43854",0.04,1.1801,"CARDIOMETABOLIC",1,"10085"
"OID20311",1.93724775249361,"NOTCH1","P46531",0.03,-0.4091,"CARDIOMETABOLIC",1,"4851"
"OID20197",0.176725741317913,"PILRB","Q9UKJ0",0.03,0.302,"CARDIOMETABOLIC",1,"29990"
"OID20327",0.78696949768553,"RETN","Q9HD89",0.03,2.2474,"CARDIOMETABOLIC",1,"56729"
"OID20288",-2.96523919840199,"ENPP2","Q13822",0.03,-0.1454,"CARDIOMETABOLIC",1,"5168"
"OID20172",-0.961818093443435,"FCRL1","Q96LA6",0.04,0.8733,"CARDIOMETABOLIC",1,"115350"
"OID20411",-1.21741129607724,"ICAM1","P05362",0.03,0.8877,"CARDIOMETABOLIC",1,"3383"
"OID20390",-5.633591236806,"NRP1","O14786",0.04,0.4653,"CARDIOMETABOLIC",1,"8829"
"OID20317",4.30010874210428,"PLXNB2","O15031",0.03,-0.2209,"CARDIOMETABOLIC",1,"23654"
"OID20174",2.35825234209022,"QDPR","P09417",0.04,0.3913,"CARDIOMETABOLIC",1,"5860"
"OID20182",0.130832906098515,"SSC4D","Q8WTU2",0.09,0.5086,"CARDIOMETABOLIC",1,"136853"
"OID20356",-1.56172671673422,"OSMR","Q99650",0.04,0.0706,"CARDIOMETABOLIC",1,"9180"
"OID20362",9.10967351255337,"NID1","P14543",0.03,-0.0731,"CARDIOMETABOLIC",1,"4811"
"OID20264",3.84771284086414,"DKK3","Q9UBP4",0.03,0.1753,"CARDIOMETABOLIC",1,"27122"
"OID20304",-0.277727184413635,"SIRPA","P78324",0.03,0.8803,"CARDIOMETABOLIC",1,"140885"
"OID20145",-6.55743276928008,"ICAM5","Q9UMF0",0.07,0.8441,"CARDIOMETABOLIC",1,"7087"
"OID20374",-2.42880945025742,"APOM","O95445",0.04,0.1774,"CARDIOMETABOLIC",1,"55937"
"OID20363",-5.08696694034962,"AXL","P30530",0.03,-0.1602,"CARDIOMETABOLIC",1,"558"
"OID20384",-6.08696468879411,"PCOLCE","Q15113",0.03,0.4392,"CARDIOMETABOLIC",1,"5118"
"OID20086",0.468561913544783,"COMT","P21964",0.03,0.4031,"CARDIOMETABOLIC",1,"1312"
"OID20177",-0.0602931078446305,"CD2AP","Q9Y5K6",0.03,0.3361,"CARDIOMETABOLIC",1,"23607"
"OID20089",-0.509393740189707,"ADAMTS16","Q8TE57",0.44,0.3069,"CARDIOMETABOLIC",1,"170690"
"OID20146",1.76196017172091,"PRKAR1A","P10644",0.16,1.9506,"CARDIOMETABOLIC",1,"5573"
"OID20298",4.36193066962139,"CELA3A","P09093",0.04,0.1753,"CARDIOMETABOLIC",1,"10136"
"OID20074",3.6338852380269,"TNF","P01375",0.09,0.895,"CARDIOMETABOLIC",1,"7124"
"OID20378",7.6633641584218,"CD14","P08571",0.03,0.8707,"CARDIOMETABOLIC",1,"929"
"OID20339",-0.000322831993735527,"CD59","P13987",0.03,0.9959,"CARDIOMETABOLIC",1,"966"
"OID20229",-1.74212196498452,"NRCAM","Q92823",0.03,1.0898,"CARDIOMETABOLIC",1,"4897"
"OID20398",-1.10897601102739,"IGFBP3","P17936",0.03,0.2149,"CARDIOMETABOLIC",1,"3486"
"OID20223",-2.94875675902072,"CHRDL2","Q6WN34",0.04,0.2802,"CARDIOMETABOLIC",1,"25884"
"OID20108",2.85097759687817,"PAG1","Q9NWQ8",0.04,1.0946,"CARDIOMETABOLIC",1,"55824"
"OID20354",-0.0039662378360935,"NCAM1","P13591",0.03,-0.2491,"CARDIOMETABOLIC",1,"4684"
"OID20391",-3.13290338765167,"FCGR2A","P12318",0.04,0.2419,"CARDIOMETABOLIC",1,"2212"
"OID20110",-2.81477899959235,"USP8","P40818",0.15,0.4046,"CARDIOMETABOLIC",1,"9101"
"OID20114",0.324829804815031,"BAG6","P46379",0.04,1.5765,"CARDIOMETABOLIC",1,"7917"
"OID20418",0.683806420839668,"TIMP1","P01033",0.03,2.6808,"CARDIOMETABOLIC",1,"7076"
"OID20136",-4.90984752258672,"NTRK2","Q16620",0.24,0.5039,"CARDIOMETABOLIC",1,"4915"
"OID20139",2.17213650844313,"AGXT","P21549",0.16,0.5073,"CARDIOMETABOLIC",1,"189"
"OID20373",0.838955771483356,"RARRES2","Q99969",0.04,-0.2032,"CARDIOMETABOLIC",1,"5919"
"OID20057",0.453474081500014,"MFAP3","P55082",0.98,0.9075,"CARDIOMETABOLIC",1,"4238"
"OID20345",-4.95280476564881,"VASN","Q6EMK4",0.03,0.0602,"CARDIOMETABOLIC",1,"114990"
"OID20135",1.14952720187676,"SNX9","Q9Y5X1",0.04,0.562,"CARDIOMETABOLIC",1,"51429"
"OID20065",1.361276952684,"HK2","P52789",0.87,0.7686,"CARDIOMETABOLIC",1,"3099"
"OID20347",2.03442194542821,"CNDP1","Q96KN2",0.08,-0.1396,"CARDIOMETABOLIC",1,"84735"
"OID20083",-1.88227661772634,"PTN","P21246",0.43,0.1485,"CARDIOMETABOLIC",1,"5764"
"OID20134",-3.92021371034206,"CDH17","Q12864",0.51,0.1093,"CARDIOMETABOLIC",1,"1015"
"OID20351",0.936644681574175,"SSC5D","A1L4H1",0.04,0.523,"CARDIOMETABOLIC",1,"284297"
"OID20055",0.599273093526072,"CRHR1","P34998",0.95,0.7865,"CARDIOMETABOLIC",1,"1394"
"OID20247",4.0376699151205,"PLAT","P00750",0.04,0.0618,"CARDIOMETABOLIC",1,"5327"
"OID20349",2.40661204979268,"F9","P00740",0.04,0.1931,"CARDIOMETABOLIC",1,"2158"
"OID20059",-1.01242652565096,"DUOX2","Q9NRD8",0.83,0.3823,"CARDIOMETABOLIC",1,"50506"
"OID20368",-6.10400261142369,"THBS4","P35443",0.03,-0.1464,"CARDIOMETABOLIC",1,"7060"
"OID20075",1.63258308519933,"CA5A","P35218",0.17,1.0235,"CARDIOMETABOLIC",1,"763"
"OID20237",3.53037753753427,"UMOD","P07911",0.04,0.3522,"CARDIOMETABOLIC",1,"7369"
"OID20244",3.21438655302253,"CES1","P23141",0.03,0.4975,"CARDIOMETABOLIC",1,"1066"
"OID20056",-0.0509856756261246,"TSLP","Q969D9",0.69,0.3704,"CARDIOMETABOLIC",1,"85480"
"OID20070",0.26956103498506,"CRX","O43186",0.8,0.403,"CARDIOMETABOLIC",1,"1406"
"OID20271",1.39771134285028,"CA3","P07451",0.03,-0.2708,"CARDIOMETABOLIC",1,"761"
"OID20239",-6.82214734864434,"MFAP5","Q13361",0.04,0.1385,"CARDIOMETABOLIC",1,"8076"
"OID20152",-1.85745982996308,"CGREF1","Q99674",0.03,0.5356,"CARDIOMETABOLIC",1,"10669"
"OID20082",4.71831287490829,"ZBTB17","Q13105",0.06,0.502,"CARDIOMETABOLIC",1,"7709"
"OID20380",-4.37397997815351,"CD46","P15529",0.03,0.8429,"CARDIOMETABOLIC",1,"4179"
"OID20141",1.72332004974379,"TGM2","P21980",0.03,0.3611,"CARDIOMETABOLIC",1,"7052"
"OID20072",1.86675941614859,"SUSD1","Q6UWL2",0.05,0.5462,"CARDIOMETABOLIC",1,"64420"
"OID20062",-0.227119289172431,"AKR1C4","P17516",0.83,0.8274,"CARDIOMETABOLIC",1,"1109"
"OID20375",-2.45800747619395,"TIMD4","Q96H15",0.04,0.0303,"CARDIOMETABOLIC",1,"91937"
"OID20253",-1.57096900363192,"NOTCH3","Q9UM47",0.03,0.3787,"CARDIOMETABOLIC",1,"4854"
"OID20296",0.311551413957021,"GUSB","P08236",0.04,0.3843,"CARDIOMETABOLIC",1,"2990"
"OID20353",-3.04924154429442,"CDH1","P12830",0.03,0.9005,"CARDIOMETABOLIC",1,"999"
"OID20095",2.69802760168249,"GPR37","O15354",0.06,1.6581,"CARDIOMETABOLIC",1,"2861"
"OID20068",1.42034551608444,"TIA1","P31483",0.52,0.7891,"CARDIOMETABOLIC",1,"7072"
"OID20283",1.87985299401756,"SEMA7A","O75326",0.03,0.4569,"CARDIOMETABOLIC",1,"8482"
"OID20371",-2.43970037963497,"TFF3","Q07654",0.85,2.856,"CARDIOMETABOLIC",1,"7033"
"OID20268",-4.76979591827204,"PDGFRB","P09619",0.03,-0.1426,"CARDIOMETABOLIC",1,"5159"
"OID20330",-6.24814829859799,"FAP","Q12884",0.05,-0.3136,"CARDIOMETABOLIC",1,"2191"
"OID20355",7.32991416380004,"LBP","P18428",0.04,1.8361,"CARDIOMETABOLIC",1,"3929"
"OID20338",-0.993488571587293,"PGLYRP1","O75594",0.03,-0.0219,"CARDIOMETABOLIC",1,"8993"
"OID20364",0.785931201886828,"PRSS2","P07478",0.04,-0.0428,"CARDIOMETABOLIC",1,"5645"
"OID20102",-2.79064523901858,"CEACAM8","P31997",0.06,1.1543,"CARDIOMETABOLIC",1,"1088"
"OID20357",-2.48740925545709,"HYAL1","Q12794",0.03,0.2339,"CARDIOMETABOLIC",1,"3373"
"OID20365",2.45387225114279,"CTSZ","Q9UBR2",0.03,0.0414,"CARDIOMETABOLIC",1,"1522"
"OID20343",-6.63796448157545,"MCAM","P43121",0.05,-0.1547,"CARDIOMETABOLIC",1,"4162"
"OID20250",0.227727888393984,"IL1RL1","Q01638",0.04,0.2313,"CARDIOMETABOLIC",1,"9173"
"OID20085",1.34253940681176,"LRMP","Q12912",0.34,1.0504,"CARDIOMETABOLIC",1,"4033"
"OID20067",2.04182783415633,"VSTM2L","Q96N03",0.87,0.5083,"CARDIOMETABOLIC",1,"128434"
"OID20301",2.99130203861778,"LILRB2","Q8N423",0.03,0.9634,"CARDIOMETABOLIC",1,"10288"
"OID20230",2.39894730256415,"HSPB1","P04792",0.04,0.3818,"CARDIOMETABOLIC",1,"3315"
"OID20215",-0.338447842661965,"DDC","P20711",0.03,0.7985,"CARDIOMETABOLIC",1,"1644"
"OID20213",1.31708436303115,"SORT1","Q99523",0.03,1.3477,"CARDIOMETABOLIC",1,"6272"
"OID20084",1.68114206293139,"FGFR1OP","O95684",0.75,1.5219,"CARDIOMETABOLIC",1,"11116"
"OID20319",2.53815953360978,"EGFR","P00533",0.03,0.1502,"CARDIOMETABOLIC",1,"1956"
"OID20063",1.03933327153352,"HEBP1","Q9NRV9",0.98,0.8265,"CARDIOMETABOLIC",1,"50865"
"OID20342",3.93989837632572,"SERPINE1","P05121",0.03,0.7875,"CARDIOMETABOLIC",1,"5054"
"OID20478",0.982156723999183,"YTHDF3","Q7Z739",0.73,1.4325,"INFLAMMATION",1,"253943"
"OID20488",0.743193723208255,"IL1A","P01583",0.97,2.0977,"INFLAMMATION",1,"3552"
"OID20755",1.91840539094555,"ADGRE2","Q9UHX3",0.03,-0.0115,"INFLAMMATION",1,"30817"
"OID20469",-1.48174801855136,"IL17A","Q16552",0.59,0.5614,"INFLAMMATION",1,"3605"
"OID20495",7.39746528255966,"IFNG","P01579",0.24,0.9761,"INFLAMMATION",1,"3458"
"OID20765",-1.20861045356107,"CCL22","O00626",0.03,1.4184,"INFLAMMATION",1,"6367"
"OID20484",1.14374384847646,"ICA1","Q05084",0.69,1.381,"INFLAMMATION",1,"3382"
"OID20567",-0.15360388106424,"NCF2","P19878",0.03,-0.011,"INFLAMMATION",1,"4688"
"OID20562",5.36027173759946,"IL15","P40933",0.03,1.0689,"INFLAMMATION",1,"3600"
"OID20472",-2.92276461841627,"IL5","P05113",0.82,1.2855,"INFLAMMATION",1,"3567"
"OID20758",3.02247236863064,"ESM1","Q9NQ30",0.03,0.8966,"INFLAMMATION",1,"11082"
"OID20463",1.22113286787387,"FXYD5","Q96DB9",0.74,0.6929,"INFLAMMATION",1,"53827"
"OID20744",2.48843185082794,"DNPH1","O43598",0.04,0.5078,"INFLAMMATION",1,"10591"
"OID20452",-1.1917982293231,"AOC1","P19801",0.83,1.05,"INFLAMMATION",1,"26"
"OID20651",-4.79631761588849,"ADAM23","O75077",0.04,0.2944,"INFLAMMATION",1,"8745"
"OID20652",6.94831318072808,"IL18R1","Q13478",0.03,0.5333,"INFLAMMATION",1,"8809"
"OID20742",1.81043765310313,"CRKL","P46109",0.03,0.9938,"INFLAMMATION",1,"1399"
"OID20733",3.14348177361985,"TNFSF13","O75888",0.04,0.0492,"INFLAMMATION",1,"8741"
"OID20584",0.298725494544916,"CD4","P01730",0.04,-0.275,"INFLAMMATION",1,"920"
"OID20533",6.18464648806116,"TRIM21","P19474",0.03,0.9366,"INFLAMMATION",1,"6737"
"OID20516",0.257911341188262,"VASH1","Q7L8A9",0.92,0.2731,"INFLAMMATION",1,"22846"
"OID20431",-0.0239878582758016,"IL10","P22301",0.91,1.6874,"INFLAMMATION",1,"3586"
"OID20458",1.57857201419959,"CXCL14","O95715",0.65,0.7163,"INFLAMMATION",1,"9547"
"OID20764",0.258046668098402,"PLAUR","Q03405",0.03,0.4493,"INFLAMMATION",1,"5329"
"OID20576",1.21656863528473,"IL4R","P24394",0.04,0.8914,"INFLAMMATION",1,"3566"
"OID20537",1.84380435952297,"SIGLEC10","Q96LC7",0.04,0.3418,"INFLAMMATION",1,"89790"
"OID20715",-0.620000119235453,"FGF19","O95750",0.04,0.1324,"INFLAMMATION",1,"9965"
"OID20449",1.26425929178298,"IL22RA1","Q8N6P7",0.79,0.6445,"INFLAMMATION",1,"58985"
"OID20698",1.30015181037946,"EGF","P01133",0.05,0.047,"INFLAMMATION",1,"1950"
"OID20509",-0.379057572991386,"SPINK4","O60575",0.71,0.7792,"INFLAMMATION",1,"27290"
"OID20558",0.0807357037368565,"BCR","P11274",0.09,0.8472,"INFLAMMATION",1,"613"
"OID20457",-0.385826014740421,"SCGN","O76038",0.84,0.7539,"INFLAMMATION",1,"10590"
"OID20441",0.0732739068396168,"CEP164","Q9UPV0",0.98,0.9369,"INFLAMMATION",1,"22897"
"OID20703",-1.03695240075566,"ANGPTL4","Q9BY76",0.03,0.324,"INFLAMMATION",1,"51129"
"OID20662",-2.84296728049126,"VEGFD","O43915",0.03,0.6586,"INFLAMMATION",1,"2277"
"OID20630",3.99732710703182,"SERPINB8","P50452",0.05,2.1206,"INFLAMMATION",1,"5271"
"OID20763",-2.39128913996854,"PRSS8","Q16651",0.03,0.0914,"INFLAMMATION",1,"5652"
"OID20658",1.52984360221155,"AGRP","O00253",0.03,-0.1143,"INFLAMMATION",1,"181"
"OID20786",2.51528899759572,"AGRN","O00468",0.03,1.2533,"INFLAMMATION",1,"375790"
"OID20773",8.7369675217305,"LGMN","Q99538",0.04,0.8368,"INFLAMMATION",1,"5641"
"OID20759",-5.7676205220663,"SPON1","Q9HCB6",0.04,0.3996,"INFLAMMATION",1,"10418"
"OID20740",1.13456731045091,"ANGPT1","Q15389",0.04,0.2489,"INFLAMMATION",1,"284"
"OID20534",3.94634145296439,"PSIP1","O75475",0.05,0.1994,"INFLAMMATION",1,"11168"
"OID20524",0.55650665008013,"DAPP1","Q9UN19",0.41,1.1973,"INFLAMMATION",1,"27071"
"OID20552",1.52599433374926,"MAP2K6","P52564",0.22,1.5416,"INFLAMMATION",1,"5608"
"OID20714",5.19811843791172,"SHMT1","P34896",0.04,0.8629,"INFLAMMATION",1,"6470"
"OID20632",-0.99077722994475,"KLRD1","Q13241",0.03,0.8423,"INFLAMMATION",1,"3824"
"OID20626",-2.21695107751997,"BSG","P35613",0.03,1.1244,"INFLAMMATION",1,"682"
"OID20587",1.33460523856028,"PIK3AP1","Q6ZUJ8",0.13,1.523,"INFLAMMATION",1,"118788"
"OID20656",-0.99467530387777,"HGF","P14210",0.04,1.2291,"INFLAMMATION",1,"3082"
"OID20500",3.67286724921027,"PARP1","P09874",0.09,0.2792,"INFLAMMATION",1,"142"
"OID20619",-0.176477267985714,"IDS","P22304",0.04,0.2558,"INFLAMMATION",1,"3423"
"OID20551",0.538918764882439,"GOPC","Q9HD26",0.14,1.1477,"INFLAMMATION",1,"57120"
"OID20713",-2.20378093812197,"BTN2A1","Q7KYR7",0.03,-0.3979,"INFLAMMATION",1,"11120"
"OID20685",0.722800814709428,"PLA2G4A","P47712",0.04,0.7481,"INFLAMMATION",1,"5321"
"OID20636",-1.96985778950326,"CLEC7A","Q9BXN2",0.04,0.1552,"INFLAMMATION",1,"64581"
"OID20668",-0.961725187177075,"CCL11","P51671",0.04,0.5675,"INFLAMMATION",1,"6356"
"OID20616",0.880472468865172,"CD40LG","P29965",0.04,0.37,"INFLAMMATION",1,"959"
"OID20778",-0.999551988669605,"FABP1","P07148",0.04,2.0016,"INFLAMMATION",1,"2168"
"OID20774",-0.0920911944509864,"DAG1","Q14118",0.03,0.5017,"INFLAMMATION",1,"1605"
"OID20732",4.20372150819334,"MZB1","Q8WU39",0.03,0.6829,"INFLAMMATION",1,"51237"
"OID20720",-2.18564925970407,"SPINT2","O43291",0.03,-0.0758,"INFLAMMATION",1,"10653"
"OID20664",-7.66931816046957,"CLSTN2","Q9H4D0",0.03,0.6048,"INFLAMMATION",1,"64084"
"OID20752",2.36043944172425,"CTRC","Q99895",0.04,0.7972,"INFLAMMATION",1,"11330"
"OID20580",-3.89882758943658,"LY75","O60449",0.25,1.5022,"INFLAMMATION",1,"4065"
"OID20580",-3.89882758943658,"LY75","O60449",0.25,1.5022,"INFLAMMATION",1,"100526664"
"OID20569",-2.87955427226536,"CCL28","Q9NRJ3",0.16,1.3946,"INFLAMMATION",1,"56477"
"OID20734",-4.15806619729913,"ROBO1","Q9Y6N7",0.03,0.2704,"INFLAMMATION",1,"6091"
"OID20697",13.3012341510708,"CXCL10","P02778",0.03,0.7484,"INFLAMMATION",1,"3627"
"OID20612",2.08286637628184,"TLR3","O15455",0.03,0.3394,"INFLAMMATION",1,"7098"
"OID20614",2.76045306469281,"PCDH1","Q08174",0.03,0.7513,"INFLAMMATION",1,"5097"
"OID20538",-1.72898361754339,"ISM1","B1AKI9",0.04,1.0162,"INFLAMMATION",1,"140862"
"OID20610",1.11900875716662,"CCL3","P10147",0.03,0.5607,"INFLAMMATION",1,"6348"
"OID20481",-2.46497037207137,"IL17D","Q8TAD2",0.14,0.7454,"INFLAMMATION",1,"53342"
"OID20777",-1.28880094876316,"PON3","Q15166",0.04,0.1847,"INFLAMMATION",1,"5446"
"OID20545",0.197090041991918,"NFATC1","O95644",0.19,0.8745,"INFLAMMATION",1,"4772"
"OID20475",1.65469681321806,"SPRY2","O43597",0.18,1.4479,"INFLAMMATION",1,"10253"
"OID20676",4.55117424496029,"SMPDL3A","Q92484",0.03,0.7667,"INFLAMMATION",1,"10924"
"OID20474",0.0447742909609394,"TANK","Q92844",0.61,1.3849,"INFLAMMATION",1,"10010"
"OID20429",5.78379864246003,"LILRB4","Q8NHJ6",0.04,1.3499,"INFLAMMATION",1,"11006"
"OID20450",-0.244536928215291,"IL2RB","P14784",0.94,0.3531,"INFLAMMATION",1,"3560"
"OID20554",-0.773966702904279,"ARHGEF12","Q9NZN5",0.23,0.6776,"INFLAMMATION",1,"23365"
"OID20646",-1.77594620207819,"TNFRSF11A","Q9Y6Q6",0.03,0.821,"INFLAMMATION",1,"8792"
"OID20753",-1.36347841507282,"MEPE","Q9NQ76",0.03,0.4484,"INFLAMMATION",1,"56955"
"OID20571",-1.06029021241453,"PTH1R","Q03431",0.03,0.4669,"INFLAMMATION",1,"5745"
"OID20589",3.47470441707274,"HEXIM1","O94992",0.04,0.8298,"INFLAMMATION",1,"10614"
"OID20751",0.699685895888857,"CRELD2","Q6UXH1",0.03,0.8303,"INFLAMMATION",1,"79174"
"OID20660",5.49633688487221,"CTSO","P43234",0.04,0.3212,"INFLAMMATION",1,"1519"
"OID20592",-1.62078832884705,"TNFSF11","O14788",0.67,0.6426,"INFLAMMATION",1,"8600"
"OID20639",2.82818184113315,"FCRL2","Q96LA5",0.04,0.5709,"INFLAMMATION",1,"79368"
"OID20486",2.87119221556914,"IL12RB1","P42701",0.23,0.4097,"INFLAMMATION",1,"3594"
"OID20461",-2.2929417431483,"IL3RA","P26951",0.89,0.3158,"INFLAMMATION",1,"3563"
"OID20657",5.1904066677344,"MERTK","Q12866",0.03,1.1934,"INFLAMMATION",1,"10461"
"OID20671",-0.529938749633771,"CCL20","P78556",0.04,1.1909,"INFLAMMATION",1,"6364"
"OID20498",-2.77984605220079,"IL15RA","Q13261",0.92,0.8229,"INFLAMMATION",1,"3601"
"OID20666",0.837147866863459,"IL12B","P29460",0.03,0.2531,"INFLAMMATION",1,"3593"
"OID20490",-3.47586767851937,"FGF5","P12034",0.1,0.2886,"INFLAMMATION",1,"2250"
"OID20598",-3.06182113477112,"PTPRM","P28827",0.04,0.7162,"INFLAMMATION",1,"5797"
"OID20540",4.07344403752557,"BTN3A2","P78410",0.04,0.8071,"INFLAMMATION",1,"11118"
"OID20477",-0.76772703501922,"IL17C","Q9P0M4",0.07,1.1614,"INFLAMMATION",1,"27189"
"OID20535",2.69903421619447,"IL7","P13232",0.16,0.6039,"INFLAMMATION",1,"3574"
"OID20436",10.4040681942688,"LAP3","P28838",0.16,1.9415,"INFLAMMATION",1,"51056"
"OID20482",-1.84214348074062,"MILR1","Q7Z6M3",0.08,0.6809,"INFLAMMATION",1,"284021"
"OID20442",3.48308189383863,"NBN","O60934",0.23,0.4411,"INFLAMMATION",1,"4683"
"OID20548",-1.51686959337028,"CEACAM21","Q3KPI0",0.17,1.4201,"INFLAMMATION",1,"90273"
"OID20670",0.981040281627317,"LY9","Q9HBG7",0.04,0.3632,"INFLAMMATION",1,"4063"
"OID20601",3.73817935097953,"IL5RA","Q01344",0.04,0.9973,"INFLAMMATION",1,"3568"
"OID20781",10.6941246333902,"LGALS9","O00182",0.03,1.9223,"INFLAMMATION",1,"3965"
"OID20585",4.34122165706352,"IL17RB","Q9NRM6",0.04,0.724,"INFLAMMATION",1,"55540"
"OID20654",9.26207381561022,"C1QA","P02745",0.03,0.3754,"INFLAMMATION",1,"712"
"OID20788",1.93180235397356,"CXCL3","P19876",0.03,0.8931,"INFLAMMATION",1,"2921"
"OID20745",-4.37524197786787,"CCL17","Q92583",0.04,0.9313,"INFLAMMATION",1,"6361"
"OID20439",1.80341072326322,"PREB","Q9HCU5",0.62,0.616,"INFLAMMATION",1,"10113"
"OID20422",-1.07175242664717,"IL20RA","Q9UHF4",0.97,0.8471,"INFLAMMATION",1,"53832"
"OID20701",3.41741498876754,"CRIM1","Q9NZV1",0.03,0.5647,"INFLAMMATION",1,"51232"
"OID20678",-2.7440037902055,"IFNGR1","P15260",0.04,-0.1003,"INFLAMMATION",1,"3459"
"OID20691",-1.84756608021203,"F2R","P25116",0.04,0.9893,"INFLAMMATION",1,"2149"
"OID20501",0.583363248626659,"FABP9","Q0Z7S8",0.14,0.2597,"INFLAMMATION",1,"646480"
"OID20679",5.26484804049015,"CTSC","P53634",0.1,1.9153,"INFLAMMATION",1,"1075"
"OID20675",0.901103514047631,"CXCL9","Q07325",0.03,0.4552,"INFLAMMATION",1,"4283"
"OID20572",-0.45656725831464,"EGLN1","Q9GZT9",0.04,0.5721,"INFLAMMATION",1,"54583"
"OID20680",-2.53936413345305,"CD276","Q5ZPR3",0.03,0.4166,"INFLAMMATION",1,"80381"
"OID20689",-0.994980816842698,"ENPP7","Q6UWV6",0.04,0.5992,"INFLAMMATION",1,"339221"
"OID20434",-0.302407682806421,"LTO1","Q8WV07",0.99,0.6273,"INFLAMMATION",1,"220064"
"OID20427",-1.65934948857332,"IL1B","P01584",0.85,1.3409,"INFLAMMATION",1,"3553"
"OID20435",0.730265332107694,"ACTN4","O43707",0.96,0.4573,"INFLAMMATION",1,"81"
"OID20693",-0.0383204994493813,"CCL23","P55773",0.03,0.6104,"INFLAMMATION",1,"6368"
"OID20717",0.850462670247331,"PTPN6","P29350",0.06,0.989,"INFLAMMATION",1,"5777"
"OID20502",1.11670540989948,"SRPK2","P78362",0.61,0.3345,"INFLAMMATION",1,"6733"
"OID20762",2.46131835128996,"CXCL1","P09341",0.04,0.3153,"INFLAMMATION",1,"2919"
"OID20787",-4.70268935544375,"TFF2","Q03403",0.03,1.9752,"INFLAMMATION",1,"7032"
"OID20749",2.92426127926352,"LHPP","Q9H008",0.03,0.4281,"INFLAMMATION",1,"64077"
"OID20730",-2.71600752656374,"SMOC2","Q9H3U7",0.04,0.5896,"INFLAMMATION",1,"64094"
"OID20760",1.08102467032933,"ATP5IF1","Q9UII2",0.04,0.2564,"INFLAMMATION",1,"93974"
