"Protein","logFC","AveExpr","t","P.Value","adj.P.Val","B","Regulation","Significant","Assay","UniProt","Panel","ENTREZID"
"OID20265",-0.795173547709118,2.92362036553525,-9.21393415330327,2.06614017603425e-18,8.68386562221454e-17,31.02248086286,"Down",TRUE,"TNFRSF10C","O14798","CARDIOMETABOLIC","8794"
"OID20638",1.05963895334173,6.12384934725849,9.18334374882524,2.61187809069861e-18,1.06639251188809e-16,30.7916997443298,"Up",TRUE,"LAMP3","Q9UQV4","INFLAMMATION","27074"
"OID21159",0.681796553173599,5.6621091383812,9.13822464640881,3.66995534330266e-18,1.45676838488319e-16,30.4566898383714,"Up",TRUE,"GRN","P28799","NEUROLOGY","2896"
"OID20180",0.664997540983604,3.97661723237598,9.00682127784,9.91767529504228e-18,3.83036702611227e-16,29.4779792229066,"Up",TRUE,"TINAGL1","Q9GZM7","CARDIOMETABOLIC","64129"
"OID21062",0.736214031105504,5.77180574412533,9.00177104234037,1.03040325738133e-17,3.87485856525768e-16,29.4403681213554,"Up",TRUE,"FOLR2","P14207","NEUROLOGY","2350"
"OID20157",-0.688376267339215,1.07769216710183,-8.89234806438759,2.34679628104477e-17,8.59890227080251e-16,28.630367502509,"Down",TRUE,"CDH6","P55285","CARDIOMETABOLIC","1004"
"OID20397",-0.756090508617062,4.07834778067885,-8.8629087059826,2.9185191254036e-17,1.04264095755044e-15,28.4157639866696,"Down",TRUE,"CD93","Q9NPY3","CARDIOMETABOLIC","22918"
"OID21084",0.972465947877256,5.12056292428198,8.76035428668958,6.25980222897109e-17,2.18177009395114e-15,27.665053856752,"Up",TRUE,"WARS","P23381","NEUROLOGY","7453"
"OID20239",-0.955242063892385,2.99622245430809,-8.75438977070456,6.54211181095245e-17,2.22587566139311e-15,27.6216595963023,"Down",TRUE,"MFAP5","Q13361","CARDIOMETABOLIC","8076"
"OID20985",-1.10418434216057,3.40285665796345,-8.74594731553072,6.96337545712112e-17,2.31410779726188e-15,27.5602709830691,"Down",TRUE,"TNFRSF9","Q07011","NEUROLOGY","3604"
