"ENTREZID","pathway_count","OlinkID","Assay","UniProt","t","Panel"
"3964",1,"OID21041","LGALS8","O00214",3.40616223043193,"NEUROLOGY"
"10673",1,"OID20272","TNFSF13B","Q9Y275",3.40465513196764,"CARDIOMETABOLIC"
"51667",1,"OID20510","NUB1","Q9Y5A7",2.97084569065027,"INFLAMMATION"
"581",1,"OID20856","BAX","Q07812",2.83839319035663,"NEUROLOGY"
"7078",1,"OID20684","TIMP3","P35625",2.67761741461474,"INFLAMMATION"
"1956",1,"OID20319","EGFR","P00533",2.53815953360978,"CARDIOMETABOLIC"
"11315",1,"OID21160","PARK7","Q99497",2.42864640394545,"NEUROLOGY"
"2332",1,"OID21233","FMR1","Q06787",2.2569043394958,"ONCOLOGY"
"9588",1,"OID21404","PRDX6","P30041",2.06462940899693,"ONCOLOGY"
"22933",1,"OID21375","SIRT2","Q8IXJ6",1.92875175428281,"ONCOLOGY"
"83547",1,"OID21436","RILP","Q96NA2",1.88804761372455,"ONCOLOGY"
"5887",1,"OID21166","RAD23B","P54727",1.87486843573258,"ONCOLOGY"
"9146",1,"OID21175","HGS","O14964",1.83072340233379,"ONCOLOGY"
