"ID","Description","NES","p.adjust","EntrezID","UniProt","Protein","t"
"GO:0009056","catabolic process",1.93056787467095,1.29117359079791e-06,"4025","P22079","OID20963",3.33018492137094
"GO:0009056","catabolic process",1.93056787467095,1.29117359079791e-06,"5052","Q06830","OID20962",3.3023690627499
"GO:0009056","catabolic process",1.93056787467095,1.29117359079791e-06,"3791","P35968","OID21497",3.17086706761658
"GO:0009056","catabolic process",1.93056787467095,1.29117359079791e-06,"7124","P01375","OID20848",3.13476110169608
"GO:0009056","catabolic process",1.93056787467095,1.29117359079791e-06,"30","P09110","OID21269",3.03118242194383
"GO:0009056","catabolic process",1.93056787467095,1.29117359079791e-06,"1208","P04118","OID21156",2.9345376200865
"GO:0009056","catabolic process",1.93056787467095,1.29117359079791e-06,"7078","P35625","OID20684",2.89288484370079
"GO:0009056","catabolic process",1.93056787467095,1.29117359079791e-06,"4048","P09960","OID21452",2.80967620327353
"GO:0009056","catabolic process",1.93056787467095,1.29117359079791e-06,"3290","P28845","OID20575",2.80505771712092
"GO:0009056","catabolic process",1.93056787467095,1.29117359079791e-06,"2938","P08263","OID20166",2.80354773136752
"GO:0009056","catabolic process",1.93056787467095,1.29117359079791e-06,"148811","Q6GTS8","OID20149",2.77399212010553
"GO:0009056","catabolic process",1.93056787467095,1.29117359079791e-06,"64080","Q9H477","OID20986",2.77349193520989
"GO:0009056","catabolic process",1.93056787467095,1.29117359079791e-06,"3569","P05231","OID20911",2.74901615322299
"GO:0009056","catabolic process",1.93056787467095,1.29117359079791e-06,"87178","Q8TCS8","OID20445",2.72830726113994
"GO:0009056","catabolic process",1.93056787467095,1.29117359079791e-06,"189","P21549","OID20139",2.693170185324
"GO:0009056","catabolic process",1.93056787467095,1.29117359079791e-06,"2053","P34913","OID20119",2.65008773268757
"GO:0009056","catabolic process",1.93056787467095,1.29117359079791e-06,"279","P04746","OID20333",2.63286405491563
"GO:0009056","catabolic process",1.93056787467095,1.29117359079791e-06,"8530","O76096","OID20704",2.47279963217593
"GO:0009056","catabolic process",1.93056787467095,1.29117359079791e-06,"2332","Q06787","OID21233",2.41676428477177
"GO:0009056","catabolic process",1.93056787467095,1.29117359079791e-06,"3949","P01130","OID20240",2.40143635456913
"GO:0009056","catabolic process",1.93056787467095,1.29117359079791e-06,"11164","Q9UKK9","OID21115",2.35169910343019
"GO:0009056","catabolic process",1.93056787467095,1.29117359079791e-06,"3315","P04792","OID20230",2.34441930507197
"GO:0009056","catabolic process",1.93056787467095,1.29117359079791e-06,"10296","Q7L5Y9","OID21206",2.33943929811468
"GO:0009056","catabolic process",1.93056787467095,1.29117359079791e-06,"1514","P07711","OID20228",2.32873158834691
"GO:0009056","catabolic process",1.93056787467095,1.29117359079791e-06,"841","Q14790","OID21414",2.31840737920585
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"50937","Q4KMG0","OID20754",-12.216602328919
