"Protein","Assay","UniProt","Pathway_Count","Mean_NES","Max_abs_t","Mean_t","logFC","adj.P.Val","Regulation","Significant","Pathways"
"OID20148","DCTPP1","Q9H773",8,2.07573033330509,5.4787498037154,5.4787498037154,0.544972559899115,5.53833551676286e-07,"Up",TRUE,"catabolic process | small molecule metabolic process | organophosphate metabolic process | carbohydrate derivative metabolic process | nucleoside phosphate metabolic process | nucleotide metabolic process | nucleobase-containing small molecule metabolic process | nucleobase-containing compound catabolic process"
"OID20999","ACVRL1","P37023",10,-1.788438584288,5.37010232052286,-5.37010232052286,-0.687155073560316,9.23601471495408e-07,"Down",TRUE,"cell adhesion | anatomical structure morphogenesis | system development | vasculature development | animal organ development | circulatory system development | angiogenesis | blood vessel morphogenesis | blood vessel development | anatomical structure formation involved in morphogenesis"
"OID20714","SHMT1","P34896",7,2.07512489454278,5.18275569062277,5.18275569062277,0.896143215636815,2.18752795979617e-06,"Up",TRUE,"catabolic process | small molecule metabolic process | organophosphate metabolic process | carbohydrate derivative metabolic process | nucleoside phosphate metabolic process | nucleotide metabolic process | nucleobase-containing small molecule metabolic process"
"OID20175","GHRL","Q9UBU3",9,-1.78119024359875,5.02436044788424,-5.02436044788424,-0.901902723833538,4.44580029571753e-06,"Down",TRUE,"anatomical structure morphogenesis | system development | vasculature development | animal organ development | circulatory system development | angiogenesis | blood vessel morphogenesis | blood vessel development | anatomical structure formation involved in morphogenesis"
"OID21227","NAMPT","P43490",5,2.12213110680134,5.02511441207671,5.02511441207671,0.57226595628415,4.44580029571753e-06,"Up",TRUE,"small molecule metabolic process | organophosphate metabolic process | nucleoside phosphate metabolic process | nucleotide metabolic process | nucleobase-containing small molecule metabolic process"
"OID20677","EPHA1","P21709",9,-1.78926750022654,4.9271278476225,-4.9271278476225,-0.543353266078181,6.77125774808196e-06,"Down",TRUE,"cell adhesion | anatomical structure morphogenesis | system development | vasculature development | circulatory system development | angiogenesis | blood vessel morphogenesis | blood vessel development | anatomical structure formation involved in morphogenesis"
"OID21498","NT5E","P21589",8,2.07573033330509,4.86352520974635,4.86352520974635,0.602105666246318,8.97540562421206e-06,"Up",TRUE,"catabolic process | small molecule metabolic process | organophosphate metabolic process | carbohydrate derivative metabolic process | nucleoside phosphate metabolic process | nucleotide metabolic process | nucleobase-containing small molecule metabolic process | nucleobase-containing compound catabolic process"
"OID21493","TGFBR2","P37173",10,-1.788438584288,4.75556822418844,-4.75556822418844,-0.556811778058005,1.40956852286738e-05,"Down",TRUE,"cell adhesion | anatomical structure morphogenesis | system development | vasculature development | animal organ development | circulatory system development | angiogenesis | blood vessel morphogenesis | blood vessel development | anatomical structure formation involved in morphogenesis"
"OID20669","KYNU","Q16719",6,2.09020390144627,4.6802559696959,4.6802559696959,0.585992530474986,1.89956469623864e-05,"Up",TRUE,"catabolic process | small molecule metabolic process | organophosphate metabolic process | nucleoside phosphate metabolic process | nucleotide metabolic process | nucleobase-containing small molecule metabolic process"
"OID20079","ACTA2","P62736",6,-1.78747783333146,4.58780577909265,-4.58780577909265,-0.511933661202183,2.80636382356186e-05,"Down",TRUE,"anatomical structure morphogenesis | system development | vasculature development | animal organ development | circulatory system development | blood vessel development"
"OID20568","NPPC","P23582",9,-1.78119024359875,4.37001974945235,-4.37001974945235,-0.625162021857919,6.6848207692537e-05,"Down",TRUE,"anatomical structure morphogenesis | system development | vasculature development | animal organ development | circulatory system development | angiogenesis | blood vessel morphogenesis | blood vessel development | anatomical structure formation involved in morphogenesis"
"OID21482","TNFRSF12A","Q9NP84",9,-1.78926750022654,4.23048852995828,-4.23048852995828,-0.57598473728457,0.00011420765508015,"Down",TRUE,"cell adhesion | anatomical structure morphogenesis | system development | vasculature development | circulatory system development | angiogenesis | blood vessel morphogenesis | blood vessel development | anatomical structure formation involved in morphogenesis"
"OID20718","HSPA1A","P0DMV8",10,2.04262299272422,3.960347639697,3.960347639697,0.509771340899535,0.000313793821221643,"Up",TRUE,"catabolic process | small molecule metabolic process | organophosphate metabolic process | carbohydrate derivative metabolic process | nucleoside phosphate metabolic process | protein catabolic process | nucleotide metabolic process | nucleobase-containing small molecule metabolic process | macromolecule catabolic process | nucleobase-containing compound catabolic process"
"OID20984","SFRP1","Q8N474",10,-1.788438584288,3.82955340118134,-3.82955340118134,-0.622401294661619,0.000499027801118557,"Down",TRUE,"cell adhesion | anatomical structure morphogenesis | system development | vasculature development | animal organ development | circulatory system development | angiogenesis | blood vessel morphogenesis | blood vessel development | anatomical structure formation involved in morphogenesis"
"OID21408","HSPB6","O14558",8,-1.78121673144346,3.82969186555791,-3.82969186555791,-0.68109824716267,0.000499027801118557,"Down",TRUE,"anatomical structure morphogenesis | system development | vasculature development | circulatory system development | angiogenesis | blood vessel morphogenesis | blood vessel development | anatomical structure formation involved in morphogenesis"
"OID21467","ADM","P35318",8,-1.78121673144346,3.69230303777457,-3.69230303777457,-0.55019566624632,0.000807594527785168,"Down",TRUE,"anatomical structure morphogenesis | system development | vasculature development | circulatory system development | angiogenesis | blood vessel morphogenesis | blood vessel development | anatomical structure formation involved in morphogenesis"
"OID21033","PRL","P01236",9,-1.78119024359875,3.40543671458326,-3.40543671458326,-0.517134762505253,0.00209496230910456,"Down",TRUE,"anatomical structure morphogenesis | system development | vasculature development | animal organ development | circulatory system development | angiogenesis | blood vessel morphogenesis | blood vessel development | anatomical structure formation involved in morphogenesis"
"OID20343","MCAM","P43121",9,-1.78926750022654,8.25769875245774,-8.25769875245774,-0.448563854560738,6.72488936967057e-14,"Down",FALSE,"cell adhesion | anatomical structure morphogenesis | system development | vasculature development | circulatory system development | angiogenesis | blood vessel morphogenesis | blood vessel development | anatomical structure formation involved in morphogenesis"
"OID21416","ITGAV","P06756",9,-1.78926750022654,7.59881747905576,-7.59881747905576,-0.439597562000838,4.67934510694482e-12,"Down",FALSE,"cell adhesion | anatomical structure morphogenesis | system development | vasculature development | circulatory system development | angiogenesis | blood vessel morphogenesis | blood vessel development | anatomical structure formation involved in morphogenesis"
"OID20376","ITGB1","P05556",10,-1.788438584288,7.58571385299735,-7.58571385299735,-0.371903451029843,5.03569402436351e-12,"Down",FALSE,"cell adhesion | anatomical structure morphogenesis | system development | vasculature development | animal organ development | circulatory system development | angiogenesis | blood vessel morphogenesis | blood vessel development | anatomical structure formation involved in morphogenesis"
"OID20390","NRP1","O14786",10,-1.788438584288,7.3640005146002,-7.3640005146002,-0.394013236654055,2.02435650147995e-11,"Down",FALSE,"cell adhesion | anatomical structure morphogenesis | system development | vasculature development | animal organ development | circulatory system development | angiogenesis | blood vessel morphogenesis | blood vessel development | anatomical structure formation involved in morphogenesis"
"OID20109","ADAM15","Q13444",10,-1.788438584288,7.06830909308609,-7.06830909308609,-0.45970680538041,1.17482423704472e-10,"Down",FALSE,"cell adhesion | anatomical structure morphogenesis | system development | vasculature development | animal organ development | circulatory system development | angiogenesis | blood vessel morphogenesis | blood vessel development | anatomical structure formation involved in morphogenesis"
"OID21007","ROBO2","Q9HCK4",8,-1.79113614307165,6.97622877331884,-6.97622877331884,-0.323411366120217,2.01791418689962e-10,"Down",FALSE,"cell adhesion | anatomical structure morphogenesis | system development | vasculature development | animal organ development | circulatory system development | blood vessel development | anatomical structure formation involved in morphogenesis"
"OID20243","CDH5","P33151",9,-1.78926750022654,6.95999694935435,-6.95999694935435,-0.361414573350145,2.21204814523096e-10,"Down",FALSE,"cell adhesion | anatomical structure morphogenesis | system development | vasculature development | circulatory system development | angiogenesis | blood vessel morphogenesis | blood vessel development | anatomical structure formation involved in morphogenesis"
"OID20330","FAP","Q12884",9,-1.78926750022654,6.67803683875475,-6.67803683875475,-0.330820592686002,1.08108999661111e-09,"Down",FALSE,"cell adhesion | anatomical structure morphogenesis | system development | vasculature development | circulatory system development | angiogenesis | blood vessel morphogenesis | blood vessel development | anatomical structure formation involved in morphogenesis"
"OID20307","CNTN1","Q12860",5,-1.79166168654528,6.12369443398093,-6.12369443398093,-0.302471076082386,2.07858359465122e-08,"Down",FALSE,"cell adhesion | anatomical structure morphogenesis | system development | animal organ development | anatomical structure formation involved in morphogenesis"
"OID21072","APOH","P02749",8,-1.78121673144346,6.02403833560993,-6.02403833560993,-0.19471713745271,3.48332309385325e-08,"Down",FALSE,"anatomical structure morphogenesis | system development | vasculature development | circulatory system development | angiogenesis | blood vessel morphogenesis | blood vessel development | anatomical structure formation involved in morphogenesis"
"OID21520","ERBB2","P04626",9,-1.78926750022654,5.86849340251866,-5.86849340251866,-0.337366481715005,7.8782877397299e-08,"Down",FALSE,"cell adhesion | anatomical structure morphogenesis | system development | vasculature development | circulatory system development | angiogenesis | blood vessel morphogenesis | blood vessel development | anatomical structure formation involved in morphogenesis"
"OID20268","PDGFRB","P09619",9,-1.78119024359875,5.49149870497418,-5.49149870497418,-0.321280849096257,5.22928875938391e-07,"Down",FALSE,"anatomical structure morphogenesis | system development | vasculature development | animal organ development | circulatory system development | angiogenesis | blood vessel morphogenesis | blood vessel development | anatomical structure formation involved in morphogenesis"
"OID20287","ENG","P17813",10,-1.788438584288,5.16300733039203,-5.16300733039203,-0.232175758722151,2.38274002231625e-06,"Down",FALSE,"cell adhesion | anatomical structure morphogenesis | system development | vasculature development | animal organ development | circulatory system development | angiogenesis | blood vessel morphogenesis | blood vessel development | anatomical structure formation involved in morphogenesis"
"OID20974","ADGRB3","O60242",8,-1.78121673144346,5.13222005662944,-5.13222005662944,-0.470242942412776,2.75545114707058e-06,"Down",FALSE,"anatomical structure morphogenesis | system development | vasculature development | circulatory system development | angiogenesis | blood vessel morphogenesis | blood vessel development | anatomical structure formation involved in morphogenesis"
"OID21258","PLXDC1","Q8IUK5",8,-1.78121673144346,5.06715187552943,-5.06715187552943,-0.274672475830179,3.69195707612553e-06,"Down",FALSE,"anatomical structure morphogenesis | system development | vasculature development | circulatory system development | angiogenesis | blood vessel morphogenesis | blood vessel development | anatomical structure formation involved in morphogenesis"
"OID20949","GLB1","P16278",5,1.94671941546381,5.04026253387245,5.04026253387245,0.238956174863387,4.16124191282802e-06,"Up",FALSE,"catabolic process | small molecule metabolic process | carbohydrate derivative metabolic process | protein catabolic process | macromolecule catabolic process"
"OID20208","COL4A1","P02462",9,-1.78119024359875,4.98379016084157,-4.98379016084157,-0.432372021857922,5.31011573789607e-06,"Down",FALSE,"anatomical structure morphogenesis | system development | vasculature development | animal organ development | circulatory system development | angiogenesis | blood vessel morphogenesis | blood vessel development | anatomical structure formation involved in morphogenesis"
"OID21507","FGFBP1","Q14512",8,-1.78121673144346,4.93667426953613,-4.93667426953613,-0.470762934005884,6.51670100902907e-06,"Down",FALSE,"anatomical structure morphogenesis | system development | vasculature development | circulatory system development | angiogenesis | blood vessel morphogenesis | blood vessel development | anatomical structure formation involved in morphogenesis"
"OID21113","DSG2","Q14126",10,-1.788438584288,4.89344350051089,-4.89344350051089,-0.327156099201344,7.86641920855177e-06,"Down",FALSE,"cell adhesion | anatomical structure morphogenesis | system development | vasculature development | animal organ development | circulatory system development | angiogenesis | blood vessel morphogenesis | blood vessel development | anatomical structure formation involved in morphogenesis"
"OID21090","CLEC14A","Q86T13",8,-1.78121673144346,4.86768472061645,-4.86768472061645,-0.427000079865487,8.83229304821349e-06,"Down",FALSE,"anatomical structure morphogenesis | system development | vasculature development | circulatory system development | angiogenesis | blood vessel morphogenesis | blood vessel development | anatomical structure formation involved in morphogenesis"
"OID20332","COL18A1","P39060",10,-1.788438584288,4.8383142897742,-4.8383142897742,-0.439996796973516,1.00041556486175e-05,"Down",FALSE,"cell adhesion | anatomical structure morphogenesis | system development | vasculature development | animal organ development | circulatory system development | angiogenesis | blood vessel morphogenesis | blood vessel development | anatomical structure formation involved in morphogenesis"
"OID21174","RRM2B","Q7LG56",6,2.09921773118808,4.81348215519544,4.81348215519544,0.429351588902897,1.10092021202319e-05,"Up",FALSE,"small molecule metabolic process | organophosphate metabolic process | carbohydrate derivative metabolic process | nucleoside phosphate metabolic process | nucleotide metabolic process | nucleobase-containing small molecule metabolic process"
"OID20624","TNFSF12","O43508",8,-1.78121673144346,4.71149046881674,-4.71149046881674,-0.28922573350147,1.68279871192755e-05,"Down",FALSE,"anatomical structure morphogenesis | system development | vasculature development | circulatory system development | angiogenesis | blood vessel morphogenesis | blood vessel development | anatomical structure formation involved in morphogenesis"
"OID20662","VEGFD","O43915",8,-1.78121673144346,4.63095742637358,-4.63095742637358,-0.436765821773853,2.34308982691698e-05,"Down",FALSE,"anatomical structure morphogenesis | system development | vasculature development | circulatory system development | angiogenesis | blood vessel morphogenesis | blood vessel development | anatomical structure formation involved in morphogenesis"
"OID20236","IGFBP7","Q16270",9,-1.78926750022654,4.60472155556648,-4.60472155556648,-0.4023779445145,2.63269575073172e-05,"Down",FALSE,"cell adhesion | anatomical structure morphogenesis | system development | vasculature development | circulatory system development | angiogenesis | blood vessel morphogenesis | blood vessel development | anatomical structure formation involved in morphogenesis"
"OID20370","KIT","P10721",6,-1.80110394034435,4.57472325313938,-4.57472325313938,-0.271598373266078,2.95804437652293e-05,"Down",FALSE,"cell adhesion | anatomical structure morphogenesis | system development | vasculature development | animal organ development | circulatory system development"
"OID20730","SMOC2","Q9H3U7",8,-1.78121673144346,4.51723671813497,-4.51723671813497,-0.455608108448926,3.73740177867573e-05,"Down",FALSE,"anatomical structure morphogenesis | system development | vasculature development | circulatory system development | angiogenesis | blood vessel morphogenesis | blood vessel development | anatomical structure formation involved in morphogenesis"
