"Protein","Assay","UniProt","Pathway_Count","Mean_NES","Max_abs_t","Mean_t","logFC","adj.P.Val","Regulation","Significant","Pathways","Direction"
"OID21408","HSPB6","O14558",8,-1.78121673144346,3.82969186555791,-3.82969186555791,-0.68109824716267,0.000499027801118557,"Down",TRUE,"anatomical structure morphogenesis | system development | vasculature development | circulatory system development | angiogenesis | blood vessel morphogenesis | blood vessel development | anatomical structure formation involved in morphogenesis","Down"
"OID21467","ADM","P35318",8,-1.78121673144346,3.69230303777457,-3.69230303777457,-0.55019566624632,0.000807594527785168,"Down",TRUE,"anatomical structure morphogenesis | system development | vasculature development | circulatory system development | angiogenesis | blood vessel morphogenesis | blood vessel development | anatomical structure formation involved in morphogenesis","Down"
"OID21033","PRL","P01236",9,-1.78119024359875,3.40543671458326,-3.40543671458326,-0.517134762505253,0.00209496230910456,"Down",TRUE,"anatomical structure morphogenesis | system development | vasculature development | animal organ development | circulatory system development | angiogenesis | blood vessel morphogenesis | blood vessel development | anatomical structure formation involved in morphogenesis","Down"
"OID20178","NADK","O95544",6,2.09921773118808,14.1292015697534,14.1292015697534,2.05326390500209,3.9015371720285e-34,"Up",TRUE,"small molecule metabolic process | organophosphate metabolic process | carbohydrate derivative metabolic process | nucleoside phosphate metabolic process | nucleotide metabolic process | nucleobase-containing small molecule metabolic process","Up"
"OID20234","TYMP","P19971",8,2.07573033330509,12.1032527972381,12.1032527972381,1.50991485498108,1.34447344287478e-26,"Up",TRUE,"catabolic process | small molecule metabolic process | organophosphate metabolic process | carbohydrate derivative metabolic process | nucleoside phosphate metabolic process | nucleotide metabolic process | nucleobase-containing small molecule metabolic process | nucleobase-containing compound catabolic process","Up"
"OID21187","RRM2","P31350",6,2.09921773118808,9.8862632397509,9.8862632397509,1.33390882723833,5.76680497952062e-19,"Up",TRUE,"small molecule metabolic process | organophosphate metabolic process | carbohydrate derivative metabolic process | nucleoside phosphate metabolic process | nucleotide metabolic process | nucleobase-containing small molecule metabolic process","Up"
"OID20104","ENTPD5","O75356",8,2.07573033330509,9.58099759560054,9.58099759560054,0.687150277427488,5.75464879215907e-18,"Up",TRUE,"catabolic process | small molecule metabolic process | organophosphate metabolic process | carbohydrate derivative metabolic process | nucleoside phosphate metabolic process | nucleotide metabolic process | nucleobase-containing small molecule metabolic process | nucleobase-containing compound catabolic process","Up"
"OID20495","IFNG","P01579",10,2.04262299272422,8.06056826450646,8.06056826450646,2.11557223346828,2.39527973827244e-13,"Up",TRUE,"catabolic process | small molecule metabolic process | organophosphate metabolic process | carbohydrate derivative metabolic process | nucleoside phosphate metabolic process | protein catabolic process | nucleotide metabolic process | nucleobase-containing small molecule metabolic process | macromolecule catabolic process | nucleobase-containing compound catabolic process","Up"
"OID20227","FBP1","P09467",8,2.07573033330509,7.14073376601889,7.14073376601889,1.12579089533417,7.7451252852176e-11,"Up",TRUE,"catabolic process | small molecule metabolic process | organophosphate metabolic process | carbohydrate derivative metabolic process | nucleoside phosphate metabolic process | nucleotide metabolic process | nucleobase-containing small molecule metabolic process | nucleobase-containing compound catabolic process","Up"
"OID20676","SMPDL3A","Q92484",6,2.07745984983606,5.68323688523939,5.68323688523939,0.509366364018491,2.03948280823225e-07,"Up",TRUE,"catabolic process | small molecule metabolic process | organophosphate metabolic process | nucleoside phosphate metabolic process | nucleobase-containing small molecule metabolic process | nucleobase-containing compound catabolic process","Up"
"OID20148","DCTPP1","Q9H773",8,2.07573033330509,5.4787498037154,5.4787498037154,0.544972559899115,5.53833551676286e-07,"Up",TRUE,"catabolic process | small molecule metabolic process | organophosphate metabolic process | carbohydrate derivative metabolic process | nucleoside phosphate metabolic process | nucleotide metabolic process | nucleobase-containing small molecule metabolic process | nucleobase-containing compound catabolic process","Up"
"OID20714","SHMT1","P34896",7,2.07512489454278,5.18275569062277,5.18275569062277,0.896143215636815,2.18752795979617e-06,"Up",TRUE,"catabolic process | small molecule metabolic process | organophosphate metabolic process | carbohydrate derivative metabolic process | nucleoside phosphate metabolic process | nucleotide metabolic process | nucleobase-containing small molecule metabolic process","Up"
"OID21227","NAMPT","P43490",5,2.12213110680134,5.02511441207671,5.02511441207671,0.57226595628415,4.44580029571753e-06,"Up",TRUE,"small molecule metabolic process | organophosphate metabolic process | nucleoside phosphate metabolic process | nucleotide metabolic process | nucleobase-containing small molecule metabolic process","Up"
"OID21498","NT5E","P21589",8,2.07573033330509,4.86352520974635,4.86352520974635,0.602105666246318,8.97540562421206e-06,"Up",TRUE,"catabolic process | small molecule metabolic process | organophosphate metabolic process | carbohydrate derivative metabolic process | nucleoside phosphate metabolic process | nucleotide metabolic process | nucleobase-containing small molecule metabolic process | nucleobase-containing compound catabolic process","Up"
"OID20669","KYNU","Q16719",6,2.09020390144627,4.6802559696959,4.6802559696959,0.585992530474986,1.89956469623864e-05,"Up",TRUE,"catabolic process | small molecule metabolic process | organophosphate metabolic process | nucleoside phosphate metabolic process | nucleotide metabolic process | nucleobase-containing small molecule metabolic process","Up"
"OID20718","HSPA1A","P0DMV8",10,2.04262299272422,3.960347639697,3.960347639697,0.509771340899535,0.000313793821221643,"Up",TRUE,"catabolic process | small molecule metabolic process | organophosphate metabolic process | carbohydrate derivative metabolic process | nucleoside phosphate metabolic process | protein catabolic process | nucleotide metabolic process | nucleobase-containing small molecule metabolic process | macromolecule catabolic process | nucleobase-containing compound catabolic process","Up"
