"OlinkID","logFC","AveExpr","t","P.Value","adj.P.Val","B","Assay","UniProt","MissingFreq","LOD","Panel","Panel_Version"
"OID20781",0.930400105086169,8.38766657963446,10.0417288780604,3.17627736307689e-21,1.81556014073475e-19,37.4064604788009,"LGALS9","O00182",0.03,1.9223,"INFLAMMATION",1
"OID21048",-0.84841227406473,1.63635091383812,-9.98914495476634,4.84242007805098e-21,2.66146857366725e-19,36.9905347778356,"SCARF2","Q96GP6",0.06,0.5987,"NEUROLOGY",1
"OID21187",1.33390882723833,2.01743577023499,9.88071121571816,1.15077881253722e-20,6.09060341894702e-19,36.1369002505034,"RRM2","P31350",0.09,0.4993,"ONCOLOGY",1
"OID21079",-0.920265208070615,2.49372480417755,-9.86940701195419,1.25906136073699e-20,6.42570958747558e-19,36.0482256543013,"DSC2","Q02487",0.04,1.1745,"NEUROLOGY",1
"OID21514",0.757996914670027,3.75887806788512,9.74288481930959,3.43085239114817e-20,1.69058209205198e-18,35.0598675795421,"FURIN","P09958",0.03,0.5472,"ONCOLOGY",1
"OID20104",0.687150277427488,2.91932767624021,9.60708706211397,9.971220218051e-20,4.74962456386496e-18,34.0081897084528,"ENTPD5","O75356",0.04,0.324,"CARDIOMETABOLIC",1
"OID21107",-0.581672189995794,1.87618590078329,-9.5715853412393,1.31433759901082e-19,6.05867235156921e-18,33.7359181727791,"TNXB","P22105",0.03,-0.1887,"NEUROLOGY",1
"OID20664",-1.02383754518705,5.1858365535248,-9.41140876764208,4.57338880718287e-19,2.0423039392076e-17,32.5072900027644,"CLSTN2","Q9H4D0",0.03,0.6048,"INFLAMMATION",1
"OID20362",0.681900214375788,4.35890835509138,9.39687376219526,5.11533649605929e-19,2.21509571299052e-17,32.3969462029164,"NID1","P14543",0.03,-0.0731,"CARDIOMETABOLIC",1
"OID20265",-0.795173547709119,2.92362036553525,-9.22656704262323,1.89351304035057e-18,7.95832392547344e-17,31.1077834669013,"TNFRSF10C","O14798",0.03,0.1021,"CARDIOMETABOLIC",1
"OID20638",1.05963895334174,6.12384934725849,9.19210676365484,2.46304261208392e-18,1.00562511219084e-16,30.8488143064206,"LAMP3","Q9UQV4",0.03,0.8599,"INFLAMMATION",1
"OID21159",0.681796553173601,5.6621091383812,9.17523397545694,2.8001472625018e-18,1.11150289947641e-16,30.7224864023117,"GRN","P28799",0.04,4.1766,"NEUROLOGY",1
"OID20180",0.664997540983605,3.97661723237598,9.03792781421928,7.92586714979007e-18,3.06109842082433e-16,29.6980607771335,"TINAGL1","Q9GZM7",0.03,0.6614,"CARDIOMETABOLIC",1
"OID21062",0.736214031105506,5.77180574412533,9.02988061849458,8.42428080436021e-18,3.16797296563967e-16,29.6380350721234,"FOLR2","P14207",0.03,1.3377,"NEUROLOGY",1
"OID20397",-0.756090508617062,4.07834778067885,-8.88222241405092,2.54940351123236e-17,9.34127594243856e-16,28.5481531783609,"CD93","Q9NPY3",0.03,-0.4122,"CARDIOMETABOLIC",1
"OID20157",-0.688376267339215,1.07769216710183,-8.87840773685845,2.62298611401924e-17,9.37061789233373e-16,28.5201525162265,"CDH6","P55285",0.56,1.0582,"CARDIOMETABOLIC",1
"OID21084",0.972465947877259,5.12056292428198,8.76856730587543,5.93147421283853e-17,2.06733576832836e-15,27.7173054206448,"WARS","P23381",0.03,1.1191,"NEUROLOGY",1
"OID20239",-0.955242063892389,2.99622245430809,-8.75835411001708,6.39688811605321e-17,2.17646502805715e-15,27.6429916431356,"MFAP5","Q13361",0.04,0.1385,"CARDIOMETABOLIC",1
"OID20985",-1.10418434216057,3.40285665796345,-8.74751390772619,6.93045896365537e-17,2.30316880443338e-15,27.5641786390028,"TNFRSF9","Q07011",0.03,1.4449,"NEUROLOGY",1
"OID20946",-0.563846910466581,1.8845681462141,-8.70641802157525,9.37423462675819e-17,3.04449574582669e-15,27.2670241821995,"FLRT2","O43155",0.04,0.7555,"NEUROLOGY",1
"OID20126",-0.723633972257247,0.840514882506527,-8.61683057717627,1.81140600684533e-16,5.75222040840439e-15,26.6191962530206,"CLC","Q05315",0.29,0.5631,"CARDIOMETABOLIC",1
"OID20334",-1.22173729298024,5.08809399477807,-8.54802136235189,2.99275385685425e-16,9.29705491618418e-15,26.1254834179796,"CCL16","O15467",0.03,0.1608,"CARDIOMETABOLIC",1
"OID20994",-0.75984587641866,1.67551618798956,-8.51926043197303,3.68871140738073e-16,1.12152523428661e-14,25.9199164362114,"BMP4","P12644",0.04,0.0436,"NEUROLOGY",1
"OID20746",-0.615723312316096,4.91078485639687,-8.40372866359934,8.50145092517042e-16,2.53095278584761e-14,25.0991552051492,"MEGF10","Q96KG7",0.03,0.5996,"INFLAMMATION",1
"OID20653",-0.910545140815465,4.76473968668407,-8.29295797295993,1.88053188669868e-15,5.48424503284165e-14,24.3190281121017,"TNFRSF4","P43489",0.03,0.7246,"INFLAMMATION",1
"OID20772",-1.41032061790668,5.01057180156658,-8.2586488014926,2.40115267048206e-15,6.86249433223772e-14,24.0789239748905,"CCL24","O00175",0.03,0.1168,"INFLAMMATION",1
"OID20173",-0.587470840689363,3.41194125326371,-8.23985940111909,2.74320160039569e-15,7.68634330777539e-14,23.9480796173054,"GPNMB","Q14956",0.16,2.7923,"CARDIOMETABOLIC",1
"OID20343",-0.448563854560739,0.693620626631854,-8.22693326847465,3.0032584537301e-15,8.25318525073138e-14,23.8590584313849,"MCAM","P43121",0.05,-0.1547,"CARDIOMETABOLIC",1
"OID20255",-0.717537179487178,3.74623028720627,-8.20564430566749,3.49794766908586e-15,9.43125890400698e-14,23.7093504544382,"TGFBR3","Q03167",0.03,-0.5521,"CARDIOMETABOLIC",1
"OID21458",-0.725889289617483,4.42380861618799,-8.17521623980063,4.33801863918454e-15,1.14796826581383e-13,23.4979435199776,"NCS1","P62166",0.04,0.7201,"ONCOLOGY",1
"OID20652",0.687761849516603,6.50119033942559,8.11194589701712,6.77503221360535e-15,1.76027655149855e-13,23.0601244785057,"IL18R1","Q13478",0.03,0.5333,"INFLAMMATION",1
"OID20145",-0.622223270281628,1.79166762402089,-8.06738290123185,9.2612440581669e-15,2.36327102841438e-13,22.7531983173329,"ICAM5","Q9UMF0",0.07,0.8441,"CARDIOMETABOLIC",1
"OID20384",-0.77912518705338,4.50405039164491,-8.05335556042066,1.02163821790065e-14,2.52576560000072e-13,22.656833256739,"PCOLCE","Q15113",0.03,0.4392,"CARDIOMETABOLIC",1
"OID20495",2.11557223346828,2.96134162303665,8.05371909914107,1.02515328761401e-14,2.52576560000072e-13,22.6539443827811,"IFNG","P01579",0.24,0.9761,"INFLAMMATION",1
"OID21117",-0.404461029844471,0.530564751958225,-8.04198237903822,1.10457466584225e-14,2.67531728387895e-13,22.5801420381722,"CNTN4","Q8IWV2",0.04,-0.5217,"NEUROLOGY",1
"OID21315",0.818912412778477,3.37169164490862,8.02036063467388,1.28636976422898e-14,3.06370398847202e-13,22.4306341618425,"LAG3","P18627",0.03,0.7778,"ONCOLOGY",1
"OID21028",0.626326351408153,2.43186266318538,8.00743559893833,1.40763122825578e-14,3.24498088131441e-13,22.3422057037711,"SMPD1","P17405",0.04,0.0236,"NEUROLOGY",1
"OID20690",0.744379659520805,4.36732506527415,8.00740825901088,1.40789933269065e-14,3.24498088131441e-13,22.3420187614266,"SIGLEC1","Q9BZZ2",0.03,0.7504,"INFLAMMATION",1
"OID20211",0.662627406473306,2.13363107049608,7.97044050746543,1.8206685111211e-14,4.12973857522548e-13,22.0896607300028,"ANGPTL1","O95841",0.27,1.3901,"CARDIOMETABOLIC",1
"OID21439",-1.1476784741488,5.62953315926893,-7.96423014242686,1.9008776632692e-14,4.24430340751827e-13,22.0473478767788,"MMP12","P39900",0.03,0.4132,"ONCOLOGY",1
"OID20302",0.642549684741487,5.66979869451697,7.87288336166551,3.57426983861154e-14,7.85789476827061e-13,21.4277119867389,"ST6GAL1","P15907",0.03,0.2517,"CARDIOMETABOLIC",1
"OID21517",-0.767435245901637,1.81500704960836,-7.7832440036873,6.60939183459921e-14,1.43103347449125e-12,20.8246726951591,"KLK8","O60259",0.04,0.3051,"ONCOLOGY",1
"OID20759",-0.823711202185789,3.87662532637076,-7.77452802012604,7.01466424705763e-14,1.49611271776796e-12,20.7663038309074,"SPON1","Q9HCB6",0.04,0.3996,"INFLAMMATION",1
"OID20306",-0.448390878520385,2.51882375979112,-7.75620786401896,7.93962237783704e-14,1.66848829087193e-12,20.6447733820923,"PTPRS","Q13332",0.03,-0.534,"CARDIOMETABOLIC",1
"OID20368",-0.89150632618747,3.35617806788512,-7.65250892559901,1.60582280696302e-13,3.32568230601471e-12,19.9541828918879,"THBS4","P35443",0.03,-0.1464,"CARDIOMETABOLIC",1
"OID20376",-0.371903451029843,2.23571488250653,-7.62318898346066,1.95439901628744e-13,3.98976599182108e-12,19.7615517132645,"ITGB1","P05556",0.03,-0.0493,"CARDIOMETABOLIC",1
"OID21416",-0.439597562000839,1.15414934725849,-7.5857596726565,2.51383515463263e-13,5.0595358253099e-12,19.5148313711091,"ITGAV","P06756",0.09,0.2521,"ONCOLOGY",1
"OID21054",-0.536460874316939,3.00352558746736,-7.5566564773651,3.05717055063609e-13,6.0676343289708e-12,19.3230964880162,"CPM","P14384",0.05,1.7123,"NEUROLOGY",1
"OID20933",-0.584145649432533,2.4351725848564,-7.52101614874649,3.87987593440845e-13,7.59499001406805e-12,19.0895895395496,"GFRA3","O60609",0.03,0.9022,"NEUROLOGY",1
"OID20299",-1.11322515762925,2.84009295039164,-7.51387910085323,4.06890645775237e-13,7.85738828125425e-12,19.0429791684283,"CCN3","P48745",0.03,0.7146,"CARDIOMETABOLIC",1
"OID21298",-0.594932955023118,1.42549242819843,-7.50082852729872,4.43832981935485e-13,8.4564977491441e-12,18.9578339338873,"CD207","Q9UJ71",0.23,0.9224,"ONCOLOGY",1
"OID20916",-1.46401436738125,2.07014255874674,-7.38704383453862,9.42528562335141e-13,1.77220173102226e-11,18.220152477381,"PSG1","P11464",0.12,0.3474,"NEUROLOGY",1
"OID20390",-0.394013236654054,1.87983864229765,-7.37881614500741,9.93905909607134e-13,1.84453447380337e-11,18.1681216370607,"NRP1","O14786",0.04,0.4653,"CARDIOMETABOLIC",1
"OID20355",0.753307129045815,4.81667415143603,7.34629448784951,1.23184628113342e-12,2.25680555864058e-11,17.9580234429505,"LBP","P18428",0.04,1.8361,"CARDIOMETABOLIC",1
"OID20345",-0.352395859604875,1.98468041775457,-7.3239467880493,1.42452961159854e-12,2.57677571515735e-11,17.8156862802282,"VASN","Q6EMK4",0.03,0.0602,"CARDIOMETABOLIC",1
"OID20787",-1.25127873055905,5.11179190600522,-7.28250180909166,1.86909909485382e-12,3.33867825818263e-11,17.5498568839437,"TFF2","Q03403",0.03,1.9752,"INFLAMMATION",1
"OID20383",-0.951518163093733,3.73900078328982,-7.27626822569693,1.94654833759014e-12,3.43409577088434e-11,17.5101165485668,"HSPG2","P98160",0.03,0.8114,"CARDIOMETABOLIC",1
"OID20275",-0.750023883984865,0.338053263707572,-7.25964452775897,2.16887752031712e-12,3.76271301760994e-11,17.4042630761852,"MSMB","P08118",0.59,0.297,"CARDIOMETABOLIC",1
"OID21284",-0.902418217738542,1.84048459530026,-7.25847131935451,2.18548061904566e-12,3.76271301760994e-11,17.3967994502085,"SERPINA9","Q86WD7",0.07,0.4038,"ONCOLOGY",1
"OID20883",0.937879676334593,1.49966135770235,7.20050503461523,3.18200090072033e-12,5.41318962753494e-11,17.0291742264372,"BRK1","Q8WUW1",0.95,3.455,"NEUROLOGY",1
"OID20550",-0.520842992854139,0.511870496083551,-7.17456265428489,3.76141475921103e-12,6.3236019893089e-11,16.8654979955961,"COL9A1","P20849",0.57,0.4514,"INFLAMMATION",1
"OID20227",1.12579089533417,2.1081637075718,7.13605018346665,4.81945800843646e-12,8.00814592332058e-11,16.6230345554522,"FBP1","P09467",0.5,1.9971,"CARDIOMETABOLIC",1
"OID20953",0.637268213535099,3.32242872062663,7.11107318829889,5.65649604638093e-12,9.27056263376692e-11,16.4664011320976,"TNFSF14","O43557",0.03,0.3458,"NEUROLOGY",1
"OID21393",-0.636134754098359,1.17781749347258,-7.1096314779625,5.70895389623156e-12,9.27056263376692e-11,16.4573728485801,"ITGB7","P26010",0.04,-0.6443,"ONCOLOGY",1
"OID20125",-1.91150527112231,2.00666762402089,-7.10724128291525,5.79697970716656e-12,9.30773483319214e-11,16.442408050931,"NTproBNP","NTproBNP",0.51,1.4709,"CARDIOMETABOLIC",1
"OID20109",-0.45970680538041,3.51774699738903,-7.09976682885631,6.0777239905835e-12,9.65007509171536e-11,16.3961255681863,"ADAM15","Q13444",0.03,1.4963,"CARDIOMETABOLIC",1
"OID20705",0.371762185792349,4.82431749347259,7.04753482427122,8.47766343248801e-12,1.33127264231048e-10,16.0706723702214,"ERBB3","P21860",0.03,0.3369,"INFLAMMATION",1
"OID21112",0.760933909205547,4.02330026109661,7.0299270789884,9.49002765210793e-12,1.47404886031111e-10,15.9604359311492,"CLEC11A","Q9Y240",0.03,0.511,"NEUROLOGY",1
