"Protein","logFC_Unadjusted","adj.P.Val_Unadjusted","Regulation_Unadjusted","Significant_Unadjusted","logFC_Adjusted","adj.P.Val_Adjusted","Regulation_Adjusted","Significant_Adjusted","Status","Direction_Consistent","Direction_Change","logFC_Change"
"OID20636",-0.529455039932741,0.000535565308539139,"Down",TRUE,-0.264058727795444,0.102572972418703,"NS",FALSE,"Lost_After_Adjustment",FALSE,FALSE,0.265396312137297
"OID20642",-0.630505510718787,1.17738742660203e-05,"Down",TRUE,-0.470402989612932,0.00336331733564411,"NS",FALSE,"Lost_After_Adjustment",FALSE,FALSE,0.160102521105855
"OID20646",-0.588133627574609,0.00040693257561384,"Down",TRUE,-0.249931273291988,0.145621385097837,"NS",FALSE,"Lost_After_Adjustment",FALSE,FALSE,0.338202354282621
"OID20651",-0.566942660781838,7.14862450749602e-09,"Down",TRUE,-0.433087203375455,1.87277435118736e-05,"NS",FALSE,"Lost_After_Adjustment",FALSE,FALSE,0.133855457406383
"OID20676",0.509366364018491,2.03948280823225e-07,"Up",TRUE,0.459324063724429,5.12489642080957e-05,"NS",FALSE,"Lost_After_Adjustment",FALSE,FALSE,-0.0500423002940627
"OID20677",-0.543353266078181,6.77125774808196e-06,"Down",TRUE,-0.342168078270864,0.00825392736934418,"NS",FALSE,"Lost_After_Adjustment",FALSE,FALSE,0.201185187807317
"OID20688",-0.753313274485073,4.31722938537191e-05,"Down",TRUE,-0.462300933638472,0.0102393781155349,"NS",FALSE,"Lost_After_Adjustment",FALSE,FALSE,0.2910123408466
"OID20696",-0.503603858764183,1.36893868129777e-09,"Down",TRUE,-0.32193547375348,8.93888984950164e-05,"NS",FALSE,"Lost_After_Adjustment",FALSE,FALSE,0.181668385010703
"OID20737",-0.500108373266075,0.00462401738382417,"Down",TRUE,-0.121257703601237,0.555865519268069,"NS",FALSE,"Lost_After_Adjustment",FALSE,FALSE,0.378850669664838
"OID20738",-0.719941357713322,2.30778195074228e-06,"Down",TRUE,-0.352687398834179,0.0137842586182404,"NS",FALSE,"Lost_After_Adjustment",FALSE,FALSE,0.367253958879143
"OID20748",-0.729831500630513,8.01381137379211e-06,"Down",TRUE,-0.356947306266022,0.0420435383934314,"NS",FALSE,"Lost_After_Adjustment",FALSE,FALSE,0.372884194364491
"OID20778",-0.906599319041611,0.00176445357785965,"Down",TRUE,-0.274270954590798,0.459272220695204,"NS",FALSE,"Lost_After_Adjustment",FALSE,FALSE,0.632328364450813
"OID20784",-0.860354821353506,1.12052258419101e-07,"Down",TRUE,-0.365105609310601,0.0253047168060621,"NS",FALSE,"Lost_After_Adjustment",FALSE,FALSE,0.495249212042905
"OID20807",-0.533581269440939,4.4135906940453e-07,"Down",TRUE,-0.356001932663078,0.00162340370455748,"NS",FALSE,"Lost_After_Adjustment",FALSE,FALSE,0.177579336777861
"OID20912",-0.7950062211013,1.79464991647243e-08,"Down",TRUE,-0.460257106365299,0.00090354063382549,"NS",FALSE,"Lost_After_Adjustment",FALSE,FALSE,0.334749114736001
"OID20933",-0.584145649432532,8.02352732546175e-12,"Down",TRUE,-0.428631051532537,9.75805846669004e-07,"NS",FALSE,"Lost_After_Adjustment",FALSE,FALSE,0.155514597899995
"OID20946",-0.56384691046658,3.21663459566631e-15,"Down",TRUE,-0.465989808456059,5.46448904598238e-10,"NS",FALSE,"Lost_After_Adjustment",FALSE,FALSE,0.0978571020105203
"OID20970",-0.813580071458592,3.34321702775421e-07,"Down",TRUE,-0.469285743054084,0.00155929471864483,"NS",FALSE,"Lost_After_Adjustment",FALSE,FALSE,0.344294328404508
"OID20971",-0.502516153846153,0.0128676832597536,"Down",TRUE,-0.100319685222965,0.695413965572181,"NS",FALSE,"Lost_After_Adjustment",FALSE,FALSE,0.402196468623188
"OID20984",-0.622401294661619,0.000499027801118557,"Down",TRUE,-0.439092398551115,0.028374995887128,"NS",FALSE,"Lost_After_Adjustment",FALSE,FALSE,0.183308896110504
"OID20987",0.588339323245057,0.000698466161517545,"Up",TRUE,0.401255084596088,0.0459325922130835,"NS",FALSE,"Lost_After_Adjustment",FALSE,FALSE,-0.18708423864897
"OID20995",-0.507283522488437,0.00102533374913199,"Down",TRUE,-0.230672240765474,0.17232761986228,"NS",FALSE,"Lost_After_Adjustment",FALSE,FALSE,0.276611281722963
"OID20999",-0.687155073560316,9.23601471495408e-07,"Down",TRUE,-0.361680501578399,0.00846855407838087,"NS",FALSE,"Lost_After_Adjustment",FALSE,FALSE,0.325474571981917
"OID21001",-0.717337696511135,2.48347685676631e-09,"Down",TRUE,-0.490853061588519,2.98122268690976e-05,"NS",FALSE,"Lost_After_Adjustment",FALSE,FALSE,0.226484634922617
"OID21008",-0.635489264396802,2.23702834589586e-08,"Down",TRUE,-0.424561121159322,0.000146766832351369,"NS",FALSE,"Lost_After_Adjustment",FALSE,FALSE,0.21092814323748
"OID21032",-0.531133089533415,4.40796611640751e-08,"Down",TRUE,-0.446987950088768,4.46402921601374e-05,"NS",FALSE,"Lost_After_Adjustment",FALSE,FALSE,0.0841451394446475
"OID21033",-0.517134762505253,0.00209496230910456,"Down",TRUE,-0.478330013994075,0.014803114589545,"NS",FALSE,"Lost_After_Adjustment",FALSE,FALSE,0.0388047485111784
"OID21038",-0.781876654056322,1.81707669610682e-06,"Down",TRUE,-0.363939742764654,0.0284724182591651,"NS",FALSE,"Lost_After_Adjustment",FALSE,FALSE,0.417936911291668
"OID21052",-0.611835418242956,1.90207540041627e-10,"Down",TRUE,-0.443932184179995,4.23475569852483e-06,"NS",FALSE,"Lost_After_Adjustment",FALSE,FALSE,0.167903234062961
"OID21058",-0.522753736864227,4.46767212391269e-05,"Down",TRUE,-0.280024623499995,0.032340090376802,"NS",FALSE,"Lost_After_Adjustment",FALSE,FALSE,0.242729113364232
"OID21094",-0.828694716267335,5.440727540531e-08,"Down",TRUE,-0.482235498331484,0.00050172138109163,"NS",FALSE,"Lost_After_Adjustment",FALSE,FALSE,0.346459217935851
"OID21101",-0.806111084489278,1.18929784119909e-06,"Down",TRUE,-0.434020064505203,0.00597939862291102,"NS",FALSE,"Lost_After_Adjustment",FALSE,FALSE,0.372091019984075
"OID21110",-0.616847356031943,2.37911275353251e-07,"Down",TRUE,-0.37761275722307,0.00116745656135421,"NS",FALSE,"Lost_After_Adjustment",FALSE,FALSE,0.239234598808873
"OID21130",-0.61044934846574,2.75104317548505e-10,"Down",TRUE,-0.399608264245961,2.06266989714871e-05,"NS",FALSE,"Lost_After_Adjustment",FALSE,FALSE,0.210841084219778
"OID21133",-0.547304863387975,1.69915107440263e-05,"Down",TRUE,-0.485535479784931,0.000342464122448213,"NS",FALSE,"Lost_After_Adjustment",FALSE,FALSE,0.0617693836030447
"OID21142",-0.52140684321143,7.43287163538591e-05,"Down",TRUE,-0.220897964917259,0.087662659119296,"NS",FALSE,"Lost_After_Adjustment",FALSE,FALSE,0.300508878294171
"OID21158",-0.743722168978557,0.000157468710939887,"Down",TRUE,-0.276060919643147,0.157921507315661,"NS",FALSE,"Lost_After_Adjustment",FALSE,FALSE,0.46766124933541
"OID21257",0.529962269861284,0.000700384363532751,"Up",TRUE,0.359633649890122,0.0455343513364286,"NS",FALSE,"Lost_After_Adjustment",FALSE,FALSE,-0.170328619971162
"OID21269",0.52161287095418,0.00679388806618501,"Up",TRUE,0.496892023055255,0.0295547111933165,"NS",FALSE,"Lost_After_Adjustment",FALSE,FALSE,-0.0247208478989254
"OID21321",-0.624139894913826,7.16647873798069e-07,"Down",TRUE,-0.364265572635399,0.00376823142483089,"NS",FALSE,"Lost_After_Adjustment",FALSE,FALSE,0.259874322278427
"OID21349",-0.531352648171497,4.10261784012914e-09,"Down",TRUE,-0.355385605218063,3.00667262163663e-05,"NS",FALSE,"Lost_After_Adjustment",FALSE,FALSE,0.175967042953434
"OID21365",-0.637977604035305,0.000421977317917801,"Down",TRUE,-0.216667890247895,0.326037059664402,"NS",FALSE,"Lost_After_Adjustment",FALSE,FALSE,0.42130971378741
"OID21368",-0.524896355611599,5.86158784533307e-06,"Down",TRUE,-0.378585467122514,0.00338309587054793,"NS",FALSE,"Lost_After_Adjustment",FALSE,FALSE,0.146310888489085
"OID21369",-0.528172038671709,0.00136382411695541,"Down",TRUE,-0.293813500335856,0.132308915847927,"NS",FALSE,"Lost_After_Adjustment",FALSE,FALSE,0.234358538335853
"OID21384",-0.708368827238332,3.78612951397397e-08,"Down",TRUE,-0.426215475968281,0.000729626988557114,"NS",FALSE,"Lost_After_Adjustment",FALSE,FALSE,0.282153351270051
"OID21402",-0.563632248844049,0.0405563485282383,"Down",TRUE,-0.150644542480449,0.686714481867714,"NS",FALSE,"Lost_After_Adjustment",FALSE,FALSE,0.4129877063636
"OID21408",-0.68109824716267,0.000499027801118557,"Down",TRUE,-0.32367247061222,0.0886091520449762,"NS",FALSE,"Lost_After_Adjustment",FALSE,FALSE,0.357425776550451
"OID21412",-0.571479083648588,3.0438305676712e-08,"Down",TRUE,-0.381925737391022,0.000256637706049266,"NS",FALSE,"Lost_After_Adjustment",FALSE,FALSE,0.189553346257566
"OID21422",-0.662253669609074,5.65332737952822e-05,"Down",TRUE,-0.228695951474074,0.191311139480796,"NS",FALSE,"Lost_After_Adjustment",FALSE,FALSE,0.433557718135
"OID21450",-0.581253686422865,0.000246344020654249,"Down",TRUE,-0.328133350758914,0.0545372992229236,"NS",FALSE,"Lost_After_Adjustment",FALSE,FALSE,0.253120335663951
"OID21451",-0.999776460697765,6.31827471336448e-07,"Down",TRUE,-0.457273063888726,0.00817617391025201,"NS",FALSE,"Lost_After_Adjustment",FALSE,FALSE,0.54250339680904
"OID21462",-0.67553505674653,0.000106058942457063,"Down",TRUE,-0.422039048629568,0.0193185702495393,"NS",FALSE,"Lost_After_Adjustment",FALSE,FALSE,0.253496008116962
"OID21467",-0.55019566624632,0.000807594527785168,"Down",TRUE,-0.189539162521312,0.255355782578327,"NS",FALSE,"Lost_After_Adjustment",FALSE,FALSE,0.360656503725008
"OID21469",-0.895761853720046,4.70846274144468e-06,"Down",TRUE,-0.482735250300968,0.014730942030721,"NS",FALSE,"Lost_After_Adjustment",FALSE,FALSE,0.413026603419078
"OID21482",-0.57598473728457,0.00011420765508015,"Down",TRUE,-0.237701447313134,0.102203319792846,"NS",FALSE,"Lost_After_Adjustment",FALSE,FALSE,0.338283289971436
"OID21486",-0.663103236654054,1.48104927360774e-06,"Down",TRUE,-0.300307920364727,0.0201001741911333,"NS",FALSE,"Lost_After_Adjustment",FALSE,FALSE,0.362795316289327
"OID21490",-0.543430790248001,3.48506307626096e-05,"Down",TRUE,-0.28874130769927,0.0321528040117861,"NS",FALSE,"Lost_After_Adjustment",FALSE,FALSE,0.254689482548731
"OID21493",-0.556811778058005,1.40956852286738e-05,"Down",TRUE,-0.256361515064757,0.0391179117929511,"NS",FALSE,"Lost_After_Adjustment",FALSE,FALSE,0.300450262993248
"OID21494",0.665397713324923,4.93905215345408e-10,"Up",TRUE,0.470653968955513,1.06953319164513e-05,"NS",FALSE,"Lost_After_Adjustment",FALSE,FALSE,-0.19474374436941
"OID21505",-0.754648373266074,0.00013480661308779,"Down",TRUE,-0.242562495251483,0.220527054606335,"NS",FALSE,"Lost_After_Adjustment",FALSE,FALSE,0.512085878014591
"OID21518",-0.504423854560738,2.65607391831996e-06,"Down",TRUE,-0.366069486645265,0.000965652102994656,"NS",FALSE,"Lost_After_Adjustment",FALSE,FALSE,0.138354367915472
