"PC","Variance_Explained_Percent"
1,32.9982447007101
2,16.0746910533846
3,6.81079431445746
4,4.99044678137842
5,3.07285840439611
6,2.72168491671327
7,1.54243073617109
8,1.32724929829031
9,1.15534707103749
10,0.977450946806211
11,0.904975252545422
12,0.858213755655812
13,0.787804641704823
14,0.716766364718676
15,0.701378530293005
16,0.635645910011196
17,0.542608979801245
18,0.535803552677669
19,0.510935579057351
20,0.462352609766192
21,0.427292663730918
22,0.402623629243369
23,0.38551075431515
24,0.359649179500564
25,0.346926186626197
26,0.342467671138512
27,0.328712984805809
28,0.322450324074002
29,0.314054181574354
30,0.290868005705473
31,0.290360063725041
32,0.279765661593159
33,0.277638844593594
34,0.265729896838346
35,0.257427188078508
36,0.256794731220897
37,0.24915409474885
38,0.247199065610979
39,0.241389767616351
40,0.23796132827881
41,0.234333480417381
42,0.229410096125618
43,0.222413320235016
44,0.214669114629757
45,0.212392077879913
46,0.204915026864482
47,0.202180049255986
48,0.199484164114891
49,0.195894431205032
50,0.192746497677135
51,0.18908147471234
52,0.185192708970114
53,0.183000699489027
54,0.179142654508622
55,0.174524127196055
56,0.169792837678205
57,0.167566129043145
58,0.165136345858057
59,0.163075674262576
60,0.159559866206745
61,0.156284934175464
62,0.154389599924026
63,0.151377113902597
64,0.148657982436202
65,0.145488600824741
66,0.144459920988733
67,0.142579339234637
68,0.141139303278925
69,0.137720844406748
70,0.134383411236007
71,0.132717729092078
72,0.13162942598082
73,0.130020771613812
74,0.127987491748938
75,0.126394699640462
76,0.12348511843428
77,0.120678746906695
78,0.119416310179167
79,0.119147636577568
80,0.116383260708974
81,0.11531774049575
82,0.113639232705561
83,0.112191784916524
84,0.110614040098561
85,0.109088610663727
86,0.107234884325078
87,0.105750091846395
88,0.104479092688499
89,0.101843858497964
90,0.101421191153674
91,0.10018478406103
92,0.0981392189909002
93,0.0970109738154567
94,0.0952742974735159
95,0.0947503301575918
96,0.0925680803238974
97,0.0916839669294358
98,0.0895795273140289
99,0.0884466172743906
100,0.0877731478794185
101,0.0863969485772912
102,0.0854721841073897
103,0.0845648636083419
104,0.0833982276176063
105,0.0817406418612401
106,0.0795654207795277
107,0.0794342651970563
108,0.0782230432342894
109,0.0770457050849293
110,0.0768249468030714
111,0.0750458099605549
112,0.0731477919988544
113,0.0729014555481877
114,0.0724386879455118
