"Protein","t","UniProt","ENTREZID"
"OID20217",4.05127157177302,"P09601","3162"
"OID21188",4.05003597925345,"P41586","117"
"OID20907",4.04520423338198,"P29218","3612"
"OID20700",4.03969958014095,"P18510","3557"
"OID21128",4.03223317602903,"P00352","216"
"OID20342",4.02782367574645,"P05121","5054"
"OID20854",4.02362870669535,"P29466","834"
"OID20244",4.0193367046469,"P23141","1066"
"OID21041",4.01221183656991,"O00214","3964"
"OID20727",3.99032182868605,"P22466","51083"
"OID20082",3.97385289242625,"Q13105","7709"
"OID20663",3.97153063593525,"P12544","3001"
"OID20645",3.96406576086133,"P00813","100"
"OID20718",3.960347639697,"P0DMV8","3303"
"OID20852",3.93880463470275,"Q15043","23516"
"OID21172",3.9346121587583,"O60828","10084"
"OID20756",3.9195456911073,"Q15109","177"
"OID20247",3.9002351660318,"P00750","5327"
"OID21303",3.85377674949338,"Q9Y662","9953"
"OID20623",3.80615433135916,"Q9Y266","10726"
"OID20256",3.77162669057696,"P04275","7450"
"OID20896",3.76028952827866,"O95994","10551"
"OID21034",3.74791600684154,"Q14739","3930"
"OID20500",3.74157321650091,"P09874","142"
"OID20987",3.73483630315446,"P56279","8115"
"OID21257",3.73315574539283,"P06850","1392"
"OID20694",3.72050191354585,"Q14116","3606"
"OID20630",3.69448674883354,"P50452","5271"
"OID20261",3.68104275733915,"P04066","2517"
"OID20117",3.6563116109904,"P08319","127"
"OID21027",3.65051300199223,"Q96CD2","60490"
"OID20193",3.64883267471222,"Q9HBB8","53841"
"OID20752",3.64801459238194,"Q99895","11330"
"OID20865",3.62304144759397,"Q9UBB4","25814"
"OID20142",3.61934240900759,"Q9UHL4","29952"
"OID21037",3.57440741903417,"P06733","2023"
"OID20187",3.57219301174491,"P41159","3952"
"OID20639",3.55672107248847,"Q96LA5","79368"
"OID21183",3.53734976826282,"Q9NRA1","56034"
"OID20535",3.51572754846364,"P13232","3574"
"OID20137",3.49723296718426,"Q03154","95"
"OID20277",3.44929515957081,"P32942","3385"
"OID21189",3.44505803604144,"Q8NBZ7","80146"
"OID21085",3.4378771939806,"Q14112","22795"
"OID21218",3.43767304154608,"Q8IWL1","729238"
"OID21278",3.41070815728183,"Q15427","10262"
"OID20269",3.41068781244366,"P08581","4233"
"OID21075",3.39278808324074,"P19440","2678"
"OID20209",3.38748358542824,"A6NI73","353514"
"OID21152",3.38647194146786,"Q8N149","11027"
"OID21491",3.33232279964207,"P35916","2324"
"OID20963",3.33018492137094,"P22079","4025"
"OID20960",3.32584088415994,"Q02790","2288"
"OID20429",3.31971734330571,"Q8NHJ6","11006"
"OID20280",3.31607065807598,"P15085","1357"
"OID20404",3.30355255837309,"Q9UGM5","26998"
"OID21004",3.30269784450274,"P13500","6347"
"OID20962",3.3023690627499,"Q06830","5052"
"OID21082",3.29752389788121,"O15389","8778"
"OID20194",3.24695728006593,"P52888","7064"
"OID20118",3.20891130844296,"P09496","1211"
"OID20542",3.20882301540587,"Q12765","9805"
"OID21360",3.20854863244033,"Q9NZT2","11054"
"OID20534",3.17610171603792,"O75475","11168"
"OID21497",3.17086706761658,"P35968","3791"
"OID21132",3.15784271760218,"P22749","10578"
"OID20848",3.13476110169608,"P01375","7124"
"OID21329",3.08524973062765,"Q9C0C4","54910"
"OID20988",3.07909754047786,"P08962","967"
"OID20424",3.04886422344676,"P05412","3725"
"OID20822",3.04703422699716,"P49023","5829"
"OID21269",3.03118242194383,"P09110","30"
"OID21418",3.01712580121777,"Q496F6","342510"
"OID20611",3.00647692856685,"P50591","8743"
"OID20340",3.0018301693567,"P19961","280"
