"Protein","t","UniProt","ENTREZID"
"OID21186",0.306278270524748,"Q08AG7","440145"
"OID20587",0.30409244066212,"Q6ZUJ8","118788"
"OID20112",0.292422634163808,"Q9UKP3","26548"
"OID20619",0.291018027212061,"P22304","3423"
"OID21250",0.288286062630816,"Q9UQB8","10458"
"OID20516",0.28764430643981,"Q7L8A9","22846"
"OID21235",0.287020096383234,"Q9Y639","27020"
"OID21002",0.279314871276016,"O15496","8399"
"OID21087",0.276459791933959,"P30086","5037"
"OID20127",0.260755630167363,"Q6PJW8","163882"
"OID21119",0.257722828236289,"Q8N6Q3","57126"
"OID20814",0.256032511183619,"Q6P1M0","10999"
"OID21332",0.254145514533209,"O14828","10067"
"OID21512",0.251439413345551,"P48307","7980"
"OID21192",0.243629261332358,"P39748","2237"
"OID20132",0.240746720977861,"O14917","27253"
"OID21211",0.236261293312461,"Q9Y265","8607"
"OID20452",0.233317335543045,"P19801","26"
"OID21040",0.232352105844633,"P04233","972"
"OID21279",0.223389174482218,"Q9UHD8","10801"
"OID20484",0.220131702039395,"Q05084","3382"
"OID21455",0.214429282626191,"P51858","3068"
"OID20501",0.212930151554019,"Q0Z7S8","646480"
"OID21464",0.2097527124694,"Q9Y5W5","11197"
"OID21280",0.206842482537777,"P00519","25"
"OID21088",0.191069034604924,"P30740","1992"
"OID21305",0.178853820308762,"Q9H4A9","64174"
"OID20559",0.178242386912632,"Q9UDT6","7461"
"OID20467",0.175660193878736,"Q9Y2J8","11240"
"OID20579",0.175533849388716,"Q16698","1666"
"OID21180",0.162083693731329,"Q15797","4086"
"OID20069",0.162050009290379,"Q9Y2B0","10330"
"OID20508",0.148905176910056,"Q06520","6822"
"OID20521",0.140767855238851,"Q92609","9779"
"OID21253",0.136288104772843,"Q99683","4217"
"OID21056",0.1351522383885,"P25774","1520"
"OID21204",0.134425503035258,"Q7Z434","57506"
"OID20823",0.130657807513933,"Q9BXS1","91734"
"OID21268",0.130643188783068,"O14713","9270"
"OID21111",0.129349173507019,"Q96RD9","83416"
"OID20549",0.126818058598405,"Q9BT73","84262"
"OID20643",0.122916705191834,"Q96SB3","84687"
"OID20061",0.121777386217481,"Q16619","1489"
"OID21209",0.116055654646386,"Q96NB1","123811"
"OID21249",0.113281943217639,"Q9BSW2","84766"
"OID21447",0.107435568010654,"P09758","4070"
"OID20816",0.100548392797093,"P13385","6997"
"OID20875",0.0936466646394366,"Q9Y2W6","11022"
"OID20080",0.0845773338625062,"P58546","136319"
"OID21076",0.0742085879527497,"P50895","4059"
"OID21191",0.0740161751115246,"Q9NS15","4054"
"OID21326",0.0713079673881938,"Q12846","6810"
"OID21222",0.0708608801798166,"Q9UQQ2","10019"
"OID20138",0.0629714300733924,"O60496","9046"
"OID20207",0.0601921116002138,"P42830","6374"
"OID21510",0.0457990357373484,"Q15303","2066"
"OID20943",0.0435582408639446,"Q14108","950"
"OID20369",0.0424945015798635,"P02786","7037"
"OID21294",0.0375577182283488,"Q9Y653","9289"
"OID21290",0.0342973448390996,"Q7L5N7","54947"
"OID20779",0.0339862701803318,"O95866","80739"
"OID20725",0.0336230856027952,"Q99983","4958"
"OID20496",0.0325686353071978,"Q13291","6504"
"OID21508",0.029646434588128,"O43895","7512"
"OID21221",0.0206264078219761,"P25786","5682"
"OID21347",0.0201339758037505,"Q9Y570","51400"
"OID21170",0.0188868639728715,"O14662","8675"
"OID20747",0.0149280849379079,"P24387","1393"
"OID20841",0.00582092589792785,"Q02643","2692"
"OID21140",0.00195451647679347,"O15117","2533"
"OID21238",-0.000526213275188542,"P30260","996"
"OID21385",-0.000556712168234686,"P08397","3145"
"OID21043",-0.000973771909337888,"Q01469","2171"
"OID21323",-0.00481373369793587,"Q96RT1","55914"
"OID20959",-0.0148761915117368,"Q8WV92","129531"
"OID20463",-0.0158882738656502,"Q96DB9","53827"
"OID20464",-0.0215207309966799,"P48061","6387"
"OID20655",-0.0216588170261337,"Q99616","6357"
"OID20545",-0.0256351755731466,"O95644","4772"
"OID21255",-0.0291507137227601,"P42331","9938"
"OID21357",-0.035588914112911,"P15514","374"
"OID21086",-0.0379858834247323,"P12081","3035"
"OID20144",-0.038806630050126,"O94903","11212"
"OID21179",-0.0396460481971757,"Q9H4P4","10193"
"OID21241",-0.0428123388262491,"Q6P2H3","64793"
"OID20699",-0.0510242450577741,"O75462","9244"
"OID20627",-0.0545082852172322,"O60884","10294"
"OID20857",-0.0553144819240459,"Q9Y5P4","10087"
"OID20990",-0.0660247213569515,"P07306","432"
"OID20091",-0.071008897842858,"Q92558","8936"
"OID20610",-0.075779459373573,"P10147","6348"
"OID21051",-0.0765625693608564,"Q10588","683"
"OID21477",-0.0780136837428955,"Q5JTD0","93643"
"OID21281",-0.0833739248153522,"Q5VIR6","55275"
"OID20576",-0.0845871666689658,"P24394","3566"
"OID20812",-0.0846103360308978,"Q6ZMC9","284266"
"OID20446",-0.0915797243605165,"Q5T4W7","9048"
"OID20058",-0.102993902685603,"O95988","9623"
"OID20878",-0.104982205085282,"Q96FQ6","140576"
"OID20348",-0.105202087446547,"O95998","10068"
"OID20530",-0.106830158056218,"P33241","4046"
"OID20805",-0.114818908209158,"Q8WTV0","949"
"OID20056",-0.115811574607255,"Q969D9","85480"
"OID20192",-0.128980391677584,"O75791","9402"
"OID20682",-0.1291414297992,"P30613","5313"
"OID20271",-0.149068497376266,"P07451","761"
"OID20998",-0.152871205350323,"Q96GW7","63827"
"OID20591",-0.157204091367902,"P20783","4908"
"OID20077",-0.159273037955114,"Q15831","6794"
"OID21099",-0.171542867947864,"Q14696","23184"
"OID20681",-0.173777175813208,"Q9UJU6","28988"
"OID20706",-0.176686803379183,"Q99435","4753"
"OID20582",-0.180884465038904,"O15169","8312"
"OID20309",-0.194603157174192,"P20160","566"
"OID20671",-0.196473219716888,"P78556","6364"
"OID20555",-0.197781688079013,"P42575","835"
"OID21030",-0.197977353653893,"Q99731","6363"
"OID20528",-0.218223926288058,"P23229","3655"
"OID21185",-0.218259421521206,"P43629","3811"
"OID20450",-0.2242068122701,"P14784","3560"
"OID20927",-0.243449863359233,"P07741","353"
"OID20541",-0.246658199490438,"P12872","4295"
"OID20920",-0.254521695149791,"P01138","4803"
"OID21264",-0.258373901660227,"Q9NX58","55646"
"OID20430",-0.269566724919605,"P35225","3596"
"OID21397",-0.273054526950541,"Q9H6S3","64787"
"OID20605",-0.28109954276014,"P24001","9235"
"OID21496",-0.285170800969709,"Q02763","7010"
"OID20160",-0.28982595397199,"Q9ULL4","5365"
"OID20254",-0.299196867334375,"Q14767","4053"
"OID20683",-0.307706118569434,"O43639","8440"
"OID21399",-0.309400466286864,"Q14203","1639"
"OID20839",-0.313802202017102,"P30039","64081"
"OID20931",-0.319445098842067,"Q02083","27163"
"OID20910",-0.322171862191543,"Q16740","8192"
"OID20558",-0.333803022528346,"P11274","613"
"OID21239",-0.340612209367332,"Q01543","2313"
"OID21509",-0.355609864182198,"P07237","5034"
"OID20881",-0.366175479275221,"P23276","3792"
"OID21297",-0.369696466612083,"P10606","1329"
"OID21392",-0.372773312304384,"P16870","1363"
"OID21197",-0.376306667418312,"Q9Y243","10000"
"OID21336",-0.400774325043455,"Q9BSL1","10422"
"OID21386",-0.404392004486486,"Q9NTU7","140689"
"OID20186",-0.406571745396479,"Q13275","6405"
"OID20162",-0.418403551261686,"Q13541","1978"
"OID20721",-0.422743052944936,"P12532","1159"
"OID20729",-0.424140423610481,"Q9NR12","9260"
"OID21247",-0.424377032120947,"P14136","2670"
"OID21407",-0.428451642709205,"Q9P0G3","43847"
"OID20434",-0.433218827248931,"Q8WV07","220064"
"OID20761",-0.433738634386328,"O75563","8935"
"OID21308",-0.434455268020328,"P50583","318"
"OID20051",-0.437023370552911,"P61978","3190"
"OID20514",-0.443373377557414,"O60880","4068"
"OID20770",-0.445260865824048,"P19883","10468"
"OID20867",-0.445903827319246,"Q9NRG1","56952"
"OID20435",-0.446813191598835,"O43707","81"
"OID20303",-0.455755008256561,"P35590","7075"
"OID20658",-0.462407131742769,"O00253","181"
"OID20086",-0.462923761254328,"P21964","1312"
"OID21307",-0.467055428228242,"P08473","4311"
"OID20097",-0.469083430872953,"P13807","2997"
"OID20776",-0.474948364264273,"Q8IYS5","126014"
"OID20899",-0.475756227590664,"Q9Y4K4","11183"
"OID20218",-0.47898772422675,"O00161","8773"
"OID20544",-0.480871843771454,"Q9Y6K9","8517"
"OID20124",-0.481473834565709,"Q15067","51"
"OID20394",-0.489993998944379,"Q9NZK5","51816"
"OID20819",-0.491335664382887,"O96013","10298"
"OID20470",-0.495569994819517,"Q12968","4775"
"OID21036",-0.498037005144747,"P12429","306"
"OID20613",-0.498857377059021,"P80162","6372"
"OID20774",-0.51054019176402,"Q14118","1605"
"OID20547",-0.514920514706539,"Q8WTT0","170482"
"OID21018",-0.524977149793875,"P01732","925"
"OID20608",-0.53001430130105,"P20340","5870"
"OID20431",-0.531647964865474,"P22301","3586"
"OID21246",-0.535487821359835,"Q8WYN0","115201"
"OID20930",-0.536357947610284,"Q9HD42","5119"
"OID20633",-0.548292076346338,"Q14005","3603"
"OID21432",-0.558987481862994,"Q9NPH0","51205"
"OID20586",-0.562624282974521,"P01374","4049"
"OID20459",-0.564437067649335,"Q03426","4598"
"OID20913",-0.565173936119432,"Q9HAN9","64802"
"OID20980",-0.574972335995167,"Q9NPH6","29989"
"OID20328",-0.576445077157054,"Q16663","6359"
"OID20440",-0.583891122501188,"Q13007","11009"
"OID20131",-0.593244847719953,"Q9H7M9","64115"
"OID21263",-0.59331649799099,"P01275","2641"
"OID21207",-0.597453637837096,"P07332","2242"
"OID20583",-0.602783870887275,"P50995","311"
"OID20373",-0.607120668553364,"Q99969","5919"
"OID21181",-0.609483754526214,"Q9Y5V3","9500"
"OID21476",-0.625862876329191,"O00244","475"
"OID20402",-0.627745832306407,"P04070","5624"
"OID20263",-0.628510274690493,"P02144","4151"
"OID20827",-0.633153744212405,"P51452","1845"
"OID20444",-0.63895863460895,"Q9Y478","5564"
"OID20420",-0.64026330631138,"Q13651","3587"
"OID21063",-0.65122397426705,"P21757","4481"
"OID20503",-0.660450843908753,"P09038","2247"
"OID20956",-0.660830418139386,"Q6XZF7","23268"
"OID21210",-0.665377915213356,"O15116","27257"
"OID21273",-0.672908242151041,"Q9BQ51","80380"
"OID20190",-0.674184327319682,"Q9Y286","27036"
"OID20059",-0.674828997253046,"Q9NRD8","50506"
"OID21067",-0.686438307434988,"Q9UBW5","51411"
"OID20447",-0.687775055683264,"Q5R372","9910"
"OID20965",-0.692069705796655,"Q6ISS4","3904"
"OID21272",-0.699139351426952,"P36888","2322"
"OID20215",-0.710180986767982,"P20711","1644"
"OID20834",-0.710668679062747,"P29474","4846"
"OID20790",-0.726015086898356,"Q86VW0","91404"
"OID21163",-0.726641752755168,"Q7Z6M1","10244"
"OID20644",-0.729621019282502,"P30044","25824"
"OID20799",-0.736421415364999,"P53985","6566"
"OID20808",-0.74306797578936,"Q96JP9","92211"
"OID20888",-0.744920676586343,"Q86Z14","152831"
"OID21286",-0.746603802886889,"Q9NUY8","55773"
"OID20456",-0.748278972473371,"Q96PD4","112744"
"OID20350",-0.750786682434782,"P15144","290"
"OID21373",-0.754497361751664,"O15263","1673"
"OID20198",-0.757362054330043,"Q15846","27098"
"OID20364",-0.758321114735346,"P07478","5645"
"OID20106",-0.759572023491947,"P07585","1634"
"OID21214",-0.781498209907406,"Q9P0V8","56833"
"OID20672",-0.785315810643594,"P03956","4312"
"OID20736",-0.787490438221438,"Q9UJA9","59084"
"OID20474",-0.812587992190643,"Q92844","10010"
"OID20539",-0.812715996860991,"Q6ZMH5","283375"
"OID20996",-0.823261100720613,"Q9NR71","56624"
"OID20519",-0.823600781753972,"Q6UB28","254042"
"OID20286",-0.828065552433336,"P31146","11151"
"OID20143",-0.836176407371675,"O60664","10226"
"OID21171",-0.854701940063946,"P06731","1048"
"OID20164",-0.856043143973044,"P51693","333"
"OID20722",-0.862969654452259,"Q9Y3D6","51024"
"OID20294",-0.869395527916319,"P04080","1476"
"OID20354",-0.872705937710204,"P13591","4684"
"OID20159",-0.875478865067038,"P16112","176"
"OID20675",-0.882178056089331,"Q07325","4283"
"OID21261",-0.882708953424785,"P0CG37","55997"
"OID20832",-0.885438602785478,"Q9UM07","23569"
"OID21352",-0.891045087377745,"P23515","4974"
"OID21354",-0.905681024897298,"P42658","1804"
"OID20942",-0.905890530294302,"Q15814","6903"
"OID21147",-0.909448322875149,"Q99727","7079"
"OID20476",-0.931663201737758,"P13693","7178"
"OID21145",-0.93243618868724,"P20333","7133"
"OID20835",-0.933989892985808,"O60240","5346"
"OID20863",-0.93862591128364,"P29475","4842"
"OID20944",-0.943413946020961,"P78333","2262"
"OID21012",-0.944585994233919,"Q8NBS9","81567"
"OID21031",-0.955188444926384,"P50225","6817"
"OID20066",-0.969994726177362,"P34947","2869"
"OID20250",-0.977077618515201,"Q01638","9173"
"OID21293",-0.978052859409925,"Q07954","4035"
"OID20177",-0.980441367426409,"Q9Y5K6","23607"
"OID20634",-0.98241585819056,"O94856","23114"
"OID20906",-0.997550385014171,"Q86WV1","8631"
"OID20267",-0.998719926439189,"P01589","3559"
"OID21137",-0.999871498253938,"Q8TDQ0","84868"
"OID20183",-1.00649132923098,"P78380","4973"
"OID20418",-1.02709527342306,"P01033","7076"
"OID21182",-1.03562508649739,"Q8N5S9","84254"
"OID20739",-1.04019619922106,"O00241","10326"
"OID20964",-1.04368813125408,"O95407","8771"
"OID21345",-1.04468027469612,"P49441","3628"
"OID20451",-1.04731841584079,"Q13459","4650"
"OID20123",-1.04799524527156,"P09525","307"
"OID20201",-1.0514653794274,"P00797","5972"
"OID21217",-1.05523119416858,"Q13490","329"
"OID20327",-1.06240697648725,"Q9HD89","56729"
"OID21109",-1.06711264768965,"O43278","6692"
"OID20221",-1.06763867301256,"Q9BUD6","10417"
"OID21525",-1.08186969799995,"O00548","28514"
"OID20751",-1.08579152659479,"Q6UXH1","79174"
"OID20584",-1.08618928273784,"P01730","920"
"OID20553",-1.09072549134737,"Q9H0P0","51251"
"OID20062",-1.10575982649088,"P17516","1109"
"OID20975",-1.11022488260385,"P50135","3176"
"OID21215",-1.11140175133179,"P31994","2213"
"OID20290",-1.11916849976053,"P16581","6401"
"OID21203",-1.1198938314969,"P46060","5905"
"OID20607",-1.12462448551172,"Q9UIB8","8832"
"OID20554",-1.12789962128342,"Q9NZN5","23365"
"OID21129",-1.1298731199859,"Q9UKJ1","29992"
"OID20574",-1.13844096815484,"P13725","5008"
"OID21173",-1.14799001425775,"A4D1B5","54103"
"OID21420",-1.14840746657546,"P20472","5816"
"OID20284",-1.16042694116456,"P17931","3958"
"OID20693",-1.16570470358407,"P55773","6368"
"OID20154",-1.17596234838987,"P09382","3956"
"OID20105",-1.17659131598144,"Q9BYF1","59272"
"OID21251",-1.17808600797196,"Q6UX82","646627"
"OID20465",-1.17965495007932,"Q99748","4902"
"OID20114",-1.18388900418089,"P46379","7917"
"OID21492",-1.19082489163841,"Q9H8J5","54682"
"OID20455",-1.19647611305647,"P20809","3589"
"OID20099",-1.20045148075665,"Q8NC01","51267"
"OID20689",-1.2010123430006,"Q6UWV6","339221"
"OID20597",-1.21771007310026,"Q9HCM2","91584"
"OID20304",-1.21918067219594,"P78324","140885"
"OID21105",-1.22024180313886,"Q13093","7941"
"OID20635",-1.22133044154324,"P40259","974"
"OID21358",-1.23242998495513,"O00592","5420"
"OID20491",-1.23687076402415,"P09919","1440"
"OID20972",-1.24757681807684,"O95817","9531"
"OID20448",-1.2500453662667,"Q969V3","56926"
"OID20934",-1.25966882196218,"Q9UBT3","27121"
"OID20225",-1.2607534892168,"Q8N1Q1","377677"
"OID20203",-1.26191355214442,"P12724","6037"
"OID21151",-1.2686335000903,"Q9Y624","50848"
"OID21023",-1.28862243864953,"P35237","5269"
"OID20850",-1.29295066509896,"Q15126","10654"
"OID20567",-1.30939223263047,"P19878","4688"
"OID20945",-1.30954514976529,"Q9Y6Y9","23643"
"OID20411",-1.32682425436054,"P05362","3383"
"OID21078",-1.33033798412288,"Q9NZD4","51327"
"OID21169",-1.33693243353206,"Q6PGN9","84722"
"OID20115",-1.34208103864546,"O14793","2660"
"OID20128",-1.34827365462575,"P48357","3953"
"OID20251",-1.34864403580316,"Q99988","9518"
"OID20926",-1.3500324839601,"O00308","11060"
"OID20090",-1.35363880369354,"P55259","2813"
"OID21026",-1.36877042609625,"P13611","1462"
"OID20621",-1.37043457564849,"P01137","7040"
"OID21295",-1.38434876568237,"P55273","1032"
"OID20957",-1.38918040591682,"Q92752","7143"
"OID20824",-1.38941103030952,"P15018","3976"
"OID21457",-1.39034011263456,"P56159","2674"
"OID20428",-1.40208184813929,"O95760","90865"
"OID20179",-1.4072363408531,"P27352","2694"
"OID20191",-1.4127630181297,"O95502","23467"
"OID20050",-1.41283203857729,"P19429","7137"
"OID21383",-1.43476945371071,"P05187","250"
"OID21121",-1.43648859690305,"Q99972","4653"
"OID20765",-1.44018122276548,"O00626","6367"
"OID20851",-1.45585803565163,"Q6UX27","284415"
"OID20433",-1.46488915900681,"O95379","25816"
"OID20324",-1.46989195101299,"O75023","10990"
"OID20618",-1.48841442784447,"P68106","2281"
"OID20674",-1.50230133482624,"O15444","6370"
"OID21333",-1.51220551996082,"Q8N386","126364"
"OID20093",-1.5164855087456,"Q8NHS0","165721"
"OID20895",-1.52538901097611,"Q96B36","84335"
"OID20622",-1.53517313873126,"Q6UXB2","284340"
"OID21417",-1.53810969413069,"Q16790","768"
"OID20632",-1.53874321505021,"Q13241","3824"
"OID21513",-1.55609744766227,"Q9UJ68","4482"
"OID20766",-1.55716085748296,"P51888","5549"
"OID20724",-1.56065210415099,"P25942","958"
"OID21143",-1.56796578852421,"P07108","1622"
"OID20656",-1.59657189942601,"P14210","3082"
"OID21413",-1.60772001394401,"P02760","259"
"OID20133",-1.61399789246876,"P16234","5156"
"OID21164",-1.62077863324342,"Q7Z7D3","79679"
"OID21071",-1.63570854257052,"P11215","3684"
"OID20777",-1.64088251083156,"Q15166","5446"
"OID20197",-1.66134215220279,"Q9UKJ0","29990"
"OID21219",-1.66411341768161,"O43752","10228"
"OID20785",-1.67130838247403,"Q8TEU8","124857"
"OID20825",-1.67255547278818,"Q9H1C3","83468"
"OID20398",-1.68702133964961,"P17936","3486"
"OID21225",-1.70072857900998,"O75569","8575"
"OID20983",-1.70896978110884,"P01258","796"
"OID21387",-1.7175455717191,"Q9P1Z2","57658"
"OID20468",-1.72819788945535,"Q04759","5588"
"OID21415",-1.74426710666147,"Q9BXY4","84870"
"OID21356",-1.74840778623412,"O60825","5208"
"OID20165",-1.75366428889756,"Q9NY25","23601"
"OID20387",-1.7850546070933,"O75015","2215"
"OID21523",-1.79546057943473,"O43240","5655"
"OID20789",-1.80171125498804,"Q13232","4832"
"OID20242",-1.84947864560127,"P54760","2050"
"OID20712",-1.85292400676417,"Q8NFT8","92737"
"OID20427",-1.85478926025778,"P01584","3553"
"OID21252",-1.85595562984437,"Q9UHF1","51162"
"OID21317",-1.86325337721987,"Q8N129","245812"
"OID20564",-1.87602313472831,"P24071","2204"
"OID20395",-1.88315846183433,"P55774","6362"
"OID21230",-1.89264635545954,"Q8WUX2","494143"
"OID20764",-1.89883718755723,"Q03405","5329"
"OID21097",-1.90224372605807,"P00995","6690"
"OID20511",-1.90945398441874,"O60542","5623"
"OID21260",-1.90988722563798,"Q9Y5L3","954"
"OID21060",-1.91840727736439,"P48052","1358"
"OID21157",-1.92665934072325,"O76061","8614"
"OID20487",-1.92735859699607,"Q9HB29","8808"
"OID21376",-1.92986031086353,"Q99795","10223"
"OID20291",-1.96877296788936,"P19021","5066"
"OID21068",-1.97242125945223,"O76076","8839"
"OID20572",-2.01115158381696,"Q9GZT9","54583"
"OID20897",-2.01717862889923,"P16444","1800"
"OID21440",-2.02347447235244,"P13726","2152"
"OID21398",-2.03841983590536,"P47992","6375"
"OID20432",-2.0490387748093,"P27540","405"
"OID20094",-2.05135903035303,"Q9H5Y7","84189"
"OID20531",-2.05959308471337,"Q9UNK0","9482"
"OID21167",-2.06247954487672,"Q92982","4814"
"OID21194",-2.10277162691615,"P50749","9770"
"OID21080",-2.12230264262503,"Q04900","8763"
"OID20457",-2.13669060673512,"O76038","10590"
"OID21335",-2.13693468900958,"P55039","1819"
"OID20771",-2.14138878150142,"Q9BU40","91851"
"OID20866",-2.14920078808551,"Q9H3R2","56667"
"OID20422",-2.16525319258801,"Q9UHF4","53832"
"OID21424",-2.17547171719413,"Q9BZR6","65078"
"OID20715",-2.17891437968779,"O95750","9965"
"OID20325",-2.18635930382702,"P18065","3485"
"OID20399",-2.19030297123007,"P36222","1116"
"OID20849",-2.1905477208181,"P58417","30010"
"OID20312",-2.19114471991924,"Q13231","1118"
"OID20477",-2.2115271130324,"Q9P0M4","27189"
"OID20923",-2.22089878155423,"P78560","8738"
"OID20339",-2.22145142910337,"P13987","966"
"OID21366",-2.22400807295821,"O00748","8824"
"OID21271",-2.23435589801683,"O43524","2309"
"OID21479",-2.24955942271619,"Q96SM3","56265"
"OID20731",-2.25538325557431,"Q9NZC2","54209"
"OID21405",-2.26698817607196,"O60911","1515"
"OID21059",-2.27043050234341,"P30533","4043"
"OID20229",-2.27147783124454,"Q92823","4897"
"OID20978",-2.27205055511015,"P02771","174"
"OID20735",-2.30113972564815,"O00300","4982"
"OID20219",-2.31173985378061,"Q8IW75","145264"
"OID20914",-2.31885223173194,"O95727","56253"
"OID21288",-2.32054106494777,"P34949","4351"
"OID21402",-2.34405571057353,"Q9NSA1","26291"
"OID20482",-2.34614770484003,"Q7Z6M3","284021"
"OID20936",-2.35547269106979,"Q2TAL6","375567"
"OID21153",-2.36127875107521,"Q6UXH9","25891"
"OID20925",-2.36133695730683,"P09466","5047"
"OID20868",-2.3777630080619,"Q16762","7263"
"OID20673",-2.38522753802724,"P49763","5228"
"OID21454",-2.4148781060129,"O00292","7044"
"OID20668",-2.41774262865441,"P51671","6356"
"OID20497",-2.42533212793658,"Q8N8S7","55740"
"OID21379",-2.42942656944327,"Q02742","2650"
"OID21502",-2.43539957582512,"Q9UP79","11095"
"OID21213",-2.43554563872444,"Q9UKS7","22807"
"OID20561",-2.4357042143453,"P78310","1525"
"OID20801",-2.43763583419511,"P22676","794"
"OID20592",-2.44869913923642,"O14788","8600"
"OID21311",-2.44887409381413,"Q9BTE6","80755"
"OID20461",-2.45218874549073,"P26951","3563"
"OID21427",-2.46226114972877,"Q9UBG3","49860"
"OID20423",-2.47542385038747,"P63241","1984"
"OID20359",-2.47943286402325,"P24821","3371"
"OID21096",-2.49967838438192,"P23280","765"
"OID20443",-2.51057689886059,"Q96P31","115352"
"OID21039",-2.53554843721273,"P78325","101"
"OID20338",-2.53980136760105,"O75594","8993"
"OID20507",-2.54657323152226,"Q12933","7186"
"OID20344",-2.54955429694491,"P59665","1667"
"OID21382",-2.55584009206039,"Q99536","10493"
"OID20222",-2.57973134640397,"Q92692","5819"
"OID20829",-2.58368567927635,"P14625","7184"
"OID20245",-2.58461311985403,"P15090","2167"
"OID20278",-2.5889114229232,"Q07507","1805"
"OID20472",-2.59121815160822,"P05113","3567"
"OID20571",-2.62452644509593,"Q03431","5745"
"OID21196",-2.63078674507722,"P43628","3804"
"OID20792",-2.63129759419453,"Q92597","10397"
"OID20695",-2.64274588806409,"P13236","6351"
"OID20388",-2.66766526641054,"P10646","7035"
"OID20356",-2.66773502736401,"Q99650","9180"
"OID20981",-2.67992509752805,"O14763","8795"
"OID21527",-2.71008170408892,"P26842","939"
"OID21103",-2.71502217358347,"P14780","4318"
"OID20083",-2.72623212880804,"P21246","5764"
"OID20293",-2.72861670432875,"Q15828","1474"
"OID20560",-2.73512305506875,"Q14242","6404"
"OID20288",-2.73947588080378,"Q13822","5168"
"OID20400",-2.75552148444695,"P01034","1471"
"OID20282",-2.75853307764487,"Q9H2A7","58191"
"OID21310",-2.76748485893402,"O95498","8875"
"OID20480",-2.7752272873449,"Q96RJ3","115650"
"OID20381",-2.78359806081994,"P07359","2811"
"OID21201",-2.78390360282552,"Q9UKR0","43849"
"OID20915",-2.78744633554158,"P15509","1438"
"OID20753",-2.79887505925267,"Q9NQ76","56955"
"OID20971",-2.80535800079456,"O76070","6623"
"OID20871",-2.82208231542232,"P07196","4747"
"OID20089",-2.82575330327562,"Q8TE57","170690"
"OID20421",-2.83304995478492,"Q13219","5069"
"OID20922",-2.83936584036546,"Q8TCT1","162466"
"OID20453",-2.84527102470374,"Q9NYY1","50604"
"OID21362",-2.86684784709363,"Q9UBM4","26254"
"OID21155",-2.87560572311813,"P19438","7132"
"OID20413",-2.88326464352939,"P24592","3489"
"OID20326",-2.89139834969063,"P19957","5266"
"OID20246",-2.89851257280409,"P08833","3484"
"OID20308",-2.90127650956628,"Q8TDL5","92747"
"OID21131",-2.92154651445503,"P16284","5175"
"OID21380",-2.9232480957923,"Q13421","10232"
"OID21091",-2.9416762218453,"Q9HCN6","51206"
"OID20901",-2.96493041813053,"P52943","1397"
"OID20266",-2.97140902082362,"P48304","5968"
"OID20522",-2.97145777086488,"P01588","2056"
"OID21148",-2.98114497291081,"Q9NQ38","11005"
"OID20509",-2.98992912134687,"O60575","27290"
"OID20723",-2.99410994710252,"Q96PL1","117156"
"OID20147",-3.03697414663037,"P40189","3572"
"OID20379",-3.06967250420713,"P16109","6403"
"OID20709",-3.07801757657505,"P29279","1490"
"OID20527",-3.08187661431464,"Q8N608","57628"
"OID20665",-3.08313844996858,"P48023","356"
"OID20258",-3.09547899243602,"Q06141","5068"
"OID20703",-3.11600484467924,"Q9BY76","51129"
"OID20167",-3.15026669882417,"Q969P0","93185"
"OID20737",-3.15610489774939,"Q6GTX8","3903"
"OID21474",-3.1563970086384,"Q96PD2","131566"
"OID20628",-3.19089704432566,"Q9BZW8","51744"
"OID20111",-3.1985810895569,"P22004","654"
"OID20357",-3.21319813430487,"Q12794","3373"
"OID21522",-3.22816765327682,"P18084","3693"
"OID20935",-3.24217299775487,"P52798","1945"
"OID20253",-3.26235344299799,"Q9UM47","4854"
"OID20548",-3.27521558348558,"Q3KPI0","90273"
"OID20782",-3.30374993759063,"O95633","10272"
"OID21102",-3.31416684735703,"P01833","5284"
"OID20538",-3.31765953231565,"B1AKI9","140862"
"OID21083",-3.33386194849332,"P08254","4314"
"OID21325",-3.35852069910564,"Q86SJ6","147409"
"OID20708",-3.38277606520273,"Q14210","8581"
"OID20460",-3.40379690406885,"O14904","7483"
"OID21033",-3.40543671458326,"P01236","5617"
"OID21125",-3.40853319557729,"P20827","1942"
"OID21401",-3.41547879789724,"Q9ULX7","23632"
"OID20346",-3.45359135975439,"Q13508","419"
"OID20603",-3.45519929007419,"P41217","4345"
"OID20778",-3.45967450335401,"P07148","2168"
"OID20469",-3.46415908183064,"Q16552","3605"
"OID21438",-3.4650702102704,"P35052","2817"
"OID20374",-3.4657340619614,"O95445","55937"
"OID20687",-3.47936328207897,"P09238","4319"
"OID20407",-3.48246218760067,"Q9Y5C1","27329"
"OID21500",-3.52153077781635,"Q9UBX1","8722"
"OID21369",-3.53570396944687,"P82980","83758"
"OID20886",-3.54189152799547,"Q9UJ72","11199"
"OID20982",-3.5538557762115,"O15197","2051"
"OID21530",-3.56724048243445,"O95274","27076"
"OID21306",-3.56941462679376,"P05937","793"
"OID21529",-3.57107711097675,"P15328","2348"
"OID21426",-3.57224256361149,"Q02246","6900"
"OID20076",-3.57768896469861,"P51161","2172"
"OID20767",-3.58760250632309,"O00339","4147"
"OID21488",-3.60151563539925,"Q9BYH1","23544"
"OID21400",-3.61470431164747,"P13521","7857"
"OID20905",-3.61796892045157,"O14944","2069"
"OID20995",-3.62370890109107,"P28325","1473"
