"Comparison","Median_Absolute_Difference","Mean_Absolute_Difference","P95_Absolute_Difference","Maximum_Absolute_Difference"
"101_D7_vs_101_D0",0.7625,1.61210279916025,5.48122,8.2404
"101_D7_vs_101_D3",0.7751,1.78538383484955,6.5118,9.5018
