"Patient_Timepoint","Median_Correlation","Mean_Correlation","PCA_Mahalanobis_Distance"
"101_D7",0.323806474107777,0.346725975260622,26.3041629692931
"243_D0",0.424804549426253,0.436503998889291,12.6125730378625
"360_D3",0.425050121194637,0.443612992373459,11.7133462336191
"223_D3",0.439758541423517,0.458200810101044,11.4946632780838
"29_D3",0.497241376868905,0.513103599015135,12.4567146253128
"250_D3",0.51770820891444,0.529653136469174,10.2140109574443
"154_DE",0.518041543528781,0.529537227273121,10.2045961420206
"140_D3",0.522528325309639,0.527535838969722,8.77873808242298
