"Protein","logFC_Unadjusted","adj.P.Val_Unadjusted","Regulation_Unadjusted","Significant_Unadjusted","logFC_Adjusted","adj.P.Val_Adjusted","Regulation_Adjusted","Significant_Adjusted","Status","Direction_Consistent","Direction_Change","logFC_Change"
"OID20102",-0.636317595628413,3.61542785532781e-05,"Down",TRUE,-0.391945510941448,0.0167149751330364,"NS",FALSE,"Lost_After_Adjustment",FALSE,FALSE,0.244372084686965
"OID20103",-0.589985905842788,2.65891101491332e-05,"Down",TRUE,-0.422627909218067,0.00681378652245131,"NS",FALSE,"Lost_After_Adjustment",FALSE,FALSE,0.167357996624721
"OID20104",0.687150277427488,5.75464879215907e-18,"Up",TRUE,0.634333167717184,7.16761955620706e-13,"Up",TRUE,"Significant_Both",TRUE,FALSE,-0.0528171097103042
"OID20105",-0.137986565783942,0.351158545901928,"NS",FALSE,-0.0341093786823518,0.876411875604092,"NS",FALSE,"NS_Both",TRUE,FALSE,0.10387718710159
"OID20106",-0.0821979823455229,0.577758474523039,"NS",FALSE,0.0777232038362274,0.580360680841791,"NS",FALSE,"NS_Both",TRUE,FALSE,0.15992118618175
"OID20107",0.248588575031526,0.151848622589876,"NS",FALSE,0.401613904491219,0.0339555782372182,"NS",FALSE,"NS_Both",TRUE,FALSE,0.153025329459693
"OID20108",0.181785460277427,0.157655192645451,"NS",FALSE,0.324389501740575,0.0142740716416946,"NS",FALSE,"NS_Both",TRUE,FALSE,0.142604041463148
"OID20109",-0.45970680538041,1.17482423704472e-10,"NS",FALSE,-0.432452419530659,7.54255671846774e-08,"NS",FALSE,"NS_Both",TRUE,FALSE,0.0272543858497509
"OID20110",-0.526673665405631,0.000484982363705496,"Down",TRUE,-0.43227218323045,0.015567395239766,"NS",FALSE,"Lost_After_Adjustment",FALSE,FALSE,0.0944014821751811
"OID20111",-0.18237756200084,0.0040544427478265,"NS",FALSE,-0.112784285021711,0.132308915847927,"NS",FALSE,"NS_Both",TRUE,FALSE,0.0695932769791292
"OID20112",0.0525901975619996,0.845240286581073,"NS",FALSE,0.138357358970022,0.6390207839587,"NS",FALSE,"NS_Both",TRUE,FALSE,0.085767161408022
"OID20113",0.665054010088269,6.30114689907281e-09,"Up",TRUE,0.725977647226903,1.65333002062434e-08,"Up",TRUE,"Significant_Both",TRUE,FALSE,0.0609236371386347
"OID20114",-0.11825572089113,0.347988077335112,"NS",FALSE,0.0355469042047389,0.842808493702918,"NS",FALSE,"NS_Both",TRUE,FALSE,0.153802625095869
"OID20115",-0.124203177805801,0.278031139240997,"NS",FALSE,-0.196533816929773,0.0886091520449762,"NS",FALSE,"NS_Both",TRUE,FALSE,-0.0723306391239712
"OID20116",-0.785188726355608,3.39241571276525e-22,"Down",TRUE,-0.632630731507023,1.75771002431597e-14,"Down",TRUE,"Significant_Both",TRUE,FALSE,0.152557994848585
