"Protein","logFC","AveExpr","t","P.Value","adj.P.Val","B","Regulation","Significant"
"OID21481",1.75213094577553,4.75477702349869,14.7071366513125,3.56468166438963e-39,5.09393009841278e-36,78.2667066404161,"Up",TRUE
"OID20697",2.41575119798234,6.91940130548303,14.4996085856876,2.5296646811912e-38,1.80744541471111e-35,76.3272139594718,"Up",TRUE
"OID20178",2.05326390500209,4.4876044386423,14.1292015697534,8.19077083001085e-37,3.9015371720285e-34,72.8856299302379,"Up",TRUE
"OID21226",2.24095952921394,3.91665561357702,13.9957433163506,2.84813651405176e-36,1.01749676964499e-33,71.6523501926016,"Up",TRUE
"OID20341",0.932057528373262,7.77943133159269,13.7603994017294,2.50549088676021e-35,7.16069295436069e-33,69.5005018671495,"Up",TRUE
"OID21044",1.06593585960487,4.61704334203655,13.6158559607003,9.58238368562005e-35,2.28220438112517e-32,68.1732245680885,"Up",TRUE
"OID20795",1.93873746532155,2.12340704960836,13.3809186175849,8.43522371975421e-34,1.72199067078982e-31,66.0213588139932,"Up",TRUE
"OID20754",-1.07920404371584,4.10794830287206,-12.216602328919,3.09553890352597e-29,5.52940636642327e-27,55.6259369667205,"Down",TRUE
"OID20234",1.50991485498108,5.13277415143603,12.1032527972381,8.46764239739187e-29,1.34447344287478e-26,54.6311370967123,"Up",TRUE
"OID20436",1.74127140395123,3.83139190600522,11.9036579372792,4.8993873165415e-28,7.0012244753378e-26,52.8958272858281,"Up",TRUE
"OID20523",2.12826751155947,4.35613315926893,11.8799821166216,6.02837029835944e-28,7.8314010512324e-26,52.6908572230535,"Up",TRUE
"OID20224",-0.827773404791925,0.751980156657963,-11.701736973759,2.85490759708983e-27,3.39971913020114e-25,51.1538113046287,"Down",TRUE
"OID21466",1.39966582597729,8.26877023498695,11.2042112276402,2.06657015895235e-25,2.27163750549455e-23,46.9229343930563,"Up",TRUE
"OID21042",1.53611049180327,4.90927336814621,11.1101607198021,4.5958961838883e-25,4.69109689055456e-23,46.1334422246946,"Up",TRUE
"OID20279",-1.06505591004623,1.73982663185379,-11.0450249759854,7.97839973794861e-25,7.60075548368571e-23,45.5886652213113,"Down",TRUE
"OID20116",-0.785188726355608,1.68339608355091,-10.8593968856439,3.79836608847054e-24,3.39241571276525e-22,44.047635591895,"Down",TRUE
