"Patient_Timepoint","Median_Correlation","Mean_Correlation","PCA_Mahalanobis_Distance"
"101_D7",0.323806474107777,0.346725975260622,26.3041629692931
"243_D0",0.424804549426253,0.436503998889291,12.6125730378625
"360_D3",0.425050121194637,0.443612992373459,11.7133462336191
"223_D3",0.439758541423517,0.458200810101044,11.4946632780838
"29_D3",0.497241376868905,0.513103599015135,12.4567146253128
"250_D3",0.51770820891444,0.529653136469174,10.2140109574443
"154_DE",0.518041543528781,0.529537227273121,10.2045961420206
"140_D3",0.522528325309639,0.527535838969722,8.77873808242298
"150_D0",0.528153251829399,0.542517745697046,7.14124456694064
"29_D0",0.528558259282035,0.543508959651967,9.46322183124417
"321_D0",0.53048479601577,0.534599568837664,7.36742118915629
"380_D7",0.533844604886248,0.543791068734458,7.20814843487535
"116_D0",0.534672873074964,0.51260326305228,18.8432020437089
"278_D0",0.537742620625821,0.540855429990498,5.61835968269921
"270_D0",0.537890518597614,0.521140658415866,29.4650252782808
"237_D0",0.540909744831343,0.548384593231066,6.64502513751149
"200_D0",0.547338949190969,0.53533198037429,22.0616211944652
"211_DE",0.552080562016158,0.556882422376936,8.84979046685173
"42_D7",0.552119589361322,0.560423494915845,10.7133741551597
"90_D7",0.554101811180559,0.559556960924698,7.26820724639647
"311_D0",0.559875942485493,0.574297029612977,6.57575565886102
"155_D3",0.560294852701209,0.568166324231741,7.56926857173244
"325_D3",0.561592743977391,0.55942230054044,2.32495886949962
"2_D0",0.562437614185413,0.576200528969231,6.36544407177647
"154_D0",0.564762234475025,0.562112670239496,34.8514705982109
"49_D3",0.566194071062498,0.576944231813,9.05558012958464
"342_D0",0.567733180563867,0.573890950333994,6.90646893026803
"146_D3",0.568195126919293,0.571195903525039,6.92021172698947
"382_D3",0.568316848360263,0.573326992989063,4.24080720864691
"238_D3",0.568829179535893,0.567854453115257,15.0470514629252
"249_D0",0.56958306808962,0.577117206275662,6.57146353521903
"21_D0",0.569975180100563,0.556488668058531,25.8614807017259
"347_D7",0.571820456738716,0.577614259637569,5.79178118844987
"267_D3",0.572688977716767,0.582310581354268,7.2979342967847
"334_DE",0.573487579340338,0.575411430752361,23.3669941802458
"325_D0",0.57586034622444,0.554796243292574,3.14688273979766
"110_D0",0.576601773720336,0.575140274665907,7.06464639352903
"259_D0",0.582998362305832,0.58465266862668,8.4022343648088
"224_D3",0.583093474971709,0.586574639374103,7.90138031881664
"310_D0",0.584046651119944,0.588494047149664,22.4461869973199
"317_D0",0.584865732311114,0.585813994239848,4.89452250485055
"250_D7",0.585623301937355,0.592025216053617,5.4103865260714
"238_D0",0.586255087902083,0.572144488013558,14.2885533150022
"135_DE",0.586539573203508,0.581646771045602,9.63145249534584
"143_D0",0.58806378661116,0.592589712789064,20.316123622283
"78_D0",0.588233533966521,0.568949456635643,7.42915909777073
"201_D0",0.588898884935265,0.563923487136432,8.038721080764
"142_D0",0.590054181785898,0.596993944728492,10.3627579604635
"222_DE",0.591215331389494,0.58623421807868,6.46523864254618
"383_DE",0.592505427579198,0.598884433651443,12.5775871413846
"248_D0",0.593328975019969,0.584328361953567,13.2962785130711
"23_D0",0.593593367483838,0.5847191665595,8.90664153854409
"39_D3",0.594352781274472,0.594824935778031,6.72338053022049
"244_D7",0.594399096059969,0.595261952668297,4.16647125912201
"326_D0",0.595473360734556,0.598075341296254,13.712480582019
"16_D0",0.596507413299093,0.588809358370459,11.9423719946655
"37_D3",0.597548942355534,0.600341806627264,8.71652335063188
"265_D0",0.598946611250147,0.568046839007179,7.57437360271869
"259_D7",0.601672839444194,0.606175127589619,4.56159373091374
"238_D7",0.602530824300752,0.599636238152266,10.9582170970602
"334_D0",0.602780504967193,0.579141306443052,19.7935799801553
"367_D7",0.602914303736422,0.598887482364308,3.76300589281744
"252_D0",0.60451571275054,0.596508693774662,7.94115087004985
"321_DE",0.605031164823355,0.601513732562609,17.9283112133754
"320_D7",0.605040638228607,0.591267208080706,11.4568162800951
"343_D0",0.606290283721417,0.579175356862167,10.0296313892426
"177_D0",0.606594160214154,0.605006100758932,6.90416880831005
"214_D3",0.608480936810252,0.607834659498597,5.27973177402579
"212_D0",0.608612624894155,0.597602083463222,1.87800001820517
"258_D0",0.609430161913632,0.613103315052019,13.0155736948427
"230_D3",0.610667242282911,0.616377284179626,5.87546478014265
"382_D0",0.611076649217976,0.593357260818726,2.52877884916575
"294_D0",0.611371553098109,0.611773832082044,8.43688847779118
"207_D3",0.612391792876512,0.612619132627075,4.80837264843829
"59_D0",0.613162688731766,0.614152279259152,22.1217149767639
"292_D0",0.613754436867924,0.614578382688794,10.6398934078724
"368_D0",0.614409002637901,0.592086936341038,8.91429433052841
"206_D0",0.614441809765273,0.612167749491549,24.4574233861962
"12_D7",0.6144657282878,0.616882954687785,4.38125634906376
"146_DE",0.61458617002138,0.611399022716178,4.25232215042174
"128_D0",0.614901031660707,0.622259262834474,18.3718092090974
"348_DE",0.6155677629523,0.60894571181164,10.9693510925417
"46_D0",0.616166001272267,0.608549030866095,9.90996437072685
"221_D0",0.61736031765922,0.616115616831116,12.6531643023896
"144_D3",0.617740418307906,0.621254982588842,4.63031489929717
"286_D3",0.617939507087822,0.617310069926891,5.92144113637871
"292_D3",0.618910643104461,0.608456815502606,10.1051383416947
"350_D0",0.619847467632925,0.618750962887936,4.28214640365182
"345_D7",0.621045724220815,0.623980543647716,6.50256765842213
"134_D3",0.621127325883628,0.603728635726665,19.3587811878585
"273_D0",0.621632659625847,0.603959426277862,2.29313315428463
"221_D7",0.622035992736767,0.601489227891518,14.7904215602114
"122_D0",0.622439226103861,0.622492218002162,11.9857481224547
"15_D7",0.622468380636635,0.618002708686427,3.49461555126381
"15_D3",0.622529151581726,0.617088100517348,3.96450798554817
"141_D0",0.62261387946382,0.620673016888691,16.9234124270119
"349_D0",0.622986182127356,0.628563456917487,4.6636416066291
"254_D7",0.623265831152066,0.617216630355096,7.6873133839125
"375_D0",0.623883935321509,0.619168051816688,21.0095604321143
"363_D3",0.62413990923334,0.626029137161403,11.7683875308336
"241_D3",0.625563337533716,0.627074380021601,6.98139429124129
"295_D3",0.626593157606101,0.630950262255128,15.4210639055466
"35_D0",0.62668962478269,0.625151872014102,4.70436901188497
"80_D7",0.627213703702531,0.622227382013349,11.0736642024354
"292_D7",0.627608257877941,0.625969116891431,7.97629173320966
"219_D0",0.628365196417152,0.625562461738025,4.44452551132128
"79_D7",0.629061139355874,0.630579997911035,5.42414165980608
"338_D0",0.629789418697324,0.624590618334046,5.19956408352139
"224_D0",0.630706650449315,0.623082450415535,6.14141127144124
"120_D0",0.63095582811034,0.629458866753448,13.6131533334581
"165_D7",0.631157534568481,0.62056514674487,2.69571094390278
"320_D3",0.631821413782937,0.632109917692116,10.023782156077
"363_D7",0.632210251266812,0.622986203159644,18.5003463258615
"161_D0",0.632631139633361,0.61632424929863,6.38914208367975
"256_D0",0.633275124949402,0.614922950514446,11.0366049293743
"146_D0",0.633917603679135,0.633401985386736,3.05579314916282
"356_D3",0.634127854223444,0.633422144489384,4.00632038241248
"189_D0",0.634466222308802,0.634125008764758,3.40755578997096
"295_DE",0.635198989191374,0.608948367161359,10.0525223306211
"221_D3",0.635604208727993,0.620285883051197,10.0735221864034
"328_D0",0.636080127429812,0.6300614445964,4.80347221663168
"222_D7",0.636772330609089,0.6364109141643,6.38475650524292
"217_D7",0.637007519240361,0.635230837620533,6.59619274782017
"268_D0",0.637126541523749,0.636722713031978,3.37566348880821
"202_D0",0.638561804315271,0.624980232808924,19.7039282233224
"352_D7",0.640251805711827,0.634468850597193,2.90785245438675
"26_D0",0.640485570525067,0.643686676456437,4.48640565956443
"19_D7",0.640574898056738,0.637816399725651,3.73723961243958
"106_D3",0.642436290967003,0.641561846894819,7.46766843582146
"365_D0",0.642874118605303,0.639030256754216,7.26029165465468
"173_D0",0.642912710405706,0.617117937674157,5.43281231392411
"132_DE",0.643049589586009,0.63938564392982,3.54109608423383
"171_DE",0.64421568191359,0.637457766596867,5.3472943110866
"196_DE",0.6443895567604,0.641226350936963,2.74323993402801
"221_DE",0.644573777190653,0.623768605109149,9.70590732137375
"177_D3",0.645203402233094,0.644488735065059,4.14017797834445
"54_DE",0.646208160617247,0.634987030015529,8.53488693572726
"88_D0",0.646363292070665,0.640015482287217,10.719556142707
"34_D0",0.647311595318935,0.638756440680861,9.45908830588407
"259_DE",0.647380298326661,0.638869755197838,8.97988725782344
"271_D0",0.647491885936867,0.639971852195766,6.06940749897405
"188_D7",0.648309113867778,0.646495528359348,3.60332648940408
"47_D0",0.648337636964578,0.644821016151514,3.48457195353587
"334_D7",0.648652089886976,0.647679101596556,11.4991992140376
"349_D7",0.648721797107895,0.638055997369705,6.88695212599193
"373_D0",0.648729876092897,0.645615145987442,8.31353372498018
"90_D0",0.648783728856479,0.64542029692676,11.9951987993995
"320_D0",0.648828707135105,0.64191824227333,12.3076809101424
"242_D7",0.648850473315677,0.65015740490659,7.73221590339102
"121_D0",0.649926514439295,0.641070627488015,15.2163609388331
"106_D0",0.650469617428275,0.650002494424623,5.489257108939
"204_D7",0.650689845657754,0.645129262615901,6.66268349637918
"332_D0",0.651328466471783,0.649114445079137,7.04630377304464
"176_D0",0.651484191048823,0.642449312403497,5.03326620719668
"216_D0",0.651496708348956,0.644976628623377,4.77769995813015
"333_D0",0.652049723191005,0.654207897940226,2.64798414545689
"54_D7",0.652392752823709,0.64892352032717,11.8653351671128
"151_D0",0.652508315229151,0.628810367688673,7.7277123821623
"149_D3",0.652729651775346,0.648391029024494,3.75467064382015
"257_D0",0.652807211093967,0.636970675422417,7.27010063434394
"213_D3",0.653185361827781,0.644266474677967,7.15576610859219
"132_D0",0.654128100260309,0.631025689855889,6.86156652632824
"257_D3",0.654479210575214,0.626652823373525,5.47725977628438
"381_D0",0.654578928454737,0.648878766191206,2.50868924985144
"184_D7",0.65590694518543,0.654482617935347,9.43173659372119
"217_D0",0.656054643319244,0.645136443837252,4.33597115328084
"232_D0",0.65623168511816,0.650517901793442,6.92686410297829
"114_D0",0.656559384591364,0.652949594835713,12.8991748914205
"179_D0",0.6565678255681,0.644591239412456,5.92096442036295
"139_DE",0.656962445528719,0.652837423113614,5.23721355483175
"244_D3",0.657447710407234,0.65183651891505,2.96489623136012
"77_D0",0.65761524979607,0.649910844937571,4.04595520266785
"215_D0",0.657616622211858,0.658775845603568,8.54467936179744
"136_D3",0.657871148713811,0.655035662411559,3.80020641254377
"37_D0",0.658105890691844,0.649368662857224,12.0613102302072
"79_D3",0.65870733142185,0.658634002723821,3.90071987772448
"311_D3",0.659176307171921,0.657798534270837,7.40117514592
"380_D0",0.659428959858546,0.65607509429594,14.0677303824641
"186_D3",0.659476638923246,0.65594855161053,2.12102464304625
"305_D0",0.660032225013893,0.660815721628602,4.08382879931168
"290_D0",0.660356534679246,0.657796973183433,5.88269886832962
"251_D7",0.66086480332195,0.637327814073696,7.2106531590056
"328_D7",0.660966082110953,0.627227521781356,3.11303516051888
"311_DE",0.661042738072007,0.660633317731523,3.66080736800095
"329_D0",0.661161806507257,0.636354920790333,4.48750853525774
"291_D7",0.662519386658985,0.660883007668291,4.02261884044824
"135_D0",0.662555164870971,0.656910367832095,5.96415023440127
"206_D7",0.662706449069326,0.657197248120994,6.39966008876269
"18_D0",0.663006074509782,0.658393039402362,7.26161855361415
"107_D0",0.663325026898796,0.632900675830752,2.76538518434143
"368_D7",0.663575044800405,0.655318817852215,4.62032656092633
